currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.rt,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,choiceKey.rt,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,1,1,0.5,,,,,,,,,0,0,0,0,0,23,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,1.0,0.0,0.0,-0.0,0.5,0.5,0.5,gamble,win,0.5,133.0,319.4725563943466,None,319.4725563943466,None,319.4725563943466,None,319.4725563943466,None,319.4725563943466,None,319.4725563943466,None,319.4725563943466,None,1,319.4725563943466,None,319.6559612125675,None,319.6559612125675,None,319.6559612125675,None,319.6559612125675,None,319.6559612125675,None,319.6559612125675,None,319.6559612125675,None,323.64085850983975,None,323.64085850983975,None,323.64085850983975,None,323.64085850983975,None,323.64085850983975,None,323.64085850983975,None,323.64085850983975,None,333.1446161063068,None,0.15029969895840622,324.64124985280796,None,325.6416466355404,None,0.94,7.5028574756433954,328.64283378387336,None,None,328.64283378387336,None,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,1,1,10.9,,,,,,,,,0,0,0,0,0,24,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.94,-0.06000000000000005,-0.06000000000000005,-0.2150000000000002,10.9,10.685,5.3425,gamble,lose,10.685,143.685,335.1620361481873,None,335.1620361481873,None,335.1620361481873,None,335.1620361481873,None,335.1620361481873,None,335.1620361481873,None,335.1620361481873,None,1,335.1620361481873,None,336.0123757814072,None,336.0123757814072,None,336.0123757814072,None,336.0123757814072,None,336.0123757814072,None,336.0123757814072,None,336.0123757814072,None,339.997271798733,None,339.997271798733,None,339.997271798733,None,339.997271798733,None,339.997271798733,None,339.997271798733,None,339.997271798733,None,340.997618343652,None,0.8172524331748718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,1,1,4.1,,,,,,,,,0,0,0,0,0,25,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.94,-0.06000000000000005,-0.1200000000000001,0.9600000000000009,4.1,3.139999999999999,1.5699999999999994,gamble,win,4.1,147.785,343.0151215819096,None,343.0151215819096,None,343.0151215819096,None,343.0151215819096,None,343.0151215819096,None,343.0151215819096,None,343.0151215819096,None,1,343.0151215819096,None,343.16518161129716,None,343.16518161129716,None,343.16518161129716,None,343.16518161129716,None,343.16518161129716,None,343.16518161129716,None,343.16518161129716,None,347.1500702689409,None,347.1500702689409,None,347.1500702689409,None,347.1500702689409,None,347.1500702689409,None,347.1500702689409,None,347.1500702689409,None,348.1505192094046,None,0.11696290977488388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,1,1,12.5,,,,,,,,,0,0,0,0,0,26,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.94,-0.06000000000000005,-0.18000000000000016,1.020000000000001,12.5,11.479999999999999,5.739999999999999,gamble,win,12.5,160.285,350.16792517189606,None,350.16792517189606,None,350.16792517189606,None,350.16792517189606,None,350.16792517189606,None,350.16792517189606,None,350.16792517189606,None,1,350.16792517189606,None,350.21794219515505,None,350.21794219515505,None,350.21794219515505,None,350.21794219515505,None,350.21794219515505,None,350.21794219515505,None,350.21794219515505,None,354.2195107668922,None,354.2195107668922,None,354.2195107668922,None,354.2195107668922,None,354.2195107668922,None,354.2195107668922,None,354.2195107668922,None,363.706590689173,None,0.01690998407502775,355.20323339528477,None,356.203621858378,None,0.87,7.502810757672705,359.2047971672291,None,None,359.2047971672291,None,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,2,0,1.7,,,,,,,,,0,1,1,1,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.90746290721654,None,1.0,5.001601530300832,368.92527845188306,None,4,1.9683447376373806,368.92527845188306,None,370.9260592179053,None,False,True,True,1.0,1.0,1.0,-15.0,0.425,-14.575,-7.074999999999999,certain,certain,-7.074999999999999,153.21,373.94387124272544,None,373.94387124272544,None,373.94387124272544,None,373.94387124272544,None,373.94387124272544,None,373.94387124272544,None,373.94387124272544,None,3,373.94387124272544,None,375.09436453325543,None,375.09436453325543,None,375.09436453325543,None,375.09436453325543,None,375.09436453325543,None,375.09436453325543,None,375.09436453325543,None,379.0792919092164,None,379.0792919092164,None,379.0792919092164,None,379.0792919092164,None,379.0792919092164,None,379.0792919092164,None,379.0792919092164,None,380.0796326943855,None,1.1174486486343085,,,,,,,,,,,,365.7074040937732,None,4,0.1835203331975208,365.7074040937732,None,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,2,0,5.7,,,,,,,,,0,1,1,1,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,1.0,1.0,2.0,-16.0,1.425,-14.575,-6.574999999999999,gamble,lose,-14.575,138.63500000000002,382.097105213983,None,382.097105213983,None,382.097105213983,None,382.097105213983,None,382.097105213983,None,382.097105213983,None,382.097105213983,None,1,382.097105213983,None,382.23049076904135,None,382.23049076904135,None,382.23049076904135,None,382.23049076904135,None,382.23049076904135,None,382.23049076904135,None,382.23049076904135,None,386.23211565832753,None,386.23211565832753,None,386.23211565832753,None,386.23211565832753,None,386.23211565832753,None,386.23211565832753,None,386.23211565832753,None,395.7191143041455,None,0.10025899672837113,387.21580788804204,None,388.2161627525966,None,0.9,7.502895873971283,391.2173019030233,None,None,391.2173019030233,None,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,2,0,3.3,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.9,0.9,2.9,-15.5,0.825,-14.675,-6.925000000000001,certain,certain,-6.925000000000001,131.71,397.7365561050792,None,397.7365561050792,None,397.7365561050792,None,397.7365561050792,None,397.7365561050792,None,397.7365561050792,None,397.7365561050792,None,3,397.7365561050792,None,400.4709292651605,None,400.4709292651605,None,400.4709292651605,None,400.4709292651605,None,400.4709292651605,None,400.4709292651605,None,400.4709292651605,None,404.4725451948325,None,404.4725451948325,None,404.4725451948325,None,404.4725451948325,None,404.4725451948325,None,404.4725451948325,None,404.4725451948325,None,405.4562643033787,None,2.701328198196279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,2,0,5.3,,,,,,,,,0,1,1,1,0,3,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.9,0.9,3.8,-16.4,1.325,-15.075,-6.875,gamble,lose,-15.075,116.635,407.47372274358713,None,407.47372274358713,None,407.47372274358713,None,407.47372274358713,None,407.47372274358713,None,407.47372274358713,None,407.47372274358713,None,1,407.47372274358713,None,408.6742240977692,None,408.6742240977692,None,408.6742240977692,None,408.6742240977692,None,408.6742240977692,None,408.6742240977692,None,408.6742240977692,None,412.725776734198,None,412.725776734198,None,412.725776734198,None,412.725776734198,None,412.725776734198,None,412.725776734198,None,412.725776734198,None,422.1627826756994,None,1.167371915977128,413.65947593960664,None,414.6598237644721,None,0.82,7.502816837411956,417.66108066977176,None,None,417.66108066977176,None,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,2,0,7.1,,,,,,,,,0,1,1,1,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.82,0.82,4.62,3.255,1.775,-1.48,0.14749999999999996,gamble,win,1.775,118.41000000000001,424.18026831472525,None,424.18026831472525,None,424.18026831472525,None,424.18026831472525,None,424.18026831472525,None,424.18026831472525,None,424.18026831472525,None,1,424.18026831472525,None,424.9972065215734,None,424.9972065215734,None,424.9972065215734,None,424.9972065215734,None,424.9972065215734,None,424.9972065215734,None,424.9972065215734,None,428.9987744533355,None,428.9987744533355,None,428.9987744533355,None,428.9987744533355,None,428.9987744533355,None,428.9987744533355,None,428.9987744533355,None,429.9825485994843,None,0.7838436471247405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
,,,2,0,4.7,,,,,,,,,0,1,1,1,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,0.82,0.82,5.44,3.3233333333333333,1.175,-2.1483333333333334,-0.4866666666666667,gamble,win,1.175,119.58500000000001,432.00004735793846,None,432.00004735793846,None,432.00004735793846,None,432.00004735793846,None,432.00004735793846,None,432.00004735793846,None,432.00004735793846,None,1,432.00004735793846,None,432.1333810752549,None,432.1333810752549,None,432.1333810752549,None,432.1333810752549,None,432.1333810752549,None,432.1333810752549,None,432.1333810752549,None,436.13499028522347,None,436.13499028522347,None,436.13499028522347,None,436.13499028522347,None,436.13499028522347,None,436.13499028522347,None,436.13499028522347,None,437.1186658756633,None,0.10020875891495962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24199,2019_Oct_02_1634,Mmi_3levels,3.1.5,59.97650942380807,
