currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,choiceKey.rt,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,blockHappyResp.rt,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,1,1,4.1,,,,,,,,,0,0,0,0,0,10,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.57,-0.43000000000000005,-4.9399999999999995,10.96,4.1,-6.860000000000001,-1.3800000000000008,gamble,win,4.1,79.41916666666667,299.31643951073056,None,299.31643951073056,None,299.31643951073056,None,299.31643951073056,None,299.31643951073056,None,299.31643951073056,None,299.31643951073056,None,1,299.31643951073056,None,301.2338387784839,None,301.2338387784839,None,301.2338387784839,None,301.2338387784839,None,301.2338387784839,None,301.2338387784839,None,301.2338387784839,None,305.21869558288745,None,305.21869558288745,None,305.21869558288745,None,305.21869558288745,None,305.21869558288745,None,305.21869558288745,None,305.21869558288745,None,306.2190830823056,None,1.8843245446805668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
,,,1,1,10.7,,,,,,,,,0,0,0,0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.57,-0.43000000000000005,-5.369999999999999,11.39,10.7,-0.6900000000000013,-0.34500000000000064,gamble,win,10.7,90.11916666666667,308.2365183161455,None,308.2365183161455,None,308.2365183161455,None,308.2365183161455,None,308.2365183161455,None,308.2365183161455,None,308.2365183161455,None,1,308.2365183161455,None,311.00423465505446,None,311.00423465505446,None,311.00423465505446,None,311.00423465505446,None,311.00423465505446,None,311.00423465505446,None,311.00423465505446,None,315.0058102513576,None,315.0058102513576,None,315.0058102513576,None,315.0058102513576,None,315.0058102513576,None,315.0058102513576,None,315.0058102513576,None,324.49271110718473,None,2.73444290639236,315.9894635996934,None,316.9899074161149,None,0.57,7.502745454163232,319.9909863987996,None,None,319.9909863987996,None,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
,,,1,1,6.1,,,,,,,,,0,0,0,0,0,12,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.57,-0.43000000000000005,-5.799999999999999,11.82,6.1,-5.720000000000001,0.1899999999999995,certain,certain,0.1899999999999995,90.30916666666667,326.5101495408562,None,326.5101495408562,None,326.5101495408562,None,326.5101495408562,None,326.5101495408562,None,326.5101495408562,None,326.5101495408562,None,3,326.5101495408562,None,328.610952506202,None,328.610952506202,None,328.610952506202,None,328.610952506202,None,328.610952506202,None,328.610952506202,None,328.610952506202,None,332.595800671068,None,332.595800671068,None,332.595800671068,None,332.595800671068,None,332.595800671068,None,332.595800671068,None,332.595800671068,None,333.596300484518,None,2.067702003671002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
,,,1,1,4.5,,,,,,,,,0,0,0,0,0,13,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.57,-0.43000000000000005,-6.229999999999999,12.25,4.5,-7.75,-1.625,gamble,win,4.5,94.80916666666667,335.66364794701803,None,335.66364794701803,None,335.66364794701803,None,335.66364794701803,None,335.66364794701803,None,335.66364794701803,None,335.66364794701803,None,1,335.66364794701803,None,337.014152208234,None,337.014152208234,None,337.014152208234,None,337.014152208234,None,337.014152208234,None,337.014152208234,None,337.014152208234,None,341.0156772472219,None,341.0156772472219,None,341.0156772472219,None,341.0156772472219,None,341.0156772472219,None,341.0156772472219,None,341.0156772472219,None,341.99939267226,None,1.317406179383397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
,,,1,1,-0.3,,,,,,,,,0,0,0,0,0,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.57,-0.43000000000000005,-6.659999999999998,12.68,-0.3,-12.98,-6.640000000000001,certain,certain,-6.640000000000001,88.16916666666667,344.01690566197067,None,344.01690566197067,None,344.01690566197067,None,344.01690566197067,None,344.01690566197067,None,344.01690566197067,None,344.01690566197067,None,3,344.01690566197067,None,346.85123958215263,None,346.85123958215263,None,346.85123958215263,None,346.85123958215263,None,346.85123958215263,None,346.85123958215263,None,346.85123958215263,None,350.85280461901857,None,350.85280461901857,None,350.85280461901857,None,350.85280461901857,None,350.85280461901857,None,350.85280461901857,None,350.85280461901857,None,360.33972243394237,None,2.8012489576540247,351.8364739665012,None,352.8369062635393,None,0.54,7.502721775421378,355.83798748610207,None,None,355.83798748610207,None,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
,,,1,1,11.9,,,,,,,,,0,0,0,0,0,15,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.54,-0.45999999999999996,-7.119999999999998,13.559999999999999,11.9,-1.6599999999999984,-0.8299999999999992,gamble,win,11.9,100.06916666666667,362.3571541479687,None,362.3571541479687,None,362.3571541479687,None,362.3571541479687,None,362.3571541479687,None,362.3571541479687,None,362.3571541479687,None,1,362.3571541479687,None,364.7414454144164,None,364.7414454144164,None,364.7414454144164,None,364.7414454144164,None,364.7414454144164,None,364.7414454144164,None,364.7414454144164,None,368.7429266157378,None,368.7429266157378,None,368.7429266157378,None,368.7429266157378,None,368.7429266157378,None,368.7429266157378,None,368.7429266157378,None,369.7266845985141,None,2.3511631062137894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
,,,1,1,7.5,,,,,,,,,0,0,0,0,0,16,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.54,-0.45999999999999996,-7.579999999999998,-2.2416666666666663,7.5,5.258333333333334,2.629166666666667,gamble,lose,5.258333333333334,105.32750000000001,371.74411247274475,None,371.74411247274475,None,371.74411247274475,None,371.74411247274475,None,371.74411247274475,None,371.74411247274475,None,371.74411247274475,None,1,371.74411247274475,None,374.47844626493315,None,374.47844626493315,None,374.47844626493315,None,374.47844626493315,None,374.47844626493315,None,374.47844626493315,None,374.47844626493315,None,378.46330114944067,None,378.46330114944067,None,378.46330114944067,None,378.46330114944067,None,378.46330114944067,None,378.46330114944067,None,378.46330114944067,None,387.96692879674083,None,2.701257789187366,379.4636787293857,None,380.46405598934507,None,0.56,7.502764973127341,383.4651970487321,None,None,383.4651970487321,None,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
,,,1,1,9.9,,,,,,,,,0,0,0,0,0,17,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.56,-0.43999999999999995,-8.019999999999998,14.179999999999996,9.9,-4.279999999999996,-2.139999999999998,gamble,win,9.9,115.22750000000002,389.98436467054853,None,389.98436467054853,None,389.98436467054853,None,389.98436467054853,None,389.98436467054853,None,389.98436467054853,None,389.98436467054853,None,None,389.98436467054853,None,392.98549357058073,None,392.98549357058073,None,392.98549357058073,None,392.98549357058073,None,392.98549357058073,None,392.98549357058073,None,392.98549357058073,None,396.98702436926396,None,396.98702436926396,None,396.98702436926396,None,396.98702436926396,None,396.98702436926396,None,396.98702436926396,None,396.98702436926396,None,397.97073851436653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
,,,1,1,3.1,,,,,,,,,0,0,0,0,0,18,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.56,-0.43999999999999995,-8.459999999999997,14.619999999999997,3.1,-11.519999999999998,-4.209999999999999,certain,certain,-4.209999999999999,111.01750000000003,399.98816926844665,None,399.98816926844665,None,399.98816926844665,None,399.98816926844665,None,399.98816926844665,None,399.98816926844665,None,399.98816926844665,None,3,399.98816926844665,None,402.8559350127289,None,402.8559350127289,None,402.8559350127289,None,402.8559350127289,None,402.8559350127289,None,402.8559350127289,None,402.8559350127289,None,406.85746837127954,None,406.85746837127954,None,406.85746837127954,None,406.85746837127954,None,406.85746837127954,None,406.85746837127954,None,406.85746837127954,None,407.8412145146831,None,2.834685581503436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
,,,1,1,13.9,,,,,,,,,0,0,0,0,0,19,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.56,-0.43999999999999995,-8.899999999999997,15.059999999999995,13.9,-1.1599999999999948,-0.5799999999999974,gamble,win,13.9,124.91750000000003,409.85859823126157,None,409.85859823126157,None,409.85859823126157,None,409.85859823126157,None,409.85859823126157,None,409.85859823126157,None,409.85859823126157,None,1,409.85859823126157,None,412.42625703722297,None,412.42625703722297,None,412.42625703722297,None,412.42625703722297,None,412.42625703722297,None,412.42625703722297,None,412.42625703722297,None,416.4277526377773,None,416.4277526377773,None,416.4277526377773,None,416.4277526377773,None,416.4277526377773,None,416.4277526377773,None,416.4277526377773,None,425.9147082106974,None,2.5345796031324426,417.41154037897286,None,418.4118456427568,None,0.54,7.502795051525027,421.4129966216169,None,None,421.4129966216169,None,,,,,,,,,,,,,,,,,,,,24259,2020_Jan_21_1528,Mmi_3levels,3.1.5,60.0695424194711,
