currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.rt,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,2,0,2.3,,,,,,,,,0,1,1,1,0,25,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.87,0.87,23.15,-35.33,2.3,-33.03,-15.365,certain,certain,-15.365,-66.22541666666669,3273.3812688889448,None,3273.3812688889448,None,3273.3812688889448,None,3273.3812688889448,None,3273.3812688889448,None,3273.3812688889448,None,3273.3812688889448,None,3,1.567486300773453,3273.3812688889448,None,3274.981833657337,None,3274.981833657337,None,3274.981833657337,None,3274.981833657337,None,3274.981833657337,None,3274.981833657337,None,3274.981833657337,None,3278.9833321334154,None,3278.9833321334154,None,3278.9833321334154,None,3278.9833321334154,None,3278.9833321334154,None,3278.9833321334154,None,3278.9833321334154,None,3288.4702431063924,None,3279.9670488852717,None,3280.9674578223785,None,0.82,7.5026576111558825,3283.9685483213107,None,None,3283.9685483213107,None,,,,,,,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
,,,2,0,7.9,,,,,,,,,0,1,1,1,0,26,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.82,0.82,23.97,4.8675,1.975,-2.8924999999999996,-0.45874999999999977,gamble,win,1.975,-64.2504166666667,3290.4876747702074,None,3290.4876747702074,None,3290.4876747702074,None,3290.4876747702074,None,3290.4876747702074,None,3290.4876747702074,None,3290.4876747702074,None,1,1.1340299342991784,3290.4876747702074,None,3291.6547985312936,None,3291.6547985312936,None,3291.6547985312936,None,3291.6547985312936,None,3291.6547985312936,None,3291.6547985312936,None,3291.6547985312936,None,3295.6396611389937,None,3295.6396611389937,None,3295.6396611389937,None,3295.6396611389937,None,3295.6396611389937,None,3295.6396611389937,None,3295.6396611389937,None,3296.640024318651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
,,,3,1,3.5,,,,,,,,,0,2,2,2,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308.7445791035716,None,0.83,7.501904053351609,3311.7624021054944,None,None,,3311.7624021054944,None,3316.2474261441384,None,True,False,False,0.83,-0.17000000000000004,-0.17000000000000004,-0.6091666666666669,3.5,2.890833333333333,1.4454166666666666,gamble,lose,2.890833333333333,-61.35958333333336,3319.281917012646,None,3319.281917012646,None,3319.281917012646,None,3319.281917012646,None,3319.281917012646,None,3319.281917012646,None,3319.281917012646,None,1,1.017321589984931,3319.281917012646,None,3320.3323061908595,None,3320.3323061908595,None,3320.3323061908595,None,3320.3323061908595,None,3320.3323061908595,None,3320.3323061908595,None,3320.3323061908595,None,3324.317166238703,None,3324.317166238703,None,3324.317166238703,None,3324.317166238703,None,3324.317166238703,None,3324.317166238703,None,3324.317166238703,None,3333.8207642772177,None,3325.3175444575318,None,3326.317921396403,None,0.83,7.502769604878267,3329.319038453861,None,None,3329.319038453861,None,3298.640775636566,None,4,10.08746646187501,3298.640775636566,None,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
,,,3,1,9.9,,,,,,,,,0,2,2,2,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.83,-0.17000000000000004,-0.3400000000000001,2.7200000000000006,9.9,7.18,3.59,gamble,win,9.9,-51.45958333333336,3335.838193381176,None,3335.838193381176,None,3335.838193381176,None,3335.838193381176,None,3335.838193381176,None,3335.838193381176,None,3335.838193381176,None,1,1.3674450230610091,3335.838193381176,None,3337.2387194317125,None,3337.2387194317125,None,3337.2387194317125,None,3337.2387194317125,None,3337.2387194317125,None,3337.2387194317125,None,3337.2387194317125,None,3341.2235925988352,None,3341.2235925988352,None,3341.2235925988352,None,3341.2235925988352,None,3341.2235925988352,None,3341.2235925988352,None,3341.2235925988352,None,3342.223939779389,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
,,,3,1,7.3,,,,,,,,,0,2,2,2,0,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.83,-0.17000000000000004,-0.5100000000000001,2.890000000000001,7.3,4.409999999999998,2.204999999999999,gamble,win,7.3,-44.159583333333366,3344.241403121443,None,3344.241403121443,None,3344.241403121443,None,3344.241403121443,None,3344.241403121443,None,3344.241403121443,None,3344.241403121443,None,1,0.9505835673189722,3344.241403121443,None,3345.2250926748093,None,3345.2250926748093,None,3345.2250926748093,None,3345.2250926748093,None,3345.2250926748093,None,3345.2250926748093,None,3345.2250926748093,None,3349.2099172046583,None,3349.2099172046583,None,3349.2099172046583,None,3349.2099172046583,None,3349.2099172046583,None,3349.2099172046583,None,3349.2099172046583,None,3350.210272704746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
,,,3,1,5.3,,,,,,,,,0,2,2,2,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.83,-0.17000000000000004,-0.6800000000000002,3.060000000000001,5.3,2.239999999999999,1.1199999999999994,gamble,win,5.3,-38.85958333333337,3352.22775780558,None,3352.22775780558,None,3352.22775780558,None,3352.22775780558,None,3352.22775780558,None,3352.22775780558,None,3352.22775780558,None,1,0.850388538237894,3352.22775780558,None,3353.111395041895,None,3353.111395041895,None,3353.111395041895,None,3353.111395041895,None,3353.111395041895,None,3353.111395041895,None,3353.111395041895,None,3357.096231731033,None,3357.096231731033,None,3357.096231731033,None,3357.096231731033,None,3357.096231731033,None,3357.096231731033,None,3357.096231731033,None,3366.599839049013,None,3358.0966160295065,None,3359.0969942483352,None,0.82,7.502763205266092,3362.0981426640064,None,None,3362.0981426640064,None,,,,,,,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
,,,3,1,6.7,,,,,,,,,0,2,2,2,0,4,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.82,-0.18000000000000005,-0.8600000000000002,3.380000000000001,6.7,3.3199999999999994,1.6599999999999997,gamble,win,6.7,-32.159583333333366,3368.617301751103,None,3368.617301751103,None,3368.617301751103,None,3368.617301751103,None,3368.617301751103,None,3368.617301751103,None,3368.617301751103,None,1,0.8004991720372345,3368.617301751103,None,3369.4509187485673,None,3369.4509187485673,None,3369.4509187485673,None,3369.4509187485673,None,3369.4509187485673,None,3369.4509187485673,None,3369.4509187485673,None,3373.435734638857,None,3373.435734638857,None,3373.435734638857,None,3373.435734638857,None,3373.435734638857,None,3373.435734638857,None,3373.435734638857,None,3374.4361387762474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
,,,3,1,7.1,,,,,,,,,0,2,2,2,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.82,-0.18000000000000005,-1.0400000000000003,3.5600000000000005,7.1,3.539999999999999,1.7699999999999996,gamble,win,7.1,-25.059583333333364,3376.4535563608515,None,3376.4535563608515,None,3376.4535563608515,None,3376.4535563608515,None,3376.4535563608515,None,3376.4535563608515,None,3376.4535563608515,None,1,0.683844264713116,3376.4535563608515,None,3377.1705325301737,None,3377.1705325301737,None,3377.1705325301737,None,3377.1705325301737,None,3377.1705325301737,None,3377.1705325301737,None,3377.1705325301737,None,3381.155338501063,None,3381.155338501063,None,3381.155338501063,None,3381.155338501063,None,3381.155338501063,None,3381.155338501063,None,3381.155338501063,None,3390.658899421629,None,3382.1557314390375,None,3383.156103898189,None,0.85,7.502696648996789,3386.157275352598,None,None,3386.157275352598,None,,,,,,,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
,,,3,1,-1.5,,,,,,,,,0,2,2,2,0,6,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.85,-0.15000000000000002,-1.1900000000000004,3.290000000000001,-1.5,-4.790000000000001,-3.1450000000000005,certain,certain,-3.1450000000000005,-28.204583333333364,3392.676375242998,None,3392.676375242998,None,3392.676375242998,None,3392.676375242998,None,3392.676375242998,None,3392.676375242998,None,3392.676375242998,None,3,1.800892750005005,3392.676375242998,None,3394.51037941876,None,3394.51037941876,None,3394.51037941876,None,3394.51037941876,None,3394.51037941876,None,3394.51037941876,None,3394.51037941876,None,3398.511910213041,None,3398.511910213041,None,3398.511910213041,None,3398.511910213041,None,3398.511910213041,None,3398.511910213041,None,3398.511910213041,None,3399.4956439239613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
,,,3,1,9.7,,,,,,,,,0,2,2,2,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.85,-0.15000000000000002,-1.3400000000000003,-0.6366666666666668,9.7,9.063333333333333,4.531666666666666,gamble,lose,9.063333333333333,-19.14125000000003,3401.513049349247,None,3401.513049349247,None,3401.513049349247,None,3401.513049349247,None,3401.513049349247,None,3401.513049349247,None,3401.513049349247,None,1,0.8339241802459583,3401.513049349247,None,3402.3800491172587,None,3402.3800491172587,None,3402.3800491172587,None,3402.3800491172587,None,3402.3800491172587,None,3402.3800491172587,None,3402.3800491172587,None,3406.364883566537,None,3406.364883566537,None,3406.364883566537,None,3406.364883566537,None,3406.364883566537,None,3406.364883566537,None,3406.364883566537,None,3415.868501123943,None,3407.3652611453726,None,3408.365640964126,None,0.85,7.502774724620394,3411.366763141268,None,None,3411.366763141268,None,,,,,,,,,,,,,,,,,,,24169,2019_Dec_09_1610,Mmi_3levels,3.1.5,59.96747546005408,
