currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,blockHappyResp.rt,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
10,black.png,"Please make your choices as fast as possible.
You will be given a break at the end of each block.
Let's play!",,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.13297522743233,None,143.13297522743233,None,143.13297522743233,None,4,4.985413161513861,143.13297522743233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.13482826086693,None,space,46.468375237542205,148.13482826086693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,8.7,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.61956305406056,None,0.46,7.495800196251366,197.63743133924436,None,None,197.63743133924436,None,202.12251811596798,None,True,True,False,0.46,-0.54,-0.54,8.100000000000001,8.7,0.5999999999999979,0.29999999999999893,gamble,win,8.7,8.7,205.15704322297825,None,205.15704322297825,None,205.15704322297825,None,205.15704322297825,None,205.15704322297825,None,205.15704322297825,None,205.15704322297825,None,1,2.3010937729268335,205.15704322297825,None,207.49123336962657,None,207.49123336962657,None,207.49123336962657,None,207.49123336962657,None,207.49123336962657,None,207.49123336962657,None,207.49123336962657,None,211.47611247602617,None,211.47611247602617,None,211.47611247602617,None,211.47611247602617,None,211.47611247602617,None,211.47611247602617,None,211.47611247602617,None,212.47649805806577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,3.3,,,,,,,,,0,0,0,0,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.46,-0.54,-1.08,-1.9800000000000002,3.3,1.3199999999999996,0.6599999999999998,gamble,lose,1.3199999999999996,10.02,214.4939990004059,None,214.4939990004059,None,214.4939990004059,None,214.4939990004059,None,214.4939990004059,None,214.4939990004059,None,214.4939990004059,None,1,1.3840646165190265,214.4939990004059,None,215.89449292933568,None,215.89449292933568,None,215.89449292933568,None,215.89449292933568,None,215.89449292933568,None,215.89449292933568,None,215.89449292933568,None,219.8960477366927,None,219.8960477366927,None,219.8960477366927,None,219.8960477366927,None,219.8960477366927,None,219.8960477366927,None,219.8960477366927,None,220.89648611622397,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,-1.5,,,,,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.46,-0.54,-1.62,-2.0250000000000004,-1.5,-3.5250000000000004,-2.5125,certain,certain,-2.5125,7.507499999999999,222.91393010120373,None,222.91393010120373,None,222.91393010120373,None,222.91393010120373,None,222.91393010120373,None,222.91393010120373,None,222.91393010120373,None,3,2.5511742491507903,222.91393010120373,None,225.498202963965,None,225.498202963965,None,225.498202963965,None,225.498202963965,None,225.498202963965,None,225.498202963965,None,225.498202963965,None,229.49977089074673,None,229.49977089074673,None,229.49977089074673,None,229.49977089074673,None,229.49977089074673,None,229.49977089074673,None,229.49977089074673,None,238.9868431747309,None,230.48343565390678,None,231.4838442748296,None,0.48,7.50269555405248,234.48497862182558,None,None,234.48497862182558,None,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,6.5,,,,,,,,,0,0,0,0,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.48,-0.52,-2.14,9.42,6.5,-2.92,1.79,gamble,win,6.5,14.0075,241.004236602108,None,241.004236602108,None,241.004236602108,None,241.004236602108,None,241.004236602108,None,241.004236602108,None,241.004236602108,None,1,1.3006301145651378,241.004236602108,None,242.33813716226723,None,242.33813716226723,None,242.33813716226723,None,242.33813716226723,None,242.33813716226723,None,242.33813716226723,None,242.33813716226723,None,246.33964333188487,None,246.33964333188487,None,246.33964333188487,None,246.33964333188487,None,246.33964333188487,None,246.33964333188487,None,246.33964333188487,None,247.32336697232677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,8.5,,,,,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.48,-0.52,-2.66,9.940000000000001,8.5,-1.4400000000000013,-0.7200000000000006,certain,certain,-0.7200000000000006,13.2875,249.34086951462086,None,249.34086951462086,None,249.34086951462086,None,249.34086951462086,None,249.34086951462086,None,249.34086951462086,None,249.34086951462086,None,3,1.4341745953424834,249.34086951462086,None,250.8080457681208,None,250.8080457681208,None,250.8080457681208,None,250.8080457681208,None,250.8080457681208,None,250.8080457681208,None,250.8080457681208,None,254.80959481577156,None,254.80959481577156,None,254.80959481577156,None,254.80959481577156,None,254.80959481577156,None,254.80959481577156,None,254.80959481577156,None,264.29666133999126,None,255.7932790980558,None,256.79375107598025,None,0.48,7.502829307864886,259.7949068619637,None,None,259.7949068619637,None,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,1.1,,,,,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.48,-0.52,-3.18,-2.085,1.1,-0.9849999999999999,0.05750000000000011,gamble,lose,-0.9849999999999999,12.3025,266.3141133246827,None,266.3141133246827,None,266.3141133246827,None,266.3141133246827,None,266.3141133246827,None,266.3141133246827,None,266.3141133246827,None,1,2.217790144844912,266.3141133246827,None,268.56498576392187,None,268.56498576392187,None,268.56498576392187,None,268.56498576392187,None,268.56498576392187,None,268.56498576392187,None,268.56498576392187,None,272.5498677502037,None,272.5498677502037,None,272.5498677502037,None,272.5498677502037,None,272.5498677502037,None,272.5498677502037,None,272.5498677502037,None,273.5502562120673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,12.9,,,,,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.48,-0.52,-3.7,10.98,12.9,1.92,0.96,gamble,win,12.9,25.2025,275.5676998770796,None,275.5676998770796,None,275.5676998770796,None,275.5676998770796,None,275.5676998770796,None,275.5676998770796,None,275.5676998770796,None,1,1.0172836724668741,275.5676998770796,None,276.6180760835414,None,276.6180760835414,None,276.6180760835414,None,276.6180760835414,None,276.6180760835414,None,276.6180760835414,None,276.6180760835414,None,280.61967696872307,None,280.61967696872307,None,280.61967696872307,None,280.61967696872307,None,280.61967696872307,None,280.61967696872307,None,280.61967696872307,None,281.6032738950453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,9.1,,,,,,,,,0,0,0,0,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.48,-0.52,-4.220000000000001,11.5,9.1,-2.4000000000000004,-1.2000000000000002,gamble,win,9.1,34.3025,283.62082763493527,None,283.62082763493527,None,283.62082763493527,None,283.62082763493527,None,283.62082763493527,None,283.62082763493527,None,283.62082763493527,None,1,0.9838013967964798,283.62082763493527,None,284.6378889178741,None,284.6378889178741,None,284.6378889178741,None,284.6378889178741,None,284.6378889178741,None,284.6378889178741,None,284.6378889178741,None,288.6394485249766,None,288.6394485249766,None,288.6394485249766,None,288.6394485249766,None,288.6394485249766,None,288.6394485249766,None,288.6394485249766,None,298.1264654515544,None,289.6230739300372,None,290.62354974780465,None,0.48,7.50282226811396,293.62464473664295,None,None,293.62464473664295,None,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,7.9,,,,,,,,,0,0,0,0,0,8,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.48,-0.52,-4.74,12.02,7.9,-4.119999999999999,1.8900000000000006,certain,certain,1.8900000000000006,36.1925,300.14386015885975,None,300.14386015885975,None,300.14386015885975,None,300.14386015885975,None,300.14386015885975,None,300.14386015885975,None,300.14386015885975,None,3,1.9843456913949922,300.14386015885975,None,302.1613057438517,None,302.1613057438517,None,302.1613057438517,None,302.1613057438517,None,302.1613057438517,None,302.1613057438517,None,302.1613057438517,None,306.16282791271806,None,306.16282791271806,None,306.16282791271806,None,306.16282791271806,None,306.16282791271806,None,306.16282791271806,None,306.16282791271806,None,307.1466302694753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,1.9,,,,,,,,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.48,-0.52,-5.26,12.54,1.9,-10.639999999999999,-4.369999999999999,certain,certain,-4.369999999999999,31.822500000000005,309.164078094298,None,309.164078094298,None,309.164078094298,None,309.164078094298,None,309.164078094298,None,309.164078094298,None,309.164078094298,None,3,2.7346546369371936,309.164078094298,None,311.9318172655185,None,311.9318172655185,None,311.9318172655185,None,311.9318172655185,None,311.9318172655185,None,311.9318172655185,None,311.9318172655185,None,315.933361193398,None,315.933361193398,None,315.933361193398,None,315.933361193398,None,315.933361193398,None,315.933361193398,None,315.933361193398,None,325.4203339620144,None,316.9170333162183,None,317.91747329570353,None,0.48,7.502679554803763,320.9186233219225,None,None,320.9186233219225,None,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,-0.7,,,,,,,,,0,0,0,0,0,10,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.48,-0.52,-5.779999999999999,13.059999999999999,-0.7,-13.759999999999998,-7.229999999999999,gamble,win,-0.7,31.122500000000006,327.4378269047593,None,327.4378269047593,None,327.4378269047593,None,327.4378269047593,None,327.4378269047593,None,327.4378269047593,None,327.4378269047593,None,1,2.234469045593869,327.4378269047593,None,329.70539008418564,None,329.70539008418564,None,329.70539008418564,None,329.70539008418564,None,329.70539008418564,None,329.70539008418564,None,329.70539008418564,None,333.7068674551556,None,333.7068674551556,None,333.7068674551556,None,333.7068674551556,None,333.7068674551556,None,333.7068674551556,None,333.7068674551556,None,334.6906454930431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,6.3,,,,,,,,,0,0,0,0,0,11,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.48,-0.52,-6.299999999999999,13.579999999999998,6.3,-7.2799999999999985,-0.4899999999999993,certain,certain,-0.4899999999999993,30.632500000000007,336.70805107988417,None,336.70805107988417,None,336.70805107988417,None,336.70805107988417,None,336.70805107988417,None,336.70805107988417,None,336.70805107988417,None,3,2.501036751549691,336.70805107988417,None,339.24236659664894,None,339.24236659664894,None,339.24236659664894,None,339.24236659664894,None,339.24236659664894,None,339.24236659664894,None,339.24236659664894,None,343.227257542545,None,343.227257542545,None,343.227257542545,None,343.227257542545,None,343.227257542545,None,343.227257542545,None,343.227257542545,None,352.73095400986494,None,344.2276508041541,None,345.2280767043121,None,0.48,7.502791869570501,348.22919473203365,None,None,348.22919473203365,None,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,12.3,,,,,,,,,0,0,0,0,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.48,-0.52,-6.8199999999999985,14.099999999999998,12.3,-1.7999999999999972,-0.8999999999999986,gamble,win,12.3,42.932500000000005,354.7483487171703,None,354.7483487171703,None,354.7483487171703,None,354.7483487171703,None,354.7483487171703,None,354.7483487171703,None,354.7483487171703,None,1,1.4342046739766374,354.7483487171703,None,356.21564528509043,None,356.21564528509043,None,356.21564528509043,None,356.21564528509043,None,356.21564528509043,None,356.21564528509043,None,356.21564528509043,None,360.21712009620387,None,360.21712009620387,None,360.21712009620387,None,360.21712009620387,None,360.21712009620387,None,360.21712009620387,None,360.21712009620387,None,361.2008805348887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,4.7,,,,,,,,,0,0,0,0,0,13,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.48,-0.52,-7.339999999999998,14.619999999999997,4.7,-9.919999999999998,-2.609999999999999,gamble,win,4.7,47.63250000000001,363.218306920724,None,363.218306920724,None,363.218306920724,None,363.218306920724,None,363.218306920724,None,363.218306920724,None,363.218306920724,None,None,,363.218306920724,None,366.21952798368875,None,366.21952798368875,None,366.21952798368875,None,366.21952798368875,None,366.21952798368875,None,366.21952798368875,None,366.21952798368875,None,370.2210235937964,None,370.2210235937964,None,370.2210235937964,None,370.2210235937964,None,370.2210235937964,None,370.2210235937964,None,370.2210235937964,None,371.20473891461734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,6.1,,,,,,,,,0,0,0,0,0,14,14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.48,-0.52,-7.859999999999998,15.139999999999997,6.1,-9.039999999999997,-1.4699999999999989,gamble,win,6.1,53.73250000000001,373.22225489630364,None,373.22225489630364,None,373.22225489630364,None,373.22225489630364,None,373.22225489630364,None,373.22225489630364,None,373.22225489630364,None,1,1.2007170224678703,373.22225489630364,None,374.456074372225,None,374.456074372225,None,374.456074372225,None,374.456074372225,None,374.456074372225,None,374.456074372225,None,374.456074372225,None,378.45760614064056,None,378.45760614064056,None,378.45760614064056,None,378.45760614064056,None,378.45760614064056,None,378.45760614064056,None,378.45760614064056,None,387.9446214673226,None,379.4413217814872,None,380.4417073634686,None,0.53,7.50282034825068,383.44286122953054,None,None,383.44286122953054,None,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,2.9,,,,,,,,,0,0,0,0,0,15,15,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.53,-0.47,-8.329999999999998,-2.3391666666666664,2.9,0.5608333333333335,1.7304166666666667,gamble,lose,0.5608333333333335,54.293333333333344,389.9620865713223,None,389.9620865713223,None,389.9620865713223,None,389.9620865713223,None,389.9620865713223,None,389.9620865713223,None,389.9620865713223,None,1,0.9339205272844993,389.9620865713223,None,390.92909579270054,None,390.92909579270054,None,390.92909579270054,None,390.92909579270054,None,390.92909579270054,None,390.92909579270054,None,390.92909579270054,None,394.93066147953505,None,394.93066147953505,None,394.93066147953505,None,394.93066147953505,None,394.93066147953505,None,394.93066147953505,None,394.93066147953505,None,395.9143777603167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,13.1,,,,,,,,,0,0,0,0,0,16,16,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.53,-0.47,-8.799999999999999,15.379999999999999,13.1,-2.2799999999999994,-1.1399999999999997,gamble,win,13.1,67.39333333333335,397.9317510286346,None,397.9317510286346,None,397.9317510286346,None,397.9317510286346,None,397.9317510286346,None,397.9317510286346,None,397.9317510286346,None,1,0.984037225774955,397.9317510286346,None,398.94883951026713,None,398.94883951026713,None,398.94883951026713,None,398.94883951026713,None,398.94883951026713,None,398.94883951026713,None,398.94883951026713,None,402.95051879179664,None,402.95051879179664,None,402.95051879179664,None,402.95051879179664,None,402.95051879179664,None,402.95051879179664,None,402.95051879179664,None,412.43740292458097,None,403.93416019604774,None,404.9344961803872,None,0.52,7.50282034825068,407.93567660520785,None,None,407.93567660520785,None,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,4.5,,,,,,,,,0,0,0,0,0,17,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.52,-0.48,-9.28,16.0,4.5,-11.5,-3.5,certain,certain,-3.5,63.893333333333345,414.4548395499005,None,414.4548395499005,None,414.4548395499005,None,414.4548395499005,None,414.4548395499005,None,414.4548395499005,None,414.4548395499005,None,3,1.7007375015527941,414.4548395499005,None,416.188920773624,None,416.188920773624,None,416.188920773624,None,416.188920773624,None,416.188920773624,None,416.188920773624,None,416.188920773624,None,420.1904957400402,None,420.1904957400402,None,420.1904957400402,None,420.1904957400402,None,420.1904957400402,None,420.1904957400402,None,420.1904957400402,None,421.1742456192733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,9.9,,,,,,,,,0,0,0,0,0,18,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.52,-0.48,-9.76,16.48,9.9,-6.58,1.6600000000000001,certain,certain,1.6600000000000001,65.55333333333334,423.191579849401,None,423.191579849401,None,423.191579849401,None,423.191579849401,None,423.191579849401,None,423.191579849401,None,423.191579849401,None,3,1.7509367562597618,423.191579849401,None,424.97560337983305,None,424.97560337983305,None,424.97560337983305,None,424.97560337983305,None,424.97560337983305,None,424.97560337983305,None,424.97560337983305,None,428.96049080591183,None,428.96049080591183,None,428.96049080591183,None,428.96049080591183,None,428.96049080591183,None,428.96049080591183,None,428.96049080591183,None,429.9609333451954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,2.5,,,,,,,,,0,0,0,0,0,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.52,-0.48,-10.24,16.96,2.5,-14.46,-5.98,gamble,win,2.5,68.05333333333334,431.97837509034434,None,431.97837509034434,None,431.97837509034434,None,431.97837509034434,None,431.97837509034434,None,431.97837509034434,None,431.97837509034434,None,1,2.8846434694714844,431.97837509034434,None,434.89617093093693,None,434.89617093093693,None,434.89617093093693,None,434.89617093093693,None,434.89617093093693,None,434.89617093093693,None,434.89617093093693,None,438.8977132588625,None,438.8977132588625,None,438.8977132588625,None,438.8977132588625,None,438.8977132588625,None,438.8977132588625,None,438.8977132588625,None,448.3846658684197,None,439.88143593934365,None,440.88177448353963,None,0.52,7.502882105356548,443.8829821071122,None,None,443.8829821071122,None,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,1.3,,,,,,,,,0,0,0,0,0,20,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.52,-0.48,-10.72,-2.5733333333333333,1.3,-1.2733333333333332,0.01333333333333342,certain,certain,0.01333333333333342,68.06666666666668,450.4021392920986,None,450.4021392920986,None,450.4021392920986,None,450.4021392920986,None,450.4021392920986,None,450.4021392920986,None,450.4021392920986,None,3,2.6510943808825687,450.4021392920986,None,453.08651339809876,None,453.08651339809876,None,453.08651339809876,None,453.08651339809876,None,453.08651339809876,None,453.08651339809876,None,453.08651339809876,None,457.0714715408976,None,457.0714715408976,None,457.0714715408976,None,457.0714715408976,None,457.0714715408976,None,457.0714715408976,None,457.0714715408976,None,458.07178672612645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,13.7,,,,,,,,,0,0,0,0,0,21,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.52,-0.48,-11.200000000000001,17.92,13.7,-4.220000000000002,-2.110000000000001,gamble,win,13.7,81.76666666666668,460.0892617497011,None,460.0892617497011,None,460.0892617497011,None,460.0892617497011,None,460.0892617497011,None,460.0892617497011,None,460.0892617497011,None,1,1.6509379082126543,460.0892617497011,None,461.77327107283054,None,461.77327107283054,None,461.77327107283054,None,461.77327107283054,None,461.77327107283054,None,461.77327107283054,None,461.77327107283054,None,465.7747932416969,None,465.7747932416969,None,465.7747932416969,None,465.7747932416969,None,465.7747932416969,None,465.7747932416969,None,465.7747932416969,None,475.26183672703337,None,466.75848456361564,None,467.75889062468195,None,0.51,7.5028008291265,470.7600422508549,None,None,470.7600422508549,None,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
,,,1,1,-1.3,,,,,,,,,0,0,0,0,0,22,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.51,-0.49,-11.690000000000001,18.55,-1.3,-19.85,-10.575000000000001,gamble,win,-1.3,80.46666666666668,477.2792887116666,None,477.2792887116666,None,477.2792887116666,None,477.2792887116666,None,477.2792887116666,None,477.2792887116666,None,477.2792887116666,None,1,2.951338593440596,477.2792887116666,None,480.2637246387894,None,480.2637246387894,None,480.2637246387894,None,480.2637246387894,None,480.2637246387894,None,480.2637246387894,None,480.2637246387894,None,484.26533320365706,None,484.26533320365706,None,484.26533320365706,None,484.26533320365706,None,484.26533320365706,None,484.26533320365706,None,484.26533320365706,None,485.2490648436942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23732,2019_Oct_09_1734,Mmi_3levels,3.1.5,59.95921047158436,
