currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,participant,date,expName,psychopyVersion,frameRate,
,,,2,0,12.7,,,,,,,,,0,1,1,1,0,13,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.63,0.63,10.34,-19.16,12.7,-6.460000000000001,-3.2300000000000004,gamble,lose,-6.460000000000001,90.70833333333334,1151.065895372234,None,1151.065895372234,None,1151.065895372234,None,1151.065895372234,None,1151.065895372234,None,1151.065895372234,None,1151.065895372234,None,1,2.117839351631119,1151.065895372234,None,1153.216749607056,None,1153.216749607056,None,1153.216749607056,None,1153.216749607056,None,1153.216749607056,None,1153.216749607056,None,1153.216749607056,None,1157.2183232985699,None,1157.2183232985699,None,1157.2183232985699,None,1157.2183232985699,None,1157.2183232985699,None,1157.2183232985699,None,1157.2183232985699,None,1166.7053603427175,None,1158.2020296076716,None,1159.20239407181,None,0.76,7.502848836018529,1162.2035799402001,None,None,1162.2035799402001,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,5.1,,,,,,,,,0,1,1,1,0,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.76,0.76,11.1,-21.740000000000002,5.1,-16.64,-5.7700000000000005,certain,certain,-5.7700000000000005,84.93833333333335,1168.7228155830653,None,1168.7228155830653,None,1168.7228155830653,None,1168.7228155830653,None,1168.7228155830653,None,1168.7228155830653,None,1168.7228155830653,None,3,2.034363304508588,1168.7228155830653,None,1170.7902894466024,None,1170.7902894466024,None,1170.7902894466024,None,1170.7902894466024,None,1170.7902894466024,None,1170.7902894466024,None,1170.7902894466024,None,1174.7918608982127,None,1174.7918608982127,None,1174.7918608982127,None,1174.7918608982127,None,1174.7918608982127,None,1174.7918608982127,None,1174.7918608982127,None,1175.775572327093,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,1.7,,,,,,,,,0,1,1,1,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.76,0.76,11.86,-22.5,1.7,-20.8,-9.55,gamble,lose,-20.8,64.13833333333335,1177.793031087287,None,1177.793031087287,None,1177.793031087287,None,1177.793031087287,None,1177.793031087287,None,1177.793031087287,None,1177.793031087287,None,None,,1177.793031087287,None,1180.7941507185606,None,1180.7941507185606,None,1180.7941507185606,None,1180.7941507185606,None,1180.7941507185606,None,1180.7941507185606,None,1180.7941507185606,None,1184.7790390562204,None,1184.7790390562204,None,1184.7790390562204,None,1184.7790390562204,None,1184.7790390562204,None,1184.7790390562204,None,1184.7790390562204,None,1194.282792172884,None,1185.779486396752,None,1186.7798809395808,None,0.61,7.502868675155696,1189.781039929143,None,None,1189.781039929143,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,6.7,,,,,,,,,0,1,1,1,0,16,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,0.61,0.61,12.469999999999999,3.1741666666666664,1.675,-1.4991666666666663,0.08791666666666687,gamble,win,1.675,65.81333333333335,1196.3002682123279,None,1196.3002682123279,None,1196.3002682123279,None,1196.3002682123279,None,1196.3002682123279,None,1196.3002682123279,None,1196.3002682123279,None,1,1.850963926050099,1196.3002682123279,None,1198.1843113387695,None,1198.1843113387695,None,1198.1843113387695,None,1198.1843113387695,None,1198.1843113387695,None,1198.1843113387695,None,1198.1843113387695,None,1202.1691731175852,None,1202.1691731175852,None,1202.1691731175852,None,1202.1691731175852,None,1202.1691731175852,None,1202.1691731175852,None,1202.1691731175852,None,1203.1696198181453,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,13.9,,,,,,,,,0,1,1,1,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.61,0.61,13.079999999999998,-21.619999999999997,13.9,-7.719999999999997,-3.8599999999999985,gamble,lose,-7.719999999999997,58.09333333333335,1205.1871166566834,None,1205.1871166566834,None,1205.1871166566834,None,1205.1871166566834,None,1205.1871166566834,None,1205.1871166566834,None,1205.1871166566834,None,1,1.2340269351479947,1205.1871166566834,None,1206.4542519109564,None,1206.4542519109564,None,1206.4542519109564,None,1206.4542519109564,None,1206.4542519109564,None,1206.4542519109564,None,1206.4542519109564,None,1210.4390772113602,None,1210.4390772113602,None,1210.4390772113602,None,1210.4390772113602,None,1210.4390772113602,None,1210.4390772113602,None,1210.4390772113602,None,1211.4395264718078,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,7.1,,,,,,,,,0,1,1,1,0,18,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.61,0.61,13.689999999999998,-22.229999999999997,7.1,-15.129999999999997,-4.014999999999999,certain,certain,-4.014999999999999,54.07833333333335,1213.4569266745511,None,1213.4569266745511,None,1213.4569266745511,None,1213.4569266745511,None,1213.4569266745511,None,1213.4569266745511,None,1213.4569266745511,None,3,2.668009328233893,1213.4569266745511,None,1216.1580382421762,None,1216.1580382421762,None,1216.1580382421762,None,1216.1580382421762,None,1216.1580382421762,None,1216.1580382421762,None,1216.1580382421762,None,1220.1595821749834,None,1220.1595821749834,None,1220.1595821749834,None,1220.1595821749834,None,1220.1595821749834,None,1220.1595821749834,None,1220.1595821749834,None,1229.6466492978216,None,1221.14331824279,None,1222.1437102257314,None,0.63,7.502896193958804,1225.1448349767816,None,None,1225.1448349767816,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,2.3,,,,,,,,,0,1,1,1,0,19,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.63,0.63,14.319999999999999,-23.14,2.3,-20.84,-9.27,certain,certain,-9.27,44.80833333333335,1231.6640536603845,None,1231.6640536603845,None,1231.6640536603845,None,1231.6640536603845,None,1231.6640536603845,None,1231.6640536603845,None,1231.6640536603845,None,3,1.8843659923913947,1231.6640536603845,None,1233.581505572878,None,1233.581505572878,None,1233.581505572878,None,1233.581505572878,None,1233.581505572878,None,1233.581505572878,None,1233.581505572878,None,1237.583087904015,None,1237.583087904015,None,1237.583087904015,None,1237.583087904015,None,1237.583087904015,None,1237.583087904015,None,1237.583087904015,None,1238.566754854828,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,13.7,,,,,,,,,0,1,1,1,0,20,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.63,0.63,14.95,-23.77,13.7,-10.07,1.8149999999999995,gamble,lose,-10.07,34.73833333333335,1240.5842468935753,None,1240.5842468935753,None,1240.5842468935753,None,1240.5842468935753,None,1240.5842468935753,None,1240.5842468935753,None,1240.5842468935753,None,1,1.53419147198656,1240.5842468935753,None,1242.1515626839919,None,1242.1515626839919,None,1242.1515626839919,None,1242.1515626839919,None,1242.1515626839919,None,1242.1515626839919,None,1242.1515626839919,None,1246.1531376554485,None,1246.1531376554485,None,1246.1531376554485,None,1246.1531376554485,None,1246.1531376554485,None,1246.1531376554485,None,1246.1531376554485,None,1255.640121261922,None,1247.136827965247,None,1248.137212908494,None,0.65,7.502840196395482,1251.138378617763,None,None,1251.138378617763,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,6.9,,,,,,,,,0,1,1,1,0,21,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.65,0.65,15.6,3.575,1.725,-1.85,-0.0625,gamble,win,1.725,36.46333333333335,1257.657607860905,None,1257.657607860905,None,1257.657607860905,None,1257.657607860905,None,1257.657607860905,None,1257.657607860905,None,1257.657607860905,None,1,2.851323910383144,1257.657607860905,None,1260.5420311308044,None,1260.5420311308044,None,1260.5420311308044,None,1260.5420311308044,None,1260.5420311308044,None,1260.5420311308044,None,1260.5420311308044,None,1264.543637460898,None,1264.543637460898,None,1264.543637460898,None,1264.543637460898,None,1264.543637460898,None,1264.543637460898,None,1264.543637460898,None,1265.5273012118505,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,12.3,,,,,,,,,0,1,1,1,0,22,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.65,0.65,16.25,-25.35,12.3,-13.05,-0.375,gamble,lose,-13.05,23.41333333333335,1267.5448537279663,None,1267.5448537279663,None,1267.5448537279663,None,1267.5448537279663,None,1267.5448537279663,None,1267.5448537279663,None,1267.5448537279663,None,1,1.0839477065946994,1267.5448537279663,None,1268.6619075137842,None,1268.6619075137842,None,1268.6619075137842,None,1268.6619075137842,None,1268.6619075137842,None,1268.6619075137842,None,1268.6619075137842,None,1272.663475445548,None,1272.663475445548,None,1272.663475445548,None,1272.663475445548,None,1272.663475445548,None,1272.663475445548,None,1272.663475445548,None,1282.1505153695707,None,1273.6471958340371,None,1274.647591336825,None,0.66,7.502815877453031,1277.6487500063995,None,None,1277.6487500063995,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
