currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,participant,date,expName,psychopyVersion,frameRate,
,,,2,0,3.1,,,,,,,,,0,1,1,1,0,23,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.66,0.66,16.91,-26.15,3.1,-23.049999999999997,-9.974999999999998,certain,certain,-9.974999999999998,13.438333333333354,1284.1679802095005,None,1284.1679802095005,None,1284.1679802095005,None,1284.1679802095005,None,1284.1679802095005,None,1284.1679802095005,None,1284.1679802095005,None,3,1.6675693473825959,1284.1679802095005,None,1285.8686412367333,None,1285.8686412367333,None,1285.8686412367333,None,1285.8686412367333,None,1285.8686412367333,None,1285.8686412367333,None,1285.8686412367333,None,1289.870151251018,None,1289.870151251018,None,1289.870151251018,None,1289.870151251018,None,1289.870151251018,None,1289.870151251018,None,1289.870151251018,None,1290.8539276370684,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,12.1,,,,,,,,,0,1,1,1,0,24,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.66,0.66,17.57,-26.810000000000002,12.1,-14.710000000000003,-1.3050000000000015,gamble,lose,-14.710000000000003,-1.2716666666666487,1292.871389597125,None,1292.871389597125,None,1292.871389597125,None,1292.871389597125,None,1292.871389597125,None,1292.871389597125,None,1292.871389597125,None,1,2.1844265337567776,1292.871389597125,None,1295.0889724479184,None,1295.0889724479184,None,1295.0889724479184,None,1295.0889724479184,None,1295.0889724479184,None,1295.0889724479184,None,1295.0889724479184,None,1299.0904751025228,None,1299.0904751025228,None,1299.0904751025228,None,1299.0904751025228,None,1299.0904751025228,None,1299.0904751025228,None,1299.0904751025228,None,1300.0741913311922,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,9.7,,,,,,,,,0,1,1,1,0,25,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.66,0.66,18.23,-27.47,9.7,-17.77,-4.035,certain,certain,-4.035,-5.306666666666649,1302.0916536112345,None,1302.0916536112345,None,1302.0916536112345,None,1302.0916536112345,None,1302.0916536112345,None,1302.0916536112345,None,1302.0916536112345,None,3,1.8009731416495924,1302.0916536112345,None,1303.9256838742367,None,1303.9256838742367,None,1303.9256838742367,None,1303.9256838742367,None,1303.9256838742367,None,1303.9256838742367,None,1303.9256838742367,None,1307.9272662053754,None,1307.9272662053754,None,1307.9272662053754,None,1307.9272662053754,None,1307.9272662053754,None,1307.9272662053754,None,1307.9272662053754,None,1317.4143221287013,None,1308.9109920336268,None,1309.911383376595,None,0.64,7.502848836018529,1312.9125490858642,None,None,1312.9125490858642,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,2,0,0.3,,,,,,,,,0,1,1,1,0,26,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.64,0.64,18.87,3.8125,0.075,-3.7375,-1.8312499999999998,certain,certain,-1.8312499999999998,-7.137916666666649,1319.4317245713464,None,1319.4317245713464,None,1319.4317245713464,None,1319.4317245713464,None,1319.4317245713464,None,1319.4317245713464,None,1319.4317245713464,None,3,2.017559235822773,1319.4317245713464,None,1321.4825281203757,None,1321.4825281203757,None,1321.4825281203757,None,1321.4825281203757,None,1321.4825281203757,None,1321.4825281203757,None,1321.4825281203757,None,1325.4841421301335,None,1325.4841421301335,None,1325.4841421301335,None,1325.4841421301335,None,1325.4841421301335,None,1325.4841421301335,None,1325.4841421301335,None,1326.46785707886,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,5.5,,,,,,,,,0,2,2,2,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.672210745388,None,0.76,7.502163105862564,1340.6733530956735,None,None,1340.6733530956735,None,1345.175158457103,None,True,False,True,0.76,-0.24,-0.24,-0.86,5.5,4.64,2.32,gamble,lose,4.64,-2.497916666666649,1348.2097079935083,None,1348.2097079935083,None,1348.2097079935083,None,1348.2097079935083,None,1348.2097079935083,None,1348.2097079935083,None,1348.2097079935083,None,1,0.9837319079870213,1348.2097079935083,None,1349.22670885363,None,1349.22670885363,None,1349.22670885363,None,1349.22670885363,None,1349.22670885363,None,1349.22670885363,None,1349.22670885363,None,1353.2116499889926,None,1353.2116499889926,None,1353.2116499889926,None,1353.2116499889926,None,1353.2116499889926,None,1353.2116499889926,None,1353.2116499889926,None,1362.7152955903366,None,1354.2120403720037,None,1355.2124329949165,None,0.68,7.503528166454998,1358.2135452665098,None,None,1358.2135452665098,None,1328.4685786474565,None,4,9.187174574162782,1328.4685786474565,None,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,0.3,,,,,,,,,0,2,2,2,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.68,-0.31999999999999995,-0.5599999999999999,-1.1666666666666665,0.3,-0.8666666666666665,-0.2833333333333332,gamble,lose,-0.8666666666666665,-3.3645833333333153,1364.7328327471187,None,1364.7328327471187,None,1364.7328327471187,None,1364.7328327471187,None,1364.7328327471187,None,1364.7328327471187,None,1364.7328327471187,None,1,1.750924759753616,1364.7328327471187,None,1366.5168578263474,None,1366.5168578263474,None,1366.5168578263474,None,1366.5168578263474,None,1366.5168578263474,None,1366.5168578263474,None,1366.5168578263474,None,1370.5183729604087,None,1370.5183729604087,None,1370.5183729604087,None,1370.5183729604087,None,1370.5183729604087,None,1370.5183729604087,None,1370.5183729604087,None,1371.5021375069755,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,8.7,,,,,,,,,0,2,2,2,0,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.68,-0.31999999999999995,-0.8799999999999999,5.359999999999999,8.7,3.34,1.67,gamble,win,8.7,5.335416666666684,1373.5195997870178,None,1373.5195997870178,None,1373.5195997870178,None,1373.5195997870178,None,1373.5195997870178,None,1373.5195997870178,None,1373.5195997870178,None,1,1.0673602684801153,1373.5195997870178,None,1374.6200712544996,None,1374.6200712544996,None,1374.6200712544996,None,1374.6200712544996,None,1374.6200712544996,None,1374.6200712544996,None,1374.6200712544996,None,1378.6049483926454,None,1378.6049483926454,None,1378.6049483926454,None,1378.6049483926454,None,1378.6049483926454,None,1378.6049483926454,None,1378.6049483926454,None,1379.6053070970356,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,1.1,,,,,,,,,0,2,2,2,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.68,-0.31999999999999995,-1.1999999999999997,5.68,1.1,-4.58,-1.74,certain,certain,-1.74,3.595416666666684,1381.6227690570904,None,1381.6227690570904,None,1381.6227690570904,None,1381.6227690570904,None,1381.6227690570904,None,1381.6227690570904,None,1381.6227690570904,None,3,2.734667227281534,1381.6227690570904,None,1384.390521564501,None,1384.390521564501,None,1384.390521564501,None,1384.390521564501,None,1384.390521564501,None,1384.390521564501,None,1384.390521564501,None,1388.3754070222858,None,1388.3754070222858,None,1388.3754070222858,None,1388.3754070222858,None,1388.3754070222858,None,1388.3754070222858,None,1388.3754070222858,None,1397.8791342200784,None,1389.3758025250736,None,1390.3761426702713,None,0.71,7.502906113526478,1393.3773637371305,None,None,1393.3773637371305,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,9.7,,,,,,,,,0,2,2,2,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.71,-0.29000000000000004,-1.4899999999999998,5.550000000000001,9.7,4.149999999999999,2.0749999999999993,gamble,win,9.7,13.295416666666682,1399.8965878604959,None,1399.8965878604959,None,1399.8965878604959,None,1399.8965878604959,None,1399.8965878604959,None,1399.8965878604959,None,1399.8965878604959,None,1,1.0673589885373076,1399.8965878604959,None,1400.9970727673935,None,1400.9970727673935,None,1400.9970727673935,None,1400.9970727673935,None,1400.9970727673935,None,1400.9970727673935,None,1400.9970727673935,None,1404.9819041475312,None,1404.9819041475312,None,1404.9819041475312,None,1404.9819041475312,None,1404.9819041475312,None,1404.9819041475312,None,1404.9819041475312,None,1405.982323649274,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,5.1,,,,,,,,,0,2,2,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.71,-0.29000000000000004,-1.7799999999999998,5.84,5.1,-0.7400000000000002,-0.3700000000000001,gamble,win,5.1,18.395416666666684,1407.9997568105828,None,1407.9997568105828,None,1407.9997568105828,None,1407.9997568105828,None,1407.9997568105828,None,1407.9997568105828,None,1407.9997568105828,None,1,1.5175195575484395,1407.9997568105828,None,1409.5504205256984,None,1409.5504205256984,None,1409.5504205256984,None,1409.5504205256984,None,1409.5504205256984,None,1409.5504205256984,None,1409.5504205256984,None,1413.535225986965,None,1413.535225986965,None,1413.535225986965,None,1413.535225986965,None,1413.535225986965,None,1413.535225986965,None,1413.535225986965,None,1423.0389755837823,None,1414.53564132889,None,1415.5359856339055,None,0.71,7.502733641031227,1418.5371622226994,None,None,1418.5371622226994,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,2.1,,,,,,,,,0,2,2,2,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.71,-0.29000000000000004,-2.07,-1.1875,2.1,0.9125000000000001,1.50625,gamble,lose,0.9125000000000001,19.307916666666685,1425.0563780264274,None,1425.0563780264274,None,1425.0563780264274,None,1425.0563780264274,None,1425.0563780264274,None,1425.0563780264274,None,1425.0563780264274,None,1,1.6342127190619067,1425.0563780264274,None,1426.7236961847411,None,1426.7236961847411,None,1426.7236961847411,None,1426.7236961847411,None,1426.7236961847411,None,1426.7236961847411,None,1426.7236961847411,None,1430.7086354001876,None,1430.7086354001876,None,1430.7086354001876,None,1430.7086354001876,None,1430.7086354001876,None,1430.7086354001876,None,1430.7086354001876,None,1431.7090200234488,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,3.3,,,,,,,,,0,2,2,2,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.71,-0.29000000000000004,-2.36,6.42,3.3,-3.12,0.08999999999999986,gamble,win,3.3,22.607916666666686,1433.7264375054401,None,1433.7264375054401,None,1433.7264375054401,None,1433.7264375054401,None,1433.7264375054401,None,1433.7264375054401,None,1433.7264375054401,None,1,1.0838952288795554,1433.7264375054401,None,1434.8435946467616,None,1434.8435946467616,None,1434.8435946467616,None,1434.8435946467616,None,1434.8435946467616,None,1434.8435946467616,None,1434.8435946467616,None,1438.8284273068439,None,1438.8284273068439,None,1438.8284273068439,None,1438.8284273068439,None,1438.8284273068439,None,1438.8284273068439,None,1438.8284273068439,None,1448.3321957828393,None,1439.8288743273897,None,1440.82924839111,None,0.71,7.502806917842463,1443.8304272198075,None,None,1443.8304272198075,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,9.3,,,,,,,,,0,2,2,2,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.71,-0.29000000000000004,-2.65,6.710000000000001,9.3,2.59,1.295,gamble,win,9.3,31.907916666666686,1450.349656782937,None,1450.349656782937,None,1450.349656782937,None,1450.349656782937,None,1450.349656782937,None,1450.349656782937,None,1450.349656782937,None,1,0.7671717326866201,1450.349656782937,None,1451.149940354595,None,1451.149940354595,None,1451.149940354595,None,1451.149940354595,None,1451.149940354595,None,1451.149940354595,None,1451.149940354595,None,1455.1348555710847,None,1455.1348555710847,None,1455.1348555710847,None,1455.1348555710847,None,1455.1348555710847,None,1455.1348555710847,None,1455.1348555710847,None,1456.1352481939975,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,-0.1,,,,,,,,,0,2,2,2,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.71,-0.29000000000000004,-2.94,7.0,-0.1,-7.1,-3.5999999999999996,gamble,win,-0.1,31.807916666666685,1458.1527165537755,None,1458.1527165537755,None,1458.1527165537755,None,1458.1527165537755,None,1458.1527165537755,None,1458.1527165537755,None,1458.1527165537755,None,1,1.7342672446902725,1458.1527165537755,None,1459.920079318148,None,1459.920079318148,None,1459.920079318148,None,1459.920079318148,None,1459.920079318148,None,1459.920079318148,None,1459.920079318148,None,1463.921643410078,None,1463.921643410078,None,1463.921643410078,None,1463.921643410078,None,1463.921643410078,None,1463.921643410078,None,1463.921643410078,None,1464.9053557989155,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,4.3,,,,,,,,,0,2,2,2,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.71,-0.29000000000000004,-3.23,7.290000000000001,4.3,-2.990000000000001,0.6549999999999994,gamble,win,4.3,36.10791666666668,1466.922809439333,None,1466.922809439333,None,1466.922809439333,None,1466.922809439333,None,1466.922809439333,None,1466.922809439333,None,1466.922809439333,None,1,1.0173042069218354,1466.922809439333,None,1467.9732123657977,None,1467.9732123657977,None,1467.9732123657977,None,1467.9732123657977,None,1467.9732123657977,None,1467.9732123657977,None,1467.9732123657977,None,1471.974725579943,None,1471.974725579943,None,1471.974725579943,None,1471.974725579943,None,1471.974725579943,None,1471.974725579943,None,1471.974725579943,None,1481.461813821863,None,1472.9584482083337,None,1473.9588888291582,None,0.81,7.502788358649923,1476.960003340655,None,None,1476.960003340655,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,7.7,,,,,,,,,0,2,2,2,0,11,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.81,-0.18999999999999995,-3.42,-0.9499999999999997,7.7,6.75,3.375,gamble,lose,6.75,42.85791666666668,1483.479350018686,None,1483.479350018686,None,1483.479350018686,None,1483.479350018686,None,1483.479350018686,None,1483.479350018686,None,1483.479350018686,None,1,1.3173756278119981,1483.479350018686,None,1484.8298093266985,None,1484.8298093266985,None,1484.8298093266985,None,1484.8298093266985,None,1484.8298093266985,None,1484.8298093266985,None,1484.8298093266985,None,1488.814676225291,None,1488.814676225291,None,1488.814676225291,None,1488.814676225291,None,1488.814676225291,None,1488.814676225291,None,1488.814676225291,None,1489.815094447089,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,7.3,,,,,,,,,0,2,2,2,0,12,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.81,-0.18999999999999995,-3.61,-0.9658333333333331,7.3,6.3341666666666665,3.1670833333333333,gamble,lose,6.3341666666666665,49.19208333333335,1491.8324773705845,None,1491.8324773705845,None,1491.8324773705845,None,1491.8324773705845,None,1491.8324773705845,None,1491.8324773705845,None,1491.8324773705845,None,1,1.0341396342446387,1491.8324773705845,None,1492.899585810026,None,1492.899585810026,None,1492.899585810026,None,1492.899585810026,None,1492.899585810026,None,1492.899585810026,None,1492.899585810026,None,1496.8845215056244,None,1496.8845215056244,None,1496.8845215056244,None,1496.8845215056244,None,1496.8845215056244,None,1496.8845215056244,None,1496.8845215056244,None,1506.3882387838476,None,1497.8849275679513,None,1498.8852757128006,None,0.76,7.502867715196771,1501.886495819701,None,None,1501.886495819701,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,13.5,,,,,,,,,0,2,2,2,0,13,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.76,-0.24,-3.8499999999999996,7.209999999999999,13.5,6.290000000000001,3.1450000000000005,gamble,win,13.5,62.69208333333335,1508.4056956241257,None,1508.4056956241257,None,1508.4056956241257,None,1508.4056956241257,None,1508.4056956241257,None,1508.4056956241257,None,1508.4056956241257,None,1,0.93388831718039,1508.4056956241257,None,1509.3726973802095,None,1509.3726973802095,None,1509.3726973802095,None,1509.3726973802095,None,1509.3726973802095,None,1509.3726973802095,None,1509.3726973802095,None,1513.357641395447,None,1513.357641395447,None,1513.357641395447,None,1513.357641395447,None,1513.357641395447,None,1513.357641395447,None,1513.357641395447,None,1514.3580343383455,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,12.9,,,,,,,,,0,2,2,2,0,14,14,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.76,-0.24,-4.09,-1.1808333333333332,12.9,11.719166666666666,5.859583333333333,gamble,lose,11.719166666666666,74.41125000000002,1516.3754876587773,None,1516.3754876587773,None,1516.3754876587773,None,1516.3754876587773,None,1516.3754876587773,None,1516.3754876587773,None,1516.3754876587773,None,1,1.4174816711984022,1516.3754876587773,None,1517.826052370201,None,1517.826052370201,None,1517.826052370201,None,1517.826052370201,None,1517.826052370201,None,1517.826052370201,None,1517.826052370201,None,1521.8109352680967,None,1521.8109352680967,None,1521.8109352680967,None,1521.8109352680967,None,1521.8109352680967,None,1521.8109352680967,None,1521.8109352680967,None,1522.8113352506898,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,11.7,,,,,,,,,0,2,2,2,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.76,-0.24,-4.33,7.6899999999999995,11.7,4.01,2.005,gamble,win,11.7,86.11125000000003,1524.8287984906892,None,1524.8287984906892,None,1524.8287984906892,None,1524.8287984906892,None,1524.8287984906892,None,1524.8287984906892,None,1524.8287984906892,None,1,1.0673321097074222,1524.8287984906892,None,1525.929228039995,None,1525.929228039995,None,1525.929228039995,None,1525.929228039995,None,1525.929228039995,None,1525.929228039995,None,1525.929228039995,None,1529.9140645399111,None,1529.9140645399111,None,1529.9140645399111,None,1529.9140645399111,None,1529.9140645399111,None,1529.9140645399111,None,1529.9140645399111,None,1539.4178410155582,None,1530.914509640541,None,1531.914919222716,None,0.74,7.502786758721413,1534.9160628529444,None,None,1534.9160628529444,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,8.3,,,,,,,,,0,2,2,2,0,16,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.74,-0.26,-4.59,-1.2925,8.3,7.0075,3.50375,gamble,lose,7.0075,93.11875000000003,1541.4352898561847,None,1541.4352898561847,None,1541.4352898561847,None,1541.4352898561847,None,1541.4352898561847,None,1541.4352898561847,None,1541.4352898561847,None,1,0.950629348611983,1541.4352898561847,None,1542.419012804563,None,1542.419012804563,None,1542.419012804563,None,1542.419012804563,None,1542.419012804563,None,1542.419012804563,None,1542.419012804563,None,1546.403870423559,None,1546.403870423559,None,1546.403870423559,None,1546.403870423559,None,1546.403870423559,None,1546.403870423559,None,1546.403870423559,None,1547.4042908852607,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,1.7,,,,,,,,,0,2,2,2,0,17,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.74,-0.26,-4.85,8.49,1.7,-6.79,-2.545,gamble,win,1.7,94.81875000000004,1549.4216968477522,None,1549.4216968477522,None,1549.4216968477522,None,1549.4216968477522,None,1549.4216968477522,None,1549.4216968477522,None,1549.4216968477522,None,1,0.917314958453062,1549.4216968477522,None,1550.3721390045102,None,1550.3721390045102,None,1550.3721390045102,None,1550.3721390045102,None,1550.3721390045102,None,1550.3721390045102,None,1550.3721390045102,None,1554.3570148627132,None,1554.3570148627132,None,1554.3570148627132,None,1554.3570148627132,None,1554.3570148627132,None,1554.3570148627132,None,1554.3570148627132,None,1563.860726701174,None,1555.3573966060994,None,1556.3578029884138,None,0.72,7.5029864300304325,1559.3589594180867,None,None,1559.3589594180867,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,9.1,,,,,,,,,0,2,2,2,0,18,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.72,-0.28,-5.13,9.05,9.1,0.049999999999998934,0.024999999999999467,gamble,win,9.1,103.91875000000003,1565.8781880212573,None,1565.8781880212573,None,1565.8781880212573,None,1565.8781880212573,None,1565.8781880212573,None,1565.8781880212573,None,1565.8781880212573,None,1,0.633866174142895,1565.8781880212573,None,1566.5451170765045,None,1566.5451170765045,None,1566.5451170765045,None,1566.5451170765045,None,1566.5451170765045,None,1566.5451170765045,None,1566.5451170765045,None,1570.546652049703,None,1570.546652049703,None,1570.546652049703,None,1570.546652049703,None,1570.546652049703,None,1570.546652049703,None,1570.546652049703,None,1571.530401236938,None,,,,,,,,,,,,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
,,,3,1,-1.5,,,,,,,,,0,2,2,2,0,19,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.72,-0.28,-5.41,9.33,-1.5,-10.83,-6.165,gamble,win,-1.5,102.41875000000003,1573.5478567972714,None,1573.5478567972714,None,1573.5478567972714,None,1573.5478567972714,None,1573.5478567972714,None,1573.5478567972714,None,1573.5478567972714,None,1,2.0508569867051847,1573.5478567972714,None,1575.6320089749697,None,1575.6320089749697,None,1575.6320089749697,None,1575.6320089749697,None,1575.6320089749697,None,1575.6320089749697,None,1575.6320089749697,None,1579.633516429365,None,1579.633516429365,None,1579.633516429365,None,1579.633516429365,None,1579.633516429365,None,1579.633516429365,None,1579.633516429365,None,1589.120586752064,None,1580.6172899355424,None,1581.617608321685,None,0.73,7.502151906348445,1584.618840268071,None,None,1584.618840268071,None,,,,,,,,,24128,2019_Nov_08_1114,Mmi_3levels,3.1.5,59.96396562303688,
