currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.rt,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,1,1,4.9,,,,,,,,,0,0,0,0,0,15,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.74,-0.26,-4.64,8.28,4.9,-3.379999999999999,0.7600000000000007,certain,certain,0.7600000000000007,72.16,286.25239753806545,None,286.25239753806545,None,286.25239753806545,None,286.25239753806545,None,286.25239753806545,None,286.25239753806545,None,286.25239753806545,None,3,2.884768741691005,286.25239753806545,None,289.17021104350624,None,289.17021104350624,None,289.17021104350624,None,289.17021104350624,None,289.17021104350624,None,289.17021104350624,None,289.17021104350624,None,293.17171687436075,None,293.17171687436075,None,293.17171687436075,None,293.17171687436075,None,293.17171687436075,None,293.17171687436075,None,293.17171687436075,None,294.1553636024746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,-0.3,,,,,,,,,0,0,0,0,0,16,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.74,-0.26,-4.8999999999999995,-1.3183333333333334,-0.3,-1.6183333333333334,-0.9591666666666667,gamble,lose,-1.6183333333333334,70.54166666666666,296.17278913088376,None,296.17278913088376,None,296.17278913088376,None,296.17278913088376,None,296.17278913088376,None,296.17278913088376,None,296.17278913088376,None,1,2.4511646510518403,296.17278913088376,None,298.65709358006006,None,298.65709358006006,None,298.65709358006006,None,298.65709358006006,None,298.65709358006006,None,298.65709358006006,None,298.65709358006006,None,302.6419251980278,None,302.6419251980278,None,302.6419251980278,None,302.6419251980278,None,302.6419251980278,None,302.6419251980278,None,302.6419251980278,None,312.1454387500262,None,303.64231685484174,None,304.6426771535125,None,0.68,7.5023545806088805,307.64375132992154,None,None,307.64375132992154,None,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,1.9,,,,,,,,,0,0,0,0,0,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.68,-0.31999999999999995,-5.22,9.7,1.9,-7.799999999999999,-2.9499999999999993,gamble,win,1.9,72.44166666666666,314.1628677982262,None,314.1628677982262,None,314.1628677982262,None,314.1628677982262,None,314.1628677982262,None,314.1628677982262,None,314.1628677982262,None,1,2.001118333794693,314.1628677982262,None,316.1970094570397,None,316.1970094570397,None,316.1970094570397,None,316.1970094570397,None,316.1970094570397,None,316.1970094570397,None,316.1970094570397,None,320.19847529026265,None,320.19847529026265,None,320.19847529026265,None,320.19847529026265,None,320.19847529026265,None,320.19847529026265,None,320.19847529026265,None,321.18217673513755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,-1.3,,,,,,,,,0,0,0,0,0,18,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.68,-0.31999999999999995,-5.54,-1.5816666666666666,-1.3,-2.881666666666667,-2.0908333333333333,certain,certain,-2.0908333333333333,70.35083333333333,323.19960386345156,None,323.19960386345156,None,323.19960386345156,None,323.19960386345156,None,323.19960386345156,None,323.19960386345156,None,323.19960386345156,None,3,2.1510425782789753,323.19960386345156,None,325.38371296419245,None,325.38371296419245,None,325.38371296419245,None,325.38371296419245,None,325.38371296419245,None,325.38371296419245,None,325.38371296419245,None,329.38525335300164,None,329.38525335300164,None,329.38525335300164,None,329.38525335300164,None,329.38525335300164,None,329.38525335300164,None,329.38525335300164,None,330.3690175141628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,10.5,,,,,,,,,0,0,0,0,0,19,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.68,-0.31999999999999995,-5.86,10.34,10.5,0.16000000000000014,0.08000000000000007,gamble,win,10.5,80.85083333333333,332.3863422485392,None,332.3863422485392,None,332.3863422485392,None,332.3863422485392,None,332.3863422485392,None,332.3863422485392,None,332.3863422485392,None,1,1.7510428982604935,332.3863422485392,None,334.170436630151,None,334.170436630151,None,334.170436630151,None,334.170436630151,None,334.170436630151,None,334.170436630151,None,334.170436630151,None,338.15522377075285,None,338.15522377075285,None,338.15522377075285,None,338.15522377075285,None,338.15522377075285,None,338.15522377075285,None,338.15522377075285,None,347.65883395702986,None,339.15564774565337,None,340.1560304429977,None,0.67,7.502779195471703,343.15714269715227,None,None,343.15714269715227,None,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,9.1,,,,,,,,,0,0,0,0,0,20,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.67,-0.32999999999999996,-6.19,10.809999999999999,9.1,-1.709999999999999,-0.8549999999999995,gamble,win,9.1,89.95083333333332,349.67627708439613,None,349.67627708439613,None,349.67627708439613,None,349.67627708439613,None,349.67627708439613,None,349.67627708439613,None,349.67627708439613,None,1,2.301096095111461,349.67627708439613,None,351.9937382906928,None,351.9937382906928,None,351.9937382906928,None,351.9937382906928,None,351.9937382906928,None,351.9937382906928,None,351.9937382906928,None,355.9952258826279,None,355.9952258826279,None,355.9952258826279,None,355.9952258826279,None,355.9952258826279,None,355.9952258826279,None,355.9952258826279,None,356.99563097864575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,8.5,,,,,,,,,0,0,0,0,0,21,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.67,-0.32999999999999996,-6.5200000000000005,11.14,8.5,-2.6400000000000006,-1.3200000000000003,gamble,win,8.5,98.45083333333332,359.0131013044029,None,359.0131013044029,None,359.0131013044029,None,359.0131013044029,None,359.0131013044029,None,359.0131013044029,None,359.0131013044029,None,1,2.2344865983932323,359.0131013044029,None,361.2806291467541,None,361.2806291467541,None,361.2806291467541,None,361.2806291467541,None,361.2806291467541,None,361.2806291467541,None,361.2806291467541,None,365.2820514625537,None,365.2820514625537,None,365.2820514625537,None,365.2820514625537,None,365.2820514625537,None,365.2820514625537,None,365.2820514625537,None,374.7689586376482,None,366.26573306860246,None,367.26621144028286,None,0.69,7.5027334381802575,370.267316974835,None,None,370.267316974835,None,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,7.1,,,,,,,,,0,0,0,0,0,22,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.69,-0.31000000000000005,-6.83,11.170000000000002,7.1,-4.070000000000002,1.5149999999999988,gamble,win,7.1,105.55083333333332,376.7863838460762,None,376.7863838460762,None,376.7863838460762,None,376.7863838460762,None,376.7863838460762,None,376.7863838460762,None,376.7863838460762,None,None,,376.7863838460762,None,379.78753001822315,None,379.78753001822315,None,379.78753001822315,None,379.78753001822315,None,379.78753001822315,None,379.78753001822315,None,379.78753001822315,None,383.7723491569295,None,383.7723491569295,None,383.7723491569295,None,383.7723491569295,None,383.7723491569295,None,383.7723491569295,None,383.7723491569295,None,384.77273665399025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,6.7,,,,,,,,,0,0,0,0,0,23,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.69,-0.31000000000000005,-7.140000000000001,11.48,6.7,-4.78,0.96,gamble,win,6.7,112.25083333333332,386.7901263445201,None,386.7901263445201,None,386.7901263445201,None,386.7901263445201,None,386.7901263445201,None,386.7901263445201,None,386.7901263445201,None,None,,386.7901263445201,None,389.79127443655307,None,389.79127443655307,None,389.79127443655307,None,389.79127443655307,None,389.79127443655307,None,389.79127443655307,None,389.79127443655307,None,393.7761022147488,None,393.7761022147488,None,393.7761022147488,None,393.7761022147488,None,393.7761022147488,None,393.7761022147488,None,393.7761022147488,None,403.27963624553377,None,394.7764657132293,None,395.7769178464632,None,0.7,7.502608325587062,398.77794946539143,None,None,398.77794946539143,None,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,3.1,,,,,,,,,0,0,0,0,0,24,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.7,-0.30000000000000004,-7.44,11.64,3.1,-8.540000000000001,-2.7200000000000006,gamble,win,3.1,115.35083333333331,405.29707521314776,None,405.29707521314776,None,405.29707521314776,None,405.29707521314776,None,405.29707521314776,None,405.29707521314776,None,405.29707521314776,None,None,,405.29707521314776,None,408.2982261850102,None,408.2982261850102,None,408.2982261850102,None,408.2982261850102,None,408.2982261850102,None,408.2982261850102,None,408.2982261850102,None,412.2997313759024,None,412.2997313759024,None,412.2997313759024,None,412.2997313759024,None,412.2997313759024,None,412.2997313759024,None,412.2997313759024,None,413.2834254612126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
,,,1,1,5.7,,,,,,,,,0,0,0,0,0,25,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.7,-0.30000000000000004,-7.74,11.940000000000001,5.7,-6.240000000000001,-0.27000000000000046,certain,certain,-0.27000000000000046,115.08083333333332,415.30088650751895,None,415.30088650751895,None,415.30088650751895,None,415.30088650751895,None,415.30088650751895,None,415.30088650751895,None,415.30088650751895,None,3,1.834223573964664,415.30088650751895,None,417.1682220412549,None,417.1682220412549,None,417.1682220412549,None,417.1682220412549,None,417.1682220412549,None,417.1682220412549,None,417.1682220412549,None,421.15304437977284,None,421.15304437977284,None,421.15304437977284,None,421.15304437977284,None,421.15304437977284,None,421.15304437977284,None,421.15304437977284,None,422.15343251679496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23951,2019_Oct_11_1037,Mmi_3levels,3.1.5,59.971464867429205,
