currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,1,1,0.5,,,,,,,,,0,0,0,0,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.69,-0.31000000000000005,-3.4800000000000004,-1.3750000000000002,0.5,-0.8750000000000002,-0.1875000000000001,certain,certain,-0.1875000000000001,94.40374999999999,1045.9306241652812,None,1045.9306241652812,None,1045.9306241652812,None,1045.9306241652812,None,1045.9306241652812,None,1045.9306241652812,None,1045.9306241652812,None,3,2.5179164882865734,1045.9306241652812,None,1048.4816236961633,None,1048.4816236961633,None,1048.4816236961633,None,1048.4816236961633,None,1048.4816236961633,None,1048.4816236961633,None,1048.4816236961633,None,1052.483148735133,None,1052.483148735133,None,1052.483148735133,None,1052.483148735133,None,1052.483148735133,None,1052.483148735133,None,1052.483148735133,None,1061.9701551853796,None,1053.4668340818025,None,1054.4672449399368,None,0.77,7.502742574317381,1057.468389519141,None,None,1057.468389519141,None,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
,,,1,1,10.5,,,,,,,,,0,0,0,0,0,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.77,-0.22999999999999998,-3.7100000000000004,6.93,10.5,3.5700000000000003,1.7850000000000001,gamble,win,10.5,104.90374999999999,1063.9875373020186,None,1063.9875373020186,None,1063.9875373020186,None,1063.9875373020186,None,1063.9875373020186,None,1063.9875373020186,None,1063.9875373020186,None,1,1.1339922423358075,1063.9875373020186,None,1065.1546733837458,None,1065.1546733837458,None,1065.1546733837458,None,1065.1546733837458,None,1065.1546733837458,None,1065.1546733837458,None,1065.1546733837458,None,1069.1561965028523,None,1069.1561965028523,None,1069.1561965028523,None,1069.1561965028523,None,1069.1561965028523,None,1069.1561965028523,None,1069.1561965028523,None,1070.139997683349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
,,,1,1,8.1,,,,,,,,,0,0,0,0,0,16,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.77,-0.22999999999999998,-3.9400000000000004,7.16,8.1,0.9399999999999995,0.46999999999999975,gamble,win,8.1,113.00374999999998,1072.157343641913,None,1072.157343641913,None,1072.157343641913,None,1072.157343641913,None,1072.157343641913,None,1072.157343641913,None,1072.157343641913,None,1,1.5842137665604241,1072.157343641913,None,1073.7746276517864,None,1073.7746276517864,None,1073.7746276517864,None,1073.7746276517864,None,1073.7746276517864,None,1073.7746276517864,None,1073.7746276517864,None,1077.7594991754158,None,1077.7594991754158,None,1077.7594991754158,None,1077.7594991754158,None,1077.7594991754158,None,1077.7594991754158,None,1077.7594991754158,None,1087.2631313024904,None,1078.7599084336543,None,1079.7602450557752,None,0.83,7.50282385002356,1082.7613947546924,None,None,1082.7613947546924,None,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
,,,1,1,3.3,,,,,,,,,0,0,0,0,0,17,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.83,-0.17000000000000004,-4.11,6.490000000000001,3.3,-3.1900000000000013,0.05499999999999927,certain,certain,0.05499999999999927,113.05874999999997,1089.3018226872082,None,1089.3018226872082,None,1089.3018226872082,None,1089.3018226872082,None,1089.3018226872082,None,1089.3018226872082,None,1089.3018226872082,None,3,2.0631457656854764,1089.3018226872082,None,1091.3980274967616,None,1091.3980274967616,None,1091.3980274967616,None,1091.3980274967616,None,1091.3980274967616,None,1091.3980274967616,None,1091.3980274967616,None,1095.3995589354308,None,1095.3995589354308,None,1095.3995589354308,None,1095.3995589354308,None,1095.3995589354308,None,1095.3995589354308,None,1095.3995589354308,None,1096.3832737205084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
,,,1,1,0.3,,,,,,,,,0,0,0,0,0,18,18,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.83,-0.17000000000000004,-4.28,6.660000000000001,0.3,-6.360000000000001,-3.0300000000000007,gamble,win,0.3,113.35874999999997,1098.4007073544199,None,1098.4007073544199,None,1098.4007073544199,None,1098.4007073544199,None,1098.4007073544199,None,1098.4007073544199,None,1098.4007073544199,None,None,,1098.4007073544199,None,1101.4018759323517,None,1101.4018759323517,None,1101.4018759323517,None,1101.4018759323517,None,1101.4018759323517,None,1101.4018759323517,None,1101.4018759323517,None,1105.403384332254,None,1105.403384332254,None,1105.403384332254,None,1105.403384332254,None,1105.403384332254,None,1105.403384332254,None,1105.403384332254,None,1106.387046960066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
,,,1,1,8.3,,,,,,,,,0,0,0,0,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.83,-0.17000000000000004,-4.45,-0.9658333333333335,8.3,7.334166666666667,3.6670833333333337,gamble,lose,7.334166666666667,120.69291666666663,1108.4045791487442,None,1108.4045791487442,None,1108.4045791487442,None,1108.4045791487442,None,1108.4045791487442,None,1108.4045791487442,None,1108.4045791487442,None,1,0.8838884079013951,1108.4045791487442,None,1109.3215406797826,None,1109.3215406797826,None,1109.3215406797826,None,1109.3215406797826,None,1109.3215406797826,None,1109.3215406797826,None,1109.3215406797826,None,1113.3063971641823,None,1113.3063971641823,None,1113.3063971641823,None,1113.3063971641823,None,1113.3063971641823,None,1113.3063971641823,None,1113.3063971641823,None,1122.8100360109238,None,1114.3067894633277,None,1115.30715168413,None,0.62,7.502806250937283,1118.308318662108,None,None,1118.308318662108,None,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
,,,1,1,12.9,,,,,,,,,0,0,0,0,0,20,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.62,-0.38,-4.83,10.15,12.9,2.75,1.375,gamble,win,12.9,133.59291666666664,1124.8274814842152,None,1124.8274814842152,None,1124.8274814842152,None,1124.8274814842152,None,1124.8274814842152,None,1124.8274814842152,None,1124.8274814842152,None,1,0.9006027200375684,1124.8274814842152,None,1125.7611704466399,None,1125.7611704466399,None,1125.7611704466399,None,1125.7611704466399,None,1125.7611704466399,None,1125.7611704466399,None,1125.7611704466399,None,1129.762695165642,None,1129.762695165642,None,1129.762695165642,None,1129.762695165642,None,1129.762695165642,None,1129.762695165642,None,1129.762695165642,None,1130.7464073908632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
,,,1,1,1.1,,,,,,,,,0,0,0,0,0,21,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.62,-0.38,-5.21,10.530000000000001,1.1,-9.430000000000001,-4.165000000000001,certain,certain,-4.165000000000001,129.42791666666665,1132.7638253456098,None,1132.7638253456098,None,1132.7638253456098,None,1132.7638253456098,None,1132.7638253456098,None,1132.7638253456098,None,1132.7638253456098,None,3,1.8509906354011036,1132.7638253456098,None,1134.6478996635997,None,1134.6478996635997,None,1134.6478996635997,None,1134.6478996635997,None,1134.6478996635997,None,1134.6478996635997,None,1134.6478996635997,None,1138.6327555080643,None,1138.6327555080643,None,1138.6327555080643,None,1138.6327555080643,None,1138.6327555080643,None,1138.6327555080643,None,1138.6327555080643,None,1148.13648267003,None,1139.6332306828117,None,1140.633531466825,None,0.39,7.502707056235522,1143.6347451623296,None,None,1143.6347451623296,None,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
,,,1,1,9.7,,,,,,,,,0,0,0,0,0,22,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.39,-0.61,-5.82,14.36,9.7,-4.66,-2.33,gamble,win,9.7,139.12791666666664,1150.153830228548,None,1150.153830228548,None,1150.153830228548,None,1150.153830228548,None,1150.153830228548,None,1150.153830228548,None,1150.153830228548,None,1,0.7505486108711921,1150.153830228548,None,1150.9374554823735,None,1150.9374554823735,None,1150.9374554823735,None,1150.9374554823735,None,1150.9374554823735,None,1150.9374554823735,None,1150.9374554823735,None,1154.9223148466554,None,1154.9223148466554,None,1154.9223148466554,None,1154.9223148466554,None,1154.9223148466554,None,1154.9223148466554,None,1154.9223148466554,None,1155.9227004261338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
,,,1,1,7.9,,,,,,,,,0,0,0,0,0,23,23,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.39,-0.61,-6.430000000000001,14.969999999999999,7.9,-7.0699999999999985,0.4150000000000009,gamble,win,7.9,147.02791666666664,1157.9401359799667,None,1157.9401359799667,None,1157.9401359799667,None,1157.9401359799667,None,1157.9401359799667,None,1157.9401359799667,None,1157.9401359799667,None,1,0.8005488348426297,1157.9401359799667,None,1158.773832174018,None,1158.773832174018,None,1158.773832174018,None,1158.773832174018,None,1158.773832174018,None,1158.773832174018,None,1158.773832174018,None,1162.758653780329,None,1162.758653780329,None,1162.758653780329,None,1162.758653780329,None,1162.758653780329,None,1162.758653780329,None,1162.758653780329,None,1172.262279507704,None,1163.7590240006684,None,1164.7594115000684,None,0.77,7.502815210435074,1167.7605116016348,None,None,1167.7605116016348,None,,,,,,,,,,,,,,,,,,,24213,2019_Sep_23_1700,Mmi_3levels,3.1.5,59.97650964758672,
