currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,choiceKey.rt,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,2,0,1.3,,,,,,,,,0,1,1,1,0,15,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,0.56,0.56,9.399999999999999,2.743333333333333,0.325,-2.418333333333333,-1.0466666666666664,gamble,win,0.325,127.6145833333334,672.5637340983958,None,672.5637340983958,None,672.5637340983958,None,672.5637340983958,None,672.5637340983958,None,672.5637340983958,None,672.5637340983958,None,None,672.5637340983958,None,675.5648575623054,None,675.5648575623054,None,675.5648575623054,None,675.5648575623054,None,675.5648575623054,None,675.5648575623054,None,675.5648575623054,None,679.5497786350315,None,679.5497786350315,None,679.5497786350315,None,679.5497786350315,None,679.5497786350315,None,679.5497786350315,None,679.5497786350315,None,689.0533832550864,None,,680.5501587760518,None,681.5505427569151,None,0.6,7.502770101709757,684.5516409421107,None,None,684.5516409421107,None,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
,,,2,0,0.1,,,,,,,,,0,1,1,1,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.6,0.6,9.999999999999998,-18.4,0.1,-18.299999999999997,-9.099999999999998,certain,certain,-9.099999999999998,118.5145833333334,691.0708214245969,None,691.0708214245969,None,691.0708214245969,None,691.0708214245969,None,691.0708214245969,None,691.0708214245969,None,691.0708214245969,None,3,691.0708214245969,None,692.6548153116019,None,692.6548153116019,None,692.6548153116019,None,692.6548153116019,None,692.6548153116019,None,692.6548153116019,None,692.6548153116019,None,696.6563035573345,None,696.6563035573345,None,696.6563035573345,None,696.6563035573345,None,696.6563035573345,None,696.6563035573345,None,696.6563035573345,None,697.6400240500225,None,1.5508464217418805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
,,,2,0,0.9,,,,,,,,,0,1,1,1,0,17,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,0.6,0.6,10.599999999999998,2.9833333333333334,0.225,-2.7583333333333333,-1.2666666666666666,certain,certain,-1.2666666666666666,117.24791666666674,699.6575022175093,None,699.6575022175093,None,699.6575022175093,None,699.6575022175093,None,699.6575022175093,None,699.6575022175093,None,699.6575022175093,None,3,699.6575022175093,None,701.7749917124165,None,701.7749917124165,None,701.7749917124165,None,701.7749917124165,None,701.7749917124165,None,701.7749917124165,None,701.7749917124165,None,705.7764809180517,None,705.7764809180517,None,705.7764809180517,None,705.7764809180517,None,705.7764809180517,None,705.7764809180517,None,705.7764809180517,None,706.7601889313664,None,2.0843305102316663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
,,,2,0,7.9,,,,,,,,,0,1,1,1,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.6,0.6,11.199999999999998,3.033333333333333,1.975,-1.0583333333333331,0.4583333333333335,gamble,win,1.975,119.22291666666673,708.7776802182198,None,708.7776802182198,None,708.7776802182198,None,708.7776802182198,None,708.7776802182198,None,708.7776802182198,None,708.7776802182198,None,None,708.7776802182198,None,711.7787947225734,None,711.7787947225734,None,711.7787947225734,None,711.7787947225734,None,711.7787947225734,None,711.7787947225734,None,711.7787947225734,None,715.7803757636575,None,715.7803757636575,None,715.7803757636575,None,715.7803757636575,None,715.7803757636575,None,715.7803757636575,None,715.7803757636575,None,725.2673572135391,None,,716.764038339199,None,717.7644258398796,None,0.58,7.502824499038979,720.7655560234562,None,None,720.7655560234562,None,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
,,,2,0,11.7,,,,,,,,,0,1,1,1,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,0.58,0.58,11.779999999999998,3.0116666666666663,2.925,-0.08666666666666645,1.4191666666666667,gamble,win,2.925,122.14791666666673,727.2847483453806,None,727.2847483453806,None,727.2847483453806,None,727.2847483453806,None,727.2847483453806,None,727.2847483453806,None,727.2847483453806,None,1,727.2847483453806,None,729.7023674978409,None,729.7023674978409,None,729.7023674978409,None,729.7023674978409,None,729.7023674978409,None,729.7023674978409,None,729.7023674978409,None,733.6872591320425,None,733.6872591320425,None,733.6872591320425,None,733.6872591320425,None,733.6872591320425,None,733.6872591320425,None,733.6872591320425,None,734.6876472726581,None,2.384534404031001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
,,,2,0,11.3,,,,,,,,,0,1,1,1,0,20,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.58,0.58,12.359999999999998,-20.479999999999997,11.3,-9.179999999999996,1.0600000000000023,certain,certain,1.0600000000000023,123.20791666666673,736.7050550436834,None,736.7050550436834,None,736.7050550436834,None,736.7050550436834,None,736.7050550436834,None,736.7050550436834,None,736.7050550436834,None,3,736.7050550436834,None,739.2060495539918,None,739.2060495539918,None,739.2060495539918,None,739.2060495539918,None,739.2060495539918,None,739.2060495539918,None,739.2060495539918,None,743.2076017965446,None,743.2076017965446,None,743.2076017965446,None,743.2076017965446,None,743.2076017965446,None,743.2076017965446,None,743.2076017965446,None,752.6945250093122,None,2.468038715538569,744.1912992503494,None,745.1916365135112,None,0.59,7.502802740084007,748.1928095749463,None,None,748.1928095749463,None,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
,,,2,0,10.1,,,,,,,,,0,1,1,1,0,21,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.59,0.59,12.949999999999998,-21.209999999999997,10.1,-11.109999999999998,-0.504999999999999,gamble,lose,-11.109999999999998,112.09791666666673,754.7120092564728,None,754.7120092564728,None,754.7120092564728,None,754.7120092564728,None,754.7120092564728,None,754.7120092564728,None,754.7120092564728,None,1,754.7120092564728,None,757.5630842108512,None,757.5630842108512,None,757.5630842108512,None,757.5630842108512,None,757.5630842108512,None,757.5630842108512,None,757.5630842108512,None,761.5646470127976,None,761.5646470127976,None,761.5646470127976,None,761.5646470127976,None,761.5646470127976,None,761.5646470127976,None,761.5646470127976,None,762.5483175879926,None,2.8179434882476926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
,,,2,0,8.9,,,,,,,,,0,1,1,1,0,22,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.59,0.59,13.539999999999997,-21.799999999999997,8.9,-12.899999999999997,-1.9999999999999982,gamble,lose,-12.899999999999997,99.19791666666674,764.5657541575492,None,764.5657541575492,None,764.5657541575492,None,764.5657541575492,None,764.5657541575492,None,764.5657541575492,None,764.5657541575492,None,None,764.5657541575492,None,767.5669537776848,None,767.5669537776848,None,767.5669537776848,None,767.5669537776848,None,767.5669537776848,None,767.5669537776848,None,767.5669537776848,None,771.568498980545,None,771.568498980545,None,771.568498980545,None,771.568498980545,None,771.568498980545,None,771.568498980545,None,771.568498980545,None,781.055426353123,None,,772.5521503566415,None,773.5525986542925,None,0.57,7.502793780528009,776.5537301177974,None,None,776.5537301177974,None,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
,,,2,0,-0.1,,,,,,,,,0,1,1,1,0,23,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,0.57,0.57,14.109999999999998,3.170833333333333,-0.025,-3.195833333333333,-1.6104166666666664,gamble,win,-0.025,99.17291666666674,783.0728648426011,None,783.0728648426011,None,783.0728648426011,None,783.0728648426011,None,783.0728648426011,None,783.0728648426011,None,783.0728648426011,None,None,783.0728648426011,None,786.0740727822995,None,786.0740727822995,None,786.0740727822995,None,786.0740727822995,None,786.0740727822995,None,786.0740727822995,None,786.0740727822995,None,790.0756455037626,None,790.0756455037626,None,790.0756455037626,None,790.0756455037626,None,790.0756455037626,None,790.0756455037626,None,790.0756455037626,None,791.0593631165684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
,,,2,0,6.7,,,,,,,,,0,1,1,1,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.57,0.57,14.679999999999998,-22.659999999999997,6.7,-15.959999999999997,-4.629999999999999,gamble,lose,-15.959999999999997,83.21291666666674,793.076798406255,None,793.076798406255,None,793.076798406255,None,793.076798406255,None,793.076798406255,None,793.076798406255,None,793.076798406255,None,1,793.076798406255,None,794.6440411294461,None,794.6440411294461,None,794.6440411294461,None,794.6440411294461,None,794.6440411294461,None,794.6440411294461,None,794.6440411294461,None,798.6455335349892,None,798.6455335349892,None,798.6455335349892,None,798.6455335349892,None,798.6455335349892,None,798.6455335349892,None,798.6455335349892,None,799.6292917857645,None,1.5341118971118703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24281,2020_Feb_24_1510,Mmi_3levels,3.1.5,59.97689326161149,
