currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.rt,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,choiceKey.rt,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,1,1,9.9,,,,,,,,,0,0,0,0,0,25,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.5,-0.5,-13.399999999999999,-2.8666666666666663,9.9,7.033333333333334,3.516666666666667,gamble,lose,7.033333333333334,101.37749999999997,2132.3107668865123,None,2132.3107668865123,None,2132.3107668865123,None,2132.3107668865123,None,2132.3107668865123,None,2132.3107668865123,None,2132.3107668865123,None,1,2132.3107668865123,None,2133.7446527469438,None,2133.7446527469438,None,2133.7446527469438,None,2133.7446527469438,None,2133.7446527469438,None,2133.7446527469438,None,2133.7446527469438,None,2137.7295210222946,None,2137.7295210222946,None,2137.7295210222946,None,2137.7295210222946,None,2137.7295210222946,None,2137.7295210222946,None,2137.7295210222946,None,2138.7298963635694,None,,,,,,,,,,,,1.400792152446229,,,,,,,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
,,,1,1,7.5,,,,,,,,,0,0,0,0,0,26,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.5,-0.5,-13.899999999999999,-2.908333333333333,7.5,4.591666666666667,2.2958333333333334,gamble,lose,4.591666666666667,105.96916666666664,2140.7473335731192,None,2140.7473335731192,None,2140.7473335731192,None,2140.7473335731192,None,2140.7473335731192,None,2140.7473335731192,None,2140.7473335731192,None,1,2140.7473335731192,None,2142.2479895403376,None,2142.2479895403376,None,2142.2479895403376,None,2142.2479895403376,None,2142.2479895403376,None,2142.2479895403376,None,2142.2479895403376,None,2146.2327819795464,None,2146.2327819795464,None,2146.2327819795464,None,2146.2327819795464,None,2146.2327819795464,None,2146.2327819795464,None,2146.2327819795464,None,2155.7364467565785,None,2147.2331742799142,None,2148.233564660477,None,0.5,7.50282193912426,2151.234707963362,None,None,2151.234707963362,None,1.4673289909260347,,,,,,,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
,,,2,0,11.1,,,,,,,,,0,1,1,1,0,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161.5053373335395,None,0.48,5.450999886088539,2164.523155004077,None,4,2.417806343117263,2164.523155004077,None,2166.9574184456724,None,False,True,True,0.48,0.48,0.48,-7.199999999999999,11.1,3.9000000000000004,1.9500000000000002,gamble,lose,3.9000000000000004,109.86916666666664,2169.9752623548848,None,2169.9752623548848,None,2169.9752623548848,None,2169.9752623548848,None,2169.9752623548848,None,2169.9752623548848,None,2169.9752623548848,None,1,2169.9752623548848,None,2171.8426484949887,None,2171.8426484949887,None,2171.8426484949887,None,2171.8426484949887,None,2171.8426484949887,None,2171.8426484949887,None,2171.8426484949887,None,2175.8275154904113,None,2175.8275154904113,None,2175.8275154904113,None,2175.8275154904113,None,2175.8275154904113,None,2175.8275154904113,None,2175.8275154904113,None,2176.8278697127244,None,,,,,,,,,,,,1.8342876323731616,2157.737214718247,None,4,3.7516523975064047,2157.737214718247,None,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
,,,2,0,8.3,,,,,,,,,0,1,1,1,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.48,0.48,0.96,1.76,2.075,0.31500000000000017,1.1950000000000003,gamble,win,2.075,111.94416666666665,2178.845345640322,None,2178.845345640322,None,2178.845345640322,None,2178.845345640322,None,2178.845345640322,None,2178.845345640322,None,2178.845345640322,None,1,2178.845345640322,None,2180.195860942593,None,2180.195860942593,None,2180.195860942593,None,2180.195860942593,None,2180.195860942593,None,2180.195860942593,None,2180.195860942593,None,2184.1807285780087,None,2184.1807285780087,None,2184.1807285780087,None,2184.1807285780087,None,2184.1807285780087,None,2184.1807285780087,None,2184.1807285780087,None,2193.684388875321,None,2185.181125038245,None,2186.181493659853,None,0.47,7.502847857889719,2189.182637602731,None,None,2189.182637602731,None,1.3174647921696305,,,,,,,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
,,,2,0,10.1,,,,,,,,,0,1,1,1,0,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.47,0.47,1.43,-8.01,10.1,2.09,1.045,gamble,lose,2.09,114.03416666666665,2195.701831204584,None,2195.701831204584,None,2195.701831204584,None,2195.701831204584,None,2195.701831204584,None,2195.701831204584,None,2195.701831204584,None,1,2195.701831204584,None,2198.3695252332836,None,2198.3695252332836,None,2198.3695252332836,None,2198.3695252332836,None,2198.3695252332836,None,2198.3695252332836,None,2198.3695252332836,None,2202.371061476588,None,2202.371061476588,None,2202.371061476588,None,2202.371061476588,None,2202.371061476588,None,2202.371061476588,None,2202.371061476588,None,2203.3547768495628,None,,,,,,,,,,,,2.6346003207727335,,,,,,,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
,,,2,0,9.7,,,,,,,,,0,1,1,1,0,3,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.47,0.47,1.9,-8.48,9.7,1.2199999999999989,0.6099999999999994,gamble,lose,1.2199999999999989,115.25416666666665,2205.3722185388324,None,2205.3722185388324,None,2205.3722185388324,None,2205.3722185388324,None,2205.3722185388324,None,2205.3722185388324,None,2205.3722185388324,None,1,2205.3722185388324,None,2208.189979316201,None,2208.189979316201,None,2208.189979316201,None,2208.189979316201,None,2208.189979316201,None,2208.189979316201,None,2208.189979316201,None,2212.1748287125374,None,2212.1748287125374,None,2212.1748287125374,None,2212.1748287125374,None,2212.1748287125374,None,2212.1748287125374,None,2212.1748287125374,None,2221.6784874098958,None,2213.1752210129634,None,2214.1756065937225,None,0.46,7.502852657635231,2217.176748936705,None,None,2217.176748936705,None,2.784667709376663,,,,,,,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
,,,2,0,13.3,,,,,,,,,0,1,1,1,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.46,0.46,2.36,1.8066666666666666,3.325,1.5183333333333335,0.7591666666666668,certain,certain,0.7591666666666668,116.01333333333332,2223.6959412586293,None,2223.6959412586293,None,2223.6959412586293,None,2223.6959412586293,None,2223.6959412586293,None,2223.6959412586293,None,2223.6959412586293,None,3,2223.6959412586293,None,2226.5637136194273,None,2226.5637136194273,None,2226.5637136194273,None,2226.5637136194273,None,2226.5637136194273,None,2226.5637136194273,None,2226.5637136194273,None,2230.5484913393157,None,2230.5484913393157,None,2230.5484913393157,None,2230.5484913393157,None,2230.5484913393157,None,2230.5484913393157,None,2230.5484913393157,None,2231.5489565960597,None,,,,,,,,,,,,2.8346680933609605,,,,,,,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
,,,2,0,4.5,,,,,,,,,0,1,1,1,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.46,0.46,2.82,-9.26,4.5,-4.76,-0.1299999999999999,gamble,lose,-4.76,111.25333333333332,2233.566406284983,None,2233.566406284983,None,2233.566406284983,None,2233.566406284983,None,2233.566406284983,None,2233.566406284983,None,2233.566406284983,None,None,2233.566406284983,None,2236.567556307593,None,2236.567556307593,None,2236.567556307593,None,2236.567556307593,None,2236.567556307593,None,2236.567556307593,None,2236.567556307593,None,2240.5524220230873,None,2240.5524220230873,None,2240.5524220230873,None,2240.5524220230873,None,2240.5524220230873,None,2240.5524220230873,None,2240.5524220230873,None,2241.552807283879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
,,,2,0,7.3,,,,,,,,,0,1,1,1,0,6,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.46,0.46,3.28,-9.72,7.3,-2.420000000000001,-1.2100000000000004,gamble,lose,-2.420000000000001,108.83333333333331,2243.570256012841,None,2243.570256012841,None,2243.570256012841,None,2243.570256012841,None,2243.570256012841,None,2243.570256012841,None,2243.570256012841,None,1,2243.570256012841,None,2245.9044828481856,None,2245.9044828481856,None,2245.9044828481856,None,2245.9044828481856,None,2245.9044828481856,None,2245.9044828481856,None,2245.9044828481856,None,2249.9060222913395,None,2249.9060222913395,None,2249.9060222913395,None,2249.9060222913395,None,2249.9060222913395,None,2249.9060222913395,None,2249.9060222913395,None,2259.3929970216122,None,2250.8897763823625,None,2251.8901216451195,None,0.46,7.502969771740027,2254.8912531086244,None,None,2254.8912531086244,None,2.3011206480441615,,,,,,,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
,,,2,0,0.7,,,,,,,,,0,1,1,1,0,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.46,0.46,3.7399999999999998,-10.18,0.7,-9.48,-4.390000000000001,gamble,lose,-9.48,99.35333333333331,2261.4104486303986,None,2261.4104486303986,None,2261.4104486303986,None,2261.4104486303986,None,2261.4104486303986,None,2261.4104486303986,None,2261.4104486303986,None,1,2261.4104486303986,None,2263.911417861993,None,2263.911417861993,None,2263.911417861993,None,2263.911417861993,None,2263.911417861993,None,2263.911417861993,None,2263.911417861993,None,2267.9129569851793,None,2267.9129569851793,None,2267.9129569851793,None,2267.9129569851793,None,2267.9129569851793,None,2267.9129569851793,None,2267.9129569851793,None,2268.896662118612,None,,,,,,,,,,,,2.467887363047339,,,,,,,,,,,,,,,,,,,24227,2019_Nov_04_1123,Mmi_3levels,3.1.5,59.95790683475802,
