isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_stopped,fixCross_2_started,outcome2Box_2_stopped,outcome2Box_3_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,0.65,-0.35,-0.35,5.25,0.3,-4.95,-2.325,gamble,win,0.3,0.3,132.733109025894,None,132.733109025894,None,135.734219683696,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
True,0.65,-0.35,-0.7,-1.28333333333333,-0.5,-1.78333333333333,-1.14166666666667,gamble,lose,-1.78333333333333,-1.48333333333333,142.7369017735,None,142.7369017735,None,145.738038349851,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
False,0.65,-0.35,-1.05,-1.3125,6.3,4.9875,2.49375,gamble,lose,4.9875,3.50416666666667,152.740687481501,None,152.740687481501,None,154.091200972745,None,None,159.076355404097,160.076797619333,0.7,163.077922036366,None,None,0,0,0,0,0,0
True,0.7,-0.3,-1.35,-1.1625,-1.1,-2.2625,-1.68125,certain,certain,-1.68125,1.82291666666667,169.597095522649,None,169.597095522649,None,172.031294887485,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
False,0.7,-0.3,-1.65,5.85,2.5,-3.35,-0.425000000000001,certain,certain,-0.425000000000001,1.39791666666667,179.033977297271,None,179.033977297271,None,181.985093314774,None,None,186.970309502667,187.970743078387,0.68,190.97181533834,None,None,0,0,0,0,0,0
False,0.68,-0.32,-1.97,6.45,7.1,0.65,0.325,gamble,win,7.1,8.49791666666667,197.490959706256,None,197.490959706256,None,198.741434319678,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
False,0.68,-0.32,-2.29,6.77,6.1,-0.67,-0.335,gamble,win,6.1,14.5979166666667,205.744142328029,None,205.744142328029,None,207.994945563047,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
True,0.68,-0.32,-2.61,7.09,9.5,2.41,1.205,gamble,win,9.5,24.0979166666667,214.9975553369,None,214.9975553369,None,215.98123945059,None,None,220.966516115097,221.966929211963,0.82,224.968037629891,None,None,0,0,0,0,0,0
True,0.82,-0.18,-2.79,5.31,12.5,7.19,3.595,gamble,win,12.5,36.5979166666667,231.48715639924,None,231.48715639924,None,233.271115377538,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
True,0.82,-0.18,-2.97,-0.8775,4.3,3.4225,1.71125,gamble,lose,3.4225,40.0204166666667,240.273764509187,None,240.273764509187,None,242.224616861455,None,None,247.209784092091,248.210218627755,0.75,251.211254409753,None,None,0,0,0,0,0,0
True,0.75,-0.25,-3.22,-1.14333333333333,1.5,0.356666666666667,0.928333333333333,gamble,lose,0.356666666666667,40.3770833333333,257.730431095857,None,257.730431095857,None,260.731512635291,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
False,0.75,-0.25,-3.47,-1.16416666666667,12.9,11.7358333333333,5.86791666666667,gamble,lose,11.7358333333333,52.1129166666667,267.734223203499,None,267.734223203499,None,268.717923956257,None,None,273.703106866014,274.703521882773,0.8,277.704648219698,None,None,0,0,0,0,0,0
True,0.8,-0.2,-3.67,6.47,7.5,1.03,0.515000000000001,gamble,win,7.5,59.6129166666667,284.223792267632,None,284.223792267632,None,285.174158887101,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
False,0.8,-0.2,-3.87,6.67,8.9,2.23,1.115,gamble,win,8.9,68.5129166666667,292.176810898589,None,292.176810898589,None,293.694054252961,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
True,0.8,-0.2,-4.07,-1.03916666666667,1.9,0.860833333333333,1.38041666666667,gamble,lose,0.860833333333333,69.37375,300.696645467853,None,300.696645467853,None,301.580337741085,None,None,306.56564480389,307.565967665811,0.73,310.567035446014,None,None,0,0,0,0,0,0
False,0.73,-0.27,-4.34,8.12,1.1,-7.02,-2.96,certain,certain,-2.96,66.41375,317.086244770291,None,317.086244770291,None,319.053702912635,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
True,0.73,-0.27,-4.61,8.39,1.3,-7.09,-2.895,certain,certain,-2.895,63.51875,326.056353324213,None,326.056353324213,None,327.773612677689,None,None,332.75883622517,333.759217323828,0.71,336.760339500986,None,None,0,0,0,0,0,0
False,0.71,-0.29,-4.9,8.96,0.5,-8.46,-3.98,certain,certain,-3.98,59.53875,343.279490268544,None,343.279490268544,None,345.797102242273,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
True,0.71,-0.29,-5.19,9.25,2.7,-6.55,-1.925,certain,certain,-1.925,57.61375,352.799757453582,None,352.799757453582,None,354.600505251705,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
False,0.71,-0.29,-5.48,9.54,12.3,2.76,1.38,gamble,win,12.3,69.91375,361.603088787027,None,361.603088787027,None,362.886913212858,None,None,367.872131320646,368.872511139376,0.67,371.873578599598,None,None,0,0,0,0,0,0
True,0.67,-0.33,-5.81,10.43,8.7,-1.73,-0.865,certain,certain,-0.865,69.04875,378.392790483733,None,378.392790483733,None,380.693651395521,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
False,0.67,-0.33,-6.14,-1.66666666666667,9.1,7.43333333333333,3.71666666666667,gamble,lose,7.43333333333333,76.4820833333333,387.696305646883,None,387.696305646883,None,388.863360291823,None,None,393.848635036436,394.849013255256,0.66,397.850143111986,None,None,0,0,0,0,0,0
True,0.66,-0.34,-6.48,-1.73,3.3,1.57,0.785,gamble,lose,1.57,78.0520833333333,404.369264121209,None,404.369264121209,None,405.15291623669,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
True,0.66,-0.34,-6.82,11.58,4.7,-6.88,-1.09,certain,certain,-1.09,76.9620833333333,412.155573047909,None,412.155573047909,None,414.389750013999,None,None,419.374974201444,420.375329061571,0.66,423.376493476364,None,None,0,0,0,0,0,0
False,0.66,-0.34,-7.16,11.92,7.7,-4.22,1.74,certain,certain,1.74,78.7020833333333,429.895620885229,None,429.895620885229,None,431.796343884742,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
True,0.66,-0.34,-7.5,12.26,-1.3,-13.56,-7.43,certain,certain,-7.43,71.2720833333333,438.798996856176,None,438.798996856176,None,441.149883126544,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
False,0.66,-0.34,-7.84,12.6,13.1,0.500000000000002,0.250000000000001,gamble,win,13.1,84.3720833333333,448.152541217691,None,448.152541217691,None,448.969512427304,None,None,453.954708136343,454.955108113945,0.7,457.956234770852,None,None,0,0,0,0,0,0
True,0.66,0.66,0.66,2.365,2.525,0.16,1.3425,gamble,win,2.525,86.8970833333333,482.248722711527,None,482.248722711527,None,483.065747358147,None,None,NaN,NaN,NaN,NaN,,,0,0,0,0,0,0
True,0.66,0.66,1.32,-10.56,5.7,-4.86,0.42,gamble,lose,-4.86,82.0370833333333,490.068408969097,None,490.068408969097,None,491.769114369594,None,None,496.754276480517,497.754653099426,0.44,500.755777196477,None,None,0,0,1095,3495,7097,12520
True,0.44,0.44,1.76,-7.92,11.1,3.18,1.59,gamble,lose,3.18,85.2170833333333,507.274931483837,None,507.274931483837,None,508.27527034486,None,None,NaN,NaN,NaN,NaN,,,14920,16120,20902,0,0,22124
True,0.44,0.44,2.2,-8.36,9.3,0.940000000000001,0.470000000000001,gamble,lose,0.940000000000001,86.1570833333333,515.277957554375,None,515.277957554375,None,516.395050517171,None,None,521.380288143862,522.380648123704,0.6,525.38177766045,None,None,24524,25864,30666,33047,36648,42071
False,0.6,0.6,2.8,2.33333333333333,1.825,-0.508333333333334,0.658333333333333,certain,certain,0.658333333333333,86.8154166666666,531.900923308294,None,531.900923308294,None,534.018389690176,None,None,NaN,NaN,NaN,NaN,,,44471,47012,51814,0,0,53016
False,0.6,0.6,3.4,2.38333333333333,0.975,-1.40833333333333,-0.216666666666667,certain,certain,-0.216666666666667,86.59875,541.021018662954,None,541.021018662954,None,543.338558960697,None,None,NaN,NaN,NaN,NaN,,,55416,58196,62999,0,0,64200
False,0.6,0.6,4,-12.4,12.9,0.5,0.25,gamble,lose,0.5,87.09875,550.34123785068,None,550.34123785068,None,551.2249035654,None,None,556.210125512971,557.210512051324,0.59,560.211647347747,None,None,66600,67661,72462,74843,78445,83868
False,0.59,0.59,4.59,-12.85,12.5,-0.35,-0.175,certain,certain,-0.175,86.92375,566.730776356524,None,566.730776356524,None,568.531438399448,None,None,NaN,NaN,NaN,NaN,,,86268,88428,93231,0,0,94432
True,0.59,0.59,5.18,-13.44,0.5,-12.94,-6.22,gamble,lose,-12.94,73.98375,575.534046893374,None,575.534046893374,None,578.168442087243,None,None,583.153667234634,584.154069772092,0.37,587.155165710719,None,None,96832,99993,104795,107176,110777,116200
False,0.37,0.37,5.55,1.7575,1.675,-0.0824999999999998,0.79625,gamble,win,1.675,75.65875,593.674282560176,None,593.674282560176,None,595.141536073979,None,None,NaN,NaN,NaN,NaN,,,118600,120361,125163,0,0,126364
False,0.37,0.37,5.92,1.78833333333333,0.925,-0.863333333333333,0.0308333333333334,gamble,win,0.925,76.58375,602.144178486004,None,602.144178486004,None,604.578447606933,None,None,NaN,NaN,NaN,NaN,,,128764,131686,136487,0,0,137689
True,0.37,0.37,6.29,1.81916666666667,2.625,0.805833333333333,1.71541666666667,gamble,win,2.625,79.20875,611.581098978457,None,611.581098978457,None,612.448095226666,None,None,617.433304374954,618.433689953361,0.57,621.434784292078,None,None,140089,141129,145931,148312,151914,157337
False,0.57,0.57,6.86,-14.84,2.3,-12.54,-5.12,certain,certain,-5.12,74.08875,627.953964817969,None,627.953964817969,None,630.038060908588,None,None,NaN,NaN,NaN,NaN,,,159737,162237,167040,0,0,168241
False,0.57,0.57,7.43,2.61416666666667,0.175,-2.43916666666667,-1.13208333333333,gamble,win,0.175,74.26375,637.040720279663,None,637.040720279663,None,640.041914132808,None,None,645.027094162726,646.027453182622,0.55,649.028596158614,None,None,170641,174242,179044,181425,185026,190450
False,0.55,0.55,7.98,-15.68,4.3,-11.38,-3.54,certain,certain,-3.54,70.72375,655.54772068764,None,655.54772068764,None,658.032077243673,None,None,NaN,NaN,NaN,NaN,,,192850,195830,200632,0,0,201834
False,0.55,0.55,8.53,-16.23,-0.5,-16.73,-8.615,certain,certain,-8.615,62.10875,665.034726695305,None,665.034726695305,None,667.852379786731,None,None,672.837631492635,673.838010671401,0.5,676.839148527682,None,None,204234,207615,212417,214798,218399,223822
True,0.5,0.5,9.03,-16.03,4.9,-11.13,-3.115,certain,certain,-3.115,58.9937499999999,683.358277216475,None,683.358277216475,None,684.992169718495,None,None,NaN,NaN,NaN,NaN,,,226222,228183,232985,0,0,234187
False,0.5,0.5,9.53,-16.53,2.1,-14.43,-6.165,certain,certain,-6.165,52.8287499999999,691.994952922636,None,691.994952922636,None,694.412520258864,None,None,NaN,NaN,NaN,NaN,,,236587,239488,244290,0,0,245491
False,0.5,0.5,10.03,2.58583333333333,2.875,0.289166666666667,1.58208333333333,gamble,win,2.875,55.7037499999999,701.415150831552,None,701.415150831552,None,702.365503051828,None,None,707.350701320725,708.351092978792,0.56,711.352204596542,None,None,247891,249031,253813,256214,259815,265239
False,0.56,0.56,10.59,-18.43,11.7,-6.73,-3.365,gamble,lose,-6.73,48.9737499999999,717.871353764189,None,717.871353764189,None,720.105530410296,None,None,NaN,NaN,NaN,NaN,,,267639,270320,275122,0,0,276323
False,0.56,0.56,11.15,2.88916666666667,2.025,-0.864166666666667,0.580416666666666,certain,certain,0.580416666666666,49.5541666666666,727.108239058613,None,727.108239058613,None,728.608718871743,None,None,733.593998416089,734.594377274872,0.45,737.59544409513,None,None,278723,280524,285326,287707,291308,296731
False,0.45,0.45,11.6,2.54166666666667,1.925,-0.616666666666667,0.654166666666667,gamble,win,1.925,51.4791666666666,744.114606382042,None,744.114606382042,None,747.115789675778,None,None,NaN,NaN,NaN,NaN,,,299131,302733,307535,0,0,308736
True,0.45,0.45,12.05,-18.35,6.5,-11.85,-2.675,certain,certain,-2.675,48.8041666666666,754.118428248017,None,754.118428248017,None,756.069145567848,None,None,761.054369115329,762.054754053772,0.5,765.055874951002,None,None,311136,313477,318279,320660,324261,329684
True,0.5,0.5,12.55,-19.55,0.9,-18.65,-8.875,gamble,lose,-18.65,30.1541666666666,771.575024118649,None,771.575024118649,None,774.426047821322,None,None,NaN,NaN,NaN,NaN,,,332084,335505,340307,0,0,341509
True,0.5,0.5,13.05,-20.05,13.3,-6.75,-3.375,gamble,lose,-6.75,23.4041666666666,781.428719671698,None,781.428719671698,None,783.346150855552,None,None,NaN,NaN,NaN,NaN,,,343909,346209,351011,0,0,352213
True,0.5,0.5,13.55,-20.55,11.9,-8.65,1.625,gamble,lose,-8.65,14.7541666666666,790.348804146966,None,790.348804146966,None,792.983164142806,None,None,797.968356332045,798.968731671026,0.32,801.96985320822,None,None,354613,357774,362576,364957,368559,373981
True,0.32,0.32,13.87,-18.35,7.9,-10.45,-1.275,gamble,lose,-10.45,4.3041666666666,808.489001095937,None,808.489001095937,None,810.122948634875,None,None,NaN,NaN,NaN,NaN,,,376381,378342,383144,0,0,384325
False,0.5,-0.5,-0.5,-1.79166666666667,-1.3,-3.09166666666667,-2.19583333333333,certain,certain,-2.19583333333333,2.10833333333327,832.081274168646,None,832.081274168646,None,834.298760549409,None,None,839.284012575295,840.284332877358,0.5,843.285504331756,None,None,404692,407353,412155,414537,418138,423561
True,0.5,-0.5,-1,-1.83333333333333,8.5,6.66666666666667,3.33333333333333,gamble,lose,6.66666666666667,8.77499999999993,849.804646459797,None,849.804646459797,None,852.805787195915,None,None,NaN,NaN,NaN,NaN,,,425961,429562,434344,0,0,435566
True,0.5,-0.5,-1.5,8.5,12.5,4,2,gamble,win,12.5,21.2749999999999,859.808439207403,None,859.808439207403,None,860.675435775596,None,None,NaN,NaN,NaN,NaN,,,437966,439006,443788,0,0,445009
True,0.5,-0.5,-2,-1.91666666666667,3.3,1.38333333333333,0.691666666666667,gamble,lose,1.38333333333333,22.6583333333333,867.678088747029,None,867.678088747029,None,868.745101634308,None,None,873.730378938779,874.730698920859,0.61,877.73188445447,None,None,447409,448690,453472,455873,459474,464897
True,0.61,-0.39,-2.39,7.85,0.7,-7.15,-3.225,gamble,win,0.7,23.3583333333333,884.25103266217,None,884.25103266217,None,887.252167958593,None,None,NaN,NaN,NaN,NaN,,,467297,470899,475680,0,0,476902
True,0.61,-0.39,-2.78,-1.59666666666667,7.9,6.30333333333333,3.15166666666667,gamble,lose,6.30333333333333,29.6616666666666,894.254823169902,None,894.254823169902,None,894.988375370978,None,None,899.973630596685,900.974036973928,0.69,903.975118833345,None,None,479302,480182,484964,487365,490967,496390
False,0.69,-0.31,-3.09,-1.3425,-0.3,-1.6425,-0.97125,gamble,lose,-1.6425,28.0191666666666,910.494315358339,None,910.494315358339,None,913.495438495444,None,None,NaN,NaN,NaN,NaN,,,498790,502391,507193,0,0,508394
False,0.69,-0.31,-3.4,-1.36833333333333,13.1,11.7316666666667,5.86583333333333,gamble,lose,11.7316666666667,39.7508333333333,920.498035470013,None,920.498035470013,None,921.198358171941,None,None,926.183578519602,927.184011135376,0.76,930.185079555544,None,None,510794,511634,516436,518817,522419,527842
False,0.76,-0.24,-3.64,7,0.1,-6.9,-3.4,certain,certain,-3.4,36.3508333333333,936.704231923011,None,936.704231923011,None,938.905098114505,None,None,NaN,NaN,NaN,NaN,,,530242,532883,537685,0,0,538886
True,0.76,-0.24,-3.88,7.24,7.3,0.0599999999999996,0.0299999999999998,gamble,win,7.3,43.6508333333333,945.907722927515,None,945.907722927515,None,946.707998752068,None,None,NaN,NaN,NaN,NaN,,,541286,542246,547049,0,0,548250
False,0.76,-0.24,-4.12,7.48,9.3,1.82,0.91,gamble,win,9.3,52.9508333333333,953.710612365707,None,953.710612365707,None,954.994495988223,None,None,959.979712816081,960.98008943499,0.77,963.981246490195,None,None,550650,552190,556992,559373,562975,568398
True,0.77,-0.23,-4.35,7.57,-0.5,-8.07,-4.285,certain,certain,-4.285,48.6658333333333,970.500390538129,None,970.500390538129,None,972.13431567832,None,None,NaN,NaN,NaN,NaN,,,570798,572758,577561,0,0,578762
False,0.77,-0.23,-4.58,7.8,2.5,-5.3,-1.4,certain,certain,-1.4,47.2658333333333,979.136968649755,None,979.136968649755,None,980.05398481685,None,None,985.039207084403,986.039519386914,0.7,989.040713240058,None,None,581162,582262,587064,589445,593047,598469
False,0.7,-0.3,-4.88,-1.45666666666667,2.9,1.44333333333333,0.721666666666666,gamble,lose,1.44333333333333,48.7091666666666,995.559894405913,None,995.559894405913,None,996.977065604326,None,None,NaN,NaN,NaN,NaN,,,600869,602570,607352,0,0,608573
False,0.7,-0.3,-5.18,9.38,13.3,3.92,1.96,gamble,win,13.3,62.0091666666666,1003.97976817298,None,1003.97976817298,None,1004.8800588767,None,None,NaN,NaN,NaN,NaN,,,610973,612054,616856,0,0,618057
True,0.7,-0.3,-5.48,-1.50666666666667,9.1,7.59333333333333,3.79666666666667,gamble,lose,7.59333333333333,69.6024999999999,1011.88270160871,None,1011.88270160871,None,1012.64968361772,None,None,1017.63488892622,1018.63521210812,0.69,1021.63638772229,None,None,620457,621377,626159,628560,632162,637585
False,0.69,-0.31,-5.79,10.13,7.1,-3.03,-1.515,certain,certain,-1.515,68.0874999999999,1028.1555375299,None,1028.1555375299,None,1029.38927996032,None,None,NaN,NaN,NaN,NaN,,,639985,641465,646267,0,0,647468
True,0.69,-0.31,-6.1,-1.59333333333333,1.5,-0.0933333333333337,0.703333333333333,certain,certain,0.703333333333333,68.7908333333333,1036.39199020855,None,1036.39199020855,None,1037.69251545913,None,None,1042.67770572848,1043.67804874927,0.55,1046.67922372347,None,None,649868,651429,656231,658612,662213,667637
False,0.55,-0.45,-6.55,12.85,12.7,-0.150000000000002,-0.0750000000000011,certain,certain,-0.0750000000000011,68.7158333333333,1053.19841768861,None,1053.19841768861,None,1054.28207828362,None,None,NaN,NaN,NaN,NaN,,,670037,671337,676139,0,0,677340
True,0.55,-0.45,-7,13.3,0.3,-13,-6.35,certain,certain,-6.35,62.3658333333333,1061.28468965738,None,1061.28468965738,None,1063.6856624029,None,None,1068.67082099402,1069.67129712736,0.53,1072.67244266321,None,None,679740,682621,687423,689805,693406,698829
True,0.53,-0.47,-7.47,14.05,4.5,-9.55,-2.525,gamble,win,4.5,66.8658333333333,1079.19153423408,None,1079.19153423408,None,1081.24231219052,None,None,NaN,NaN,NaN,NaN,,,701229,703690,708492,0,0,709693
False,0.53,-0.47,-7.94,14.52,3.9,-10.62,-3.36,certain,certain,-3.36,63.5058333333333,1088.24496164215,None,1088.24496164215,None,1089.54545841433,None,None,NaN,NaN,NaN,NaN,,,712093,713654,718456,0,0,719657
False,0.53,-0.47,-8.41,14.99,-0.1,-15.09,-7.595,certain,certain,-7.595,55.9108333333333,1096.54810594607,None,1096.54810594607,None,1099.53257625573,None,None,1104.51776940491,1105.51817098242,0.52,1108.51929763933,None,None,722057,725638,730440,732821,736423,741846
