isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,0.18,-0.82,-0.82,-2.93833333333333,0.1,-2.83833333333333,-1.36916666666667,gamble,lose,-2.83833333333333,-2.83833333333333,1915.84758360863,None,1915.84758360863,1915.84758360863,None,1917.93169236992,1921.91655904537,NaN,NaN,NaN,NaN,,,13829,16330,21112,0,0,22333
False,0.18,-0.82,-1.64,-3.00666666666667,2.9,-0.106666666666667,1.39666666666667,gamble,lose,-0.106666666666667,-2.945,1924.93441479401,None,1924.93441479401,1924.93441479401,None,1926.43498660547,1930.41985264096,NaN,NaN,NaN,NaN,,,24733,26534,31316,0,0,32537
False,0.18,-0.82,-2.46,13.94,3.9,-10.04,-3.07,certain,certain,-3.07,-6.015,1933.4377083896,None,1933.4377083896,1933.4377083896,None,1935.12166048671,1939.12319768997,1940.10691466282,1941.10735464086,0.18,1944.10843618686,None,None,34937,36958,41760,44141,47742,53165
False,0.18,-0.82,-3.28,-3.14333333333333,0.7,-2.44333333333333,-0.871666666666667,certain,certain,-0.871666666666667,-6.88666666666667,1950.62762050919,None,1950.62762050919,1950.62762050919,None,1951.54466817017,1955.54628728934,NaN,NaN,NaN,NaN,,,55565,56666,61467,0,0,62669
False,0.18,-0.82,-4.1,-3.21166666666667,8.5,5.28833333333333,2.64416666666667,gamble,lose,5.28833333333333,-1.59833333333333,1958.54737075525,None,1958.54737075525,1958.54737075525,None,1959.61439620934,1963.59927984395,1964.59961774708,1965.60005772512,0.17,1968.60117414939,None,None,65069,66349,71132,73532,77134,82557
True,0.17,-0.83,-4.93,16.55,4.5,-12.05,-3.775,certain,certain,-3.775,-5.37333333333333,1975.12040998913,None,1975.12040998913,1975.12040998913,None,1976.38753425429,1980.38910441591,NaN,NaN,NaN,NaN,,,84957,86478,91279,0,0,92481
False,0.17,-0.83,-5.76,17.38,3.3,-14.08,-5.39,certain,certain,-5.39,-10.7633333333333,1983.39023107967,None,1983.39023107967,1983.39023107967,None,1984.40724399038,1988.40882055168,NaN,NaN,NaN,NaN,,,94881,96101,100903,0,0,102104
True,0.17,-0.83,-6.59,18.21,7.9,-10.31,-1.205,gamble,win,7.9,-2.86333333333333,1991.40996513454,None,1991.40996513454,1991.40996513454,None,1992.61042200773,1996.61198608965,1997.59570242254,1998.59603232607,0.19,2001.59731898184,None,None,104504,105945,110747,113128,116729,122173
False,0.19,-0.81,-7.4,-3.45166666666667,12.3,8.84833333333333,4.42416666666667,gamble,lose,8.84833333333333,5.985,2008.13317831174,None,2008.13317831174,2008.13317831174,None,2009.26682668001,2013.26848483724,NaN,NaN,NaN,NaN,,,124573,125933,130735,0,0,131936
False,0.19,-0.81,-8.21,19.55,4.1,-15.45,-5.675,certain,certain,-5.675,0.31,2016.26957214296,None,2016.26957214296,2016.26957214296,None,2017.72009781272,2021.72163309608,2022.70534558915,2023.70571133089,0.19,2026.70687255292,None,None,134336,136077,140879,143260,146861,152284
False,0.19,-0.81,-9.02,-3.58666666666667,-0.7,-4.28666666666667,-2.49333333333333,certain,certain,-2.49333333333333,-2.18333333333333,2033.22606551481,None,2033.22606551481,2033.22606551481,None,2034.55991348912,2038.56145869198,NaN,NaN,NaN,NaN,,,154684,156285,161087,0,0,162288
