isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,outcome1Box_stopped,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,choiceKey_rt,fixCross_ISI_stopped,happyText_stopped,happySlider_rt,happySlider_started,happySlider_stopped,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,False,0.59,-0.41,-0.41,6.15,-0.5,-6.65,-3.575,gamble,win,-0.5,-0.5,189.692338238474,None,189.692338238474,None,192.69347834156,196.695051063052,NaN,,,NaN,NaN,,13620,17210,22010,0,0,23225
True,True,0.59,-0.41,-0.82,6.56,13.1,6.54,3.27,gamble,win,13.1,12.6,199.696234363983,None,199.696234363983,None,201.530275608642,205.515142924065,1.80090305891645,,,NaN,NaN,,25625,27812,32612,0,0,33824
False,True,0.59,-0.41,-1.23,-1.5375,4.1,2.5625,1.28125,gamble,lose,2.5625,15.1625,208.532934035935,None,208.532934035935,None,209.983545781393,213.968363499294,1.41751931743784,None,None,7.5028651369721,218.970338440704,None,36224,37957,42757,45145,48745,54181
True,True,0.59,-0.41,-1.64,7.38,3.1,-4.28,-0.590000000000001,certain,certain,-0.590000000000001,14.5725,225.510761382793,None,225.510761382793,None,228.440608724814,232.442195205615,2.89674659440789,,,NaN,NaN,,56581,60107,0,0,0,66117
True,False,0.59,-0.41,-2.05,7.79,0.5,-7.29,-3.395,gamble,win,0.5,15.0725,235.443312909822,None,235.443312909822,None,238.444469012109,242.429334087643,NaN,None,None,7.50281137965794,247.431266151194,None,68517,72110,76910,79298,82898,88326
False,False,0.64,-0.36,-2.41,-1.46083333333333,7.1,5.63916666666667,2.81958333333333,gamble,lose,5.63916666666667,20.7116666666667,253.950433834343,None,253.950433834343,None,255.717854404709,259.70266444299,1.73430286360235,,,NaN,NaN,,90726,92838,97638,0,0,98849
False,False,0.64,-0.36,-2.77,-1.49083333333333,7.5,6.00916666666667,3.00458333333333,gamble,lose,6.00916666666667,26.7208333333333,262.720482113535,None,262.720482113535,None,264.071063012536,268.055883930276,1.31748239127774,,,NaN,NaN,,101249,102861,107661,0,0,108875
True,False,0.64,-0.36,-3.13,8.17,6.5,-1.67,-0.835,gamble,win,6.5,33.2208333333333,271.073739998901,None,271.073739998901,None,272.657662209502,276.642533364735,1.55081506331408,None,None,7.50278162114046,281.644465748272,None,111275,113167,117967,120354,123954,129386
True,True,0.6,-0.4,-3.53,9.13,12.3,3.17,1.585,gamble,win,12.3,45.5208333333333,288.184985325533,None,288.184985325533,None,289.680898809533,293.665766764923,1.46280377683433,,,NaN,NaN,,131786,133593,138393,0,0,139607
True,True,0.6,-0.4,-3.93,9.53,8.5,-1.03,-0.515000000000001,gamble,win,8.5,54.0208333333333,296.683591795099,None,296.683591795099,None,298.217523861211,302.219063944329,1.50081851914001,None,None,7.50286065719774,307.204298921399,None,142007,143840,148639,151026,154626,160055
True,True,0.6,-0.4,-4.33,9.93,12.1,2.17,1.085,gamble,win,12.1,66.1208333333333,313.723502442757,None,313.723502442757,None,315.207448524172,319.208951489141,1.4508373341996,,,NaN,NaN,,162455,164227,169027,0,0,170240
True,False,0.6,-0.4,-4.73,10.33,9.7,-0.630000000000003,-0.315000000000001,gamble,win,9.7,75.8208333333333,322.210105671526,None,322.210105671526,None,324.310918238963,328.312457042146,2.06752238928311,None,None,7.50285393753074,333.297718257905,None,172640,175152,179952,182339,185939,191368
True,True,0.61,-0.39,-5.12,10.58,8.3,-2.28,-1.14,gamble,win,8.3,84.1208333333333,339.816891380782,None,339.816891380782,None,341.817714059714,345.819217024688,1.96778400822222,,,NaN,NaN,,193768,196160,200960,0,0,202172
True,True,0.61,-0.39,-5.51,10.97,10.7,-0.27,-0.135,gamble,win,10.7,94.8208333333333,348.820359047677,None,348.820359047677,None,350.387685606736,354.389178012236,1.53429908779071,,,NaN,NaN,,204572,206445,211245,0,0,212454
False,False,0.61,-0.39,-5.9,-1.85666666666667,7.9,6.04333333333333,3.02166666666667,gamble,lose,6.04333333333333,100.864166666667,357.390302436103,None,357.390302436103,None,358.690886150966,362.675704828816,1.26747816748684,None,None,7.50286353705087,367.677686489889,None,214854,216406,221206,223595,227195,232624
True,True,0.6,-0.4,-6.3,11.9,-0.9,-12.8,-6.85,gamble,win,-0.9,99.9641666666667,374.196794016043,None,374.196794016043,None,377.197997155981,381.199493401291,NaN,,,NaN,NaN,,235024,238617,243417,0,0,244628
True,True,0.6,-0.4,-6.7,12.3,11.5,-0.800000000000001,-0.4,gamble,win,11.5,111.464166666667,384.200675422282,None,384.200675422282,None,386.334789687298,390.336394727176,2.10110567280572,None,None,7.50272882377612,395.321601545653,None,247028,249581,254381,256768,260368,265802
False,True,0.6,-0.4,-7.1,-1.99166666666667,1.1,-0.891666666666667,0.104166666666667,certain,certain,0.104166666666667,111.568333333333,401.862067045615,None,401.862067045615,None,404.57522376483,408.576715850344,2.68005117184657,,,NaN,NaN,,268202,271469,0,0,0,277481
True,False,0.6,-0.4,-7.5,13.1,10.5,-2.6,-1.3,gamble,win,10.5,122.068333333333,411.577941069183,None,411.577941069183,None,413.795393253968,417.796932697122,2.1843971948947,,,NaN,NaN,,279881,282534,287334,0,0,288546
True,False,0.6,-0.4,-7.9,13.5,8.7,-4.8,1.95,gamble,win,8.7,130.768333333333,420.798181914761,None,420.798181914761,None,423.799295459172,427.80080066403,NaN,None,None,7.50277138165256,432.786078198977,None,290946,294538,299338,301726,305326,310755
True,True,0.6,-0.4,-8.3,13.9,6.9,-7,-0.0500000000000007,certain,certain,-0.0500000000000007,130.718333333333,439.305283640242,None,439.305283640242,None,441.439387025799,445.440959747291,2.10099527831699,,,NaN,NaN,,313155,315707,0,0,0,321720
True,True,0.6,-0.4,-8.7,14.3,-1.3,-15.6,-8.45,gamble,win,-1.3,129.418333333333,448.442096650535,None,448.442096650535,None,451.443239313496,455.444789636102,NaN,None,None,7.50274770283431,460.430035492627,None,324120,327712,332512,334899,338499,343932
True,True,0.59,-0.41,-9.11,14.85,3.5,-11.35,-3.925,gamble,win,3.5,132.918333333333,466.970560189635,None,466.970560189635,None,469.967150759836,473.951922400036,NaN,,,NaN,NaN,,346332,349939,354739,0,0,355952
