isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_stopped,fixCross_2_started,outcome2Box_2_stopped,outcome2Box_3_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
FALSE,0.42,-0.58,-0.58,8.7,-1.1,-9.8,-5.45,gamble,win,-1.1,78.50208333,1638.068255,None,1638.068255,None,1640.269144,None,None,1645.254398,1646.254752,0.6,1649.255891,None,None,870044,872685,877487,879867,883469,888892
FALSE,0.6,-0.4,-0.98,6.58,9.1,2.52,1.26,gamble,win,9.1,87.60208333,1655.775109,None,1655.775109,None,1656.825532,None,None,NaN,NaN,NaN,NaN,,,891292,892552,897334,0,0,898556
TRUE,0.6,-0.4,-1.38,6.98,4.3,-2.68,0.81,gamble,win,4.3,91.90208333,1663.828218,None,1663.828218,None,1665.578953,None,None,NaN,NaN,NaN,NaN,,,900956,903057,907859,0,0,909060
FALSE,0.6,-0.4,-1.78,-1.548333333,11.5,9.951666667,4.975833333,gamble,lose,9.951666667,101.85375,1672.581619,None,1672.581619,None,1673.532007,None,None,1678.517338,1679.517765,0.69,1682.518826,None,None,911460,912600,917382,919783,923385,928808
TRUE,0.69,-0.31,-2.09,6.43,4.9,-1.53,1.685,gamble,win,4.9,106.75375,1689.038056,None,1689.038056,None,1690.471914,None,None,NaN,NaN,NaN,NaN,,,931208,932928,937710,0,0,938932
TRUE,0.69,-0.31,-2.4,6.74,11.3,4.56,2.28,gamble,win,11.3,118.05375,1697.474645,None,1697.474645,None,1698.391653,None,None,1703.376895,1704.377289,0.71,1707.378482,None,None,941332,942432,947214,949615,953216,958639
FALSE,0.71,-0.29,-2.69,6.75,-0.3,-7.05,-3.675,gamble,win,-0.3,117.75375,1713.897693,None,1713.897693,None,1716.131842,None,None,NaN,NaN,NaN,NaN,,,961039,963720,968522,0,0,969724
FALSE,0.71,-0.29,-2.98,7.04,3.7,-3.34,0.18,gamble,win,3.7,121.45375,1723.13459,None,1723.13459,None,1724.51849,None,None,1729.503697,1730.504085,0.74,1733.505232,None,None,972124,973784,978566,980967,984569,989992
FALSE,0.74,-0.26,-3.24,6.88,5.9,-0.98,-0.49,gamble,win,5.9,127.35375,1740.024466,None,1740.024466,None,1741.074864,None,None,NaN,NaN,NaN,NaN,,,992392,993652,998434,0,0,999656
FALSE,0.74,-0.26,-3.5,-1.201666667,6.5,5.298333333,2.649166667,gamble,lose,5.298333333,132.6520833,1748.077613,None,1748.077613,None,1749.261358,None,None,NaN,NaN,NaN,NaN,,,1002056,1003476,1008258,0,0,1009479
FALSE,0.74,-0.26,-3.76,7.4,12.5,5.1,2.55,gamble,win,12.5,145.1520833,1756.264122,None,1756.264122,None,1757.347829,None,None,1762.333102,1763.3335,0.69,1766.334631,None,None,1011879,1013180,1017962,1020363,1023964,1029387
TRUE,0.69,-0.31,-4.07,-1.424166667,5.3,3.875833333,1.937916667,gamble,lose,3.875833333,149.0279167,1772.853845,None,1772.853845,None,1773.820953,None,None,NaN,NaN,NaN,NaN,,,1031787,1032948,1037730,0,0,1038951
TRUE,0.69,-0.31,-4.38,-1.45,6.3,4.85,2.425,gamble,lose,4.85,153.8779167,1780.823623,None,1780.823623,None,1781.790666,None,None,1786.775954,1787.776303,0.68,1790.777457,None,None,1041351,1042511,1047293,1049694,1053296,1058719
TRUE,0.68,-0.32,-4.7,-1.511666667,4.5,2.988333333,1.494166667,gamble,lose,2.988333333,156.86625,1797.296708,None,1797.296708,None,1798.180393,None,None,NaN,NaN,NaN,NaN,,,1061119,1062179,1066961,0,0,1068182
TRUE,0.68,-0.32,-5.02,9.5,0.9,-8.6,-3.85,gamble,win,0.9,157.76625,1805.183024,None,1805.183024,None,1806.666961,None,None,NaN,NaN,NaN,NaN,,,1070582,1072363,1077165,0,0,1078366
TRUE,0.68,-0.32,-5.34,-1.565,8.5,6.935,3.4675,gamble,lose,6.935,164.70125,1813.669731,None,1813.669731,None,1814.53668,None,None,1819.521948,1820.522312,0.72,1823.523523,None,None,1080766,1081807,1086589,1088990,1092591,1098014
TRUE,0.72,-0.28,-5.62,9.54,8.3,-1.24,-0.62,gamble,win,8.3,173.00125,1830.042694,None,1830.042694,None,1831.326575,None,None,NaN,NaN,NaN,NaN,,,1100414,1101955,1106757,0,0,1107958
FALSE,0.72,-0.28,-5.9,-1.471666667,11.1,9.628333333,4.814166667,gamble,lose,9.628333333,182.6295833,1838.32927,None,1838.32927,None,1839.296311,None,None,1844.281602,1845.281963,0.68,1848.283092,None,None,1110358,1111519,1116320,1118701,1122303,1127726
FALSE,0.68,-0.32,-6.22,10.7,8.9,-1.8,-0.9,gamble,win,8.9,191.5295833,1854.802298,None,1854.802298,None,1856.319571,None,None,NaN,NaN,NaN,NaN,,,1130126,1131947,1136728,0,0,1137950
TRUE,0.68,-0.32,-6.54,11.02,12.3,1.28,0.64,gamble,win,12.3,203.8295833,1863.322268,None,1863.322268,None,1864.622828,None,None,1869.608065,1870.608477,0.68,1873.609585,None,None,1140350,1141911,1146692,1149093,1152695,1158118
TRUE,0.68,-0.32,-6.86,11.34,12.9,1.56,0.78,gamble,win,12.9,216.7295833,1880.128764,None,1880.128764,None,1881.09586,None,None,NaN,NaN,NaN,NaN,,,1160518,1161678,1166460,0,0,1167682
FALSE,0.68,-0.32,-7.18,-1.718333333,8.1,6.381666667,3.190833333,gamble,lose,6.381666667,223.11125,1888.098583,None,1888.098583,None,1889.615859,None,None,NaN,NaN,NaN,NaN,,,1170082,1171902,1176684,0,0,1177906
TRUE,0.68,-0.32,-7.5,11.98,-0.1,-12.08,-6.09,gamble,win,-0.1,223.01125,1896.618528,None,1896.618528,None,1898.152464,None,None,1903.137835,1904.138113,0.71,1907.139286,None,None,1180306,1182146,1186948,1189329,1192930,1198354
FALSE,0.71,-0.29,-7.79,11.85,3.3,-8.55,-2.625,gamble,win,3.3,226.31125,1913.658487,None,1913.658487,None,1915.075677,None,None,NaN,NaN,NaN,NaN,,,1200754,1202454,1207236,0,0,1208458
TRUE,0.71,-0.29,-8.08,12.14,13.5,1.36,0.68,gamble,win,13.5,239.81125,1922.078416,None,1922.078416,None,1922.828721,None,None,1927.813973,1928.814359,0.67,1931.815549,None,None,1210858,1211758,1216540,1218941,1222542,1227965
FALSE,0.67,-0.33,-8.41,13.03,13.1,0.07,0.035,gamble,win,13.1,252.91125,1938.334753,None,1938.334753,None,1939.601884,None,None,NaN,NaN,NaN,NaN,,,1230365,1231886,1236668,0,0,1237889
TRUE,0.67,-0.33,-8.74,-1.883333333,5.5,3.616666667,1.808333333,gamble,lose,3.616666667,256.5279167,1946.604589,None,1946.604589,None,1948.205248,None,None,1953.190494,1954.19088,0.73,1957.191999,None,None,1240289,1242210,1246992,1249393,1252994,1258397
