isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_started,outcome1Box_2_stopped,outcome1Box_3_stopped,fixCross_ITI_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,False,0.5,-0.5,-5.4,12.4,4.3,-8.1,-1.9,gamble,win,4.3,1.12833333333336,913.060327101499,1,913.060327101499,None,None,None,NaN,NaN,NaN,NaN,NaN,957939,959439,964221,0,0,965442
True,True,False,0.5,-0.5,-5.9,12.9,10.3,-2.6,-1.3,gamble,win,10.3,11.4283333333334,921.313527431979,1,921.313527431979,None,None,None,927.349203205202,928.349595826876,0.58,7.50284466712037,931.350739133428,967842,969103,973905,976286,979887,985310
True,True,True,0.58,-0.42,-6.32,12.2,7.1,-5.1,0.999999999999999,gamble,win,7.1,18.5283333333334,937.869949755899,1,937.869949755899,None,None,None,NaN,NaN,NaN,NaN,NaN,987710,989851,994633,0,0,995854
True,True,True,0.58,-0.42,-6.74,12.62,13.3,0.68,0.34,gamble,win,13.3,31.8283333333334,946.656712678378,1,946.656712678378,None,None,None,952.525695439486,953.52609766071,0.58,7.50285810651258,956.527168010711,998254,999315,1004117,1006498,1010099,1015522
True,True,False,0.58,-0.42,-7.16,13.04,3.5,-9.54,-3.02,certain,certain,-3.02,28.8083333333334,963.046413191536,3,963.046413191536,None,None,None,NaN,NaN,NaN,NaN,NaN,1017922,1019723,1024525,0,0,1025726
True,False,True,0.58,-0.42,-7.58,-2.10166666666667,9.3,7.19833333333333,3.59916666666667,gamble,lose,7.19833333333333,36.0066666666667,971.549716397247,1,971.549716397247,None,None,None,NaN,NaN,NaN,NaN,NaN,1028126,1029066,1033848,0,0,1035070
True,True,False,0.58,-0.42,-8,13.88,6.5,-7.38,-0.44,gamble,win,6.5,42.5066666666667,979.336079658358,1,979.336079658358,None,None,None,985.58854658308,986.588899846596,0.59,7.50285490660463,989.590073871717,1037470,1038990,1043792,1046173,1049775,1055198
True,True,False,0.59,-0.41,-8.41,14.15,2.7,-11.45,-4.375,certain,certain,-4.375,38.1316666666667,996.109256335534,3,996.109256335534,None,None,None,NaN,NaN,NaN,NaN,NaN,1057598,1060099,1064901,0,0,1066102
True,True,True,0.59,-0.41,-8.82,14.56,0.7,-13.86,-6.58,certain,certain,-6.58,31.5516666666667,1005.19617483468,3,1005.19617483468,None,None,None,1011.53193578793,1012.53232008999,0.5,7.50288434524555,1015.53348643548,1068502,1070123,1074925,1077306,1080907,1086350
True,True,True,0.5,-0.5,-9.32,16.32,7.5,-8.82,-0.66,gamble,win,7.5,39.0516666666667,1022.07395110501,1,1022.07395110501,None,None,None,NaN,NaN,NaN,NaN,NaN,1088750,1090311,1095112,0,0,1096314
True,True,False,0.5,-0.5,-9.82,16.82,13.9,-2.92,-1.46,gamble,win,13.9,52.9516666666667,1030.37258707272,1,1030.37258707272,None,None,None,1036.34160772007,1037.34194178443,0.57,7.50299729994731,1040.3431350087,1098714,1099894,1104696,1107077,1110679,1116102
True,False,True,0.57,-0.43,-10.25,-2.35916666666667,-1.3,-3.65916666666667,-2.47958333333333,certain,certain,-2.47958333333333,50.4720833333334,1046.86233251181,3,1046.86233251181,None,None,None,NaN,NaN,NaN,NaN,NaN,1118502,1120582,1125384,0,0,1126586
True,False,False,0.57,-0.43,-10.68,-2.395,6.7,4.305,2.1525,gamble,lose,4.305,54.7770833333334,1055.59906673158,1,1055.59906673158,None,None,None,NaN,NaN,NaN,NaN,NaN,1128986,1130046,1134828,0,0,1136050
True,True,True,0.57,-0.43,-11.11,17.13,2.5,-14.63,-6.065,certain,certain,-6.065,48.7120833333334,1063.48547651852,3,1063.48547651852,None,None,None,1070.05468416511,1071.05507038708,0.5,7.50261171802413,1074.05623929249,1138450,1140350,1145152,1147533,1151135,1156578
True,True,False,0.5,-0.5,-11.61,18.61,0.1,-18.51,-9.205,certain,certain,-9.205,39.5070833333334,1080.59669596236,3,1080.59669596236,None,None,None,NaN,NaN,NaN,NaN,NaN,1158978,1160638,1165420,0,0,1166642
True,True,False,0.5,-0.5,-12.11,19.11,5.3,-13.81,-4.255,gamble,win,5.3,44.8070833333334,1088.97870659479,1,1088.97870659479,None,None,None,1095.18115025666,1096.18150959985,0.58,7.50294994213618,1099.1826273076,1169042,1170502,1175304,1177685,1181286,1186710
True,False,False,0.58,-0.42,-12.53,-2.51416666666667,3.9,1.38583333333333,0.692916666666666,gamble,lose,1.38583333333333,46.1929166666667,1105.70188176807,1,1105.70188176807,None,None,None,NaN,NaN,NaN,NaN,NaN,1189110,1190190,1194972,0,0,1196193
True,True,False,0.58,-0.42,-12.95,18.83,7.7,-11.13,-1.715,gamble,win,7.7,53.8929166666667,1113.6049496567,1,1113.6049496567,None,None,None,1119.65729409119,1120.65768767282,0.61,7.50291986356024,1123.65882937948,1198593,1199874,1204676,1207057,1210658,1216061
