isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,outcome1Box_stopped,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,False,0.42,-0.58,-1.69,-2.17083333333333,4.7,2.52916666666667,1.26458333333333,gamble,lose,2.52916666666667,38.14125,2557.8411980074,None,2557.8411980074,None,2559.19171522959,2563.17658382491,NaN,NaN,NaN,NaN,,,895643,897264,902046,0,0,903267
True,False,0.42,-0.58,-2.27,10.39,4.9,-5.49,-0.295,gamble,win,4.9,43.04125,2566.19441269489,None,2566.19441269489,None,2568.21185022441,2572.21339382738,2573.19710536051,2574.19748774142,0.43,2577.19862176478,None,None,905667,908088,912889,915271,918872,924295
False,True,0.43,-0.57,-2.84,-2.23166666666667,13.5,11.2683333333333,5.63416666666667,gamble,lose,11.2683333333333,54.3095833333333,2583.71782112634,None,2583.71782112634,None,2584.93495300715,2588.93649501016,NaN,NaN,NaN,NaN,,,926695,928156,932958,0,0,934159
True,False,0.43,-0.57,-3.41,11.39,5.9,-5.49,0.205,gamble,win,5.9,60.2095833333333,2591.93764439278,None,2591.93764439278,None,2594.85545105586,2598.85698985908,2599.84075034974,2600.84108025325,0.46,2603.84221203678,None,None,936559,940060,944862,947243,950845,956268
True,False,0.46,-0.54,-3.95,11.51,5.7,-5.81,-0.0550000000000006,gamble,win,5.7,65.9095833333333,2610.36140755855,None,2610.36140755855,None,2611.52852017625,2615.53002986091,NaN,NaN,NaN,NaN,,,958668,960068,964870,0,0,966072
True,False,0.46,-0.54,-4.49,12.05,0.3,-11.75,-5.725,certain,certain,-5.725,60.1845833333333,2618.5312176416,None,2618.5312176416,None,2620.44865376322,2624.45015768812,2625.4338717811,2626.43425480201,0.43,2629.43539714499,None,None,968472,970773,975574,977955,981556,986980
True,False,0.43,-0.57,-5.06,13.04,0.9,-12.14,-5.62,certain,certain,-5.62,54.5645833333333,2635.95458562707,None,2635.95458562707,None,2637.62195455201,2641.6235010348,NaN,NaN,NaN,NaN,,,989380,991380,996182,0,0,997384
True,True,0.43,-0.57,-5.63,13.61,11.1,-2.51,-1.255,gamble,win,11.1,65.6645833333333,2644.62464785756,None,2644.62464785756,None,2646.87549517525,2650.86030361365,NaN,NaN,NaN,NaN,,,999784,1002485,1007267,0,0,1008488
True,True,0.43,-0.57,-6.2,14.18,6.3,-7.88,-0.790000000000002,gamble,win,6.3,71.9645833333333,2653.87813408353,None,2653.87813408353,None,2656.17903330264,2660.18057722558,2661.16428491886,2662.16467049962,0.43,2665.16581060272,None,None,1010888,1013649,1018451,1020832,1024433,1029857
True,False,0.43,-0.57,-6.77,14.75,3.5,-11.25,-3.875,certain,certain,-3.875,68.0895833333333,2671.6850038846,None,2671.6850038846,None,2673.73578918941,2677.73733215238,NaN,NaN,NaN,NaN,,,1032257,1034717,1039519,0,0,1040721
