isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,outcome1Box_stopped,choiceKey_started,choiceKey_stopped,outcome2Box_2_started,outcome2Box_3_started,choiceKey_rt,fixCross_ISI_stopped,happyText_stopped,happySlider_rt,happySlider_started,happySlider_stopped,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,False,0.49,-0.51,-10.26,17.4,11.7,-5.7,-2.85,gamble,win,11.7,85.94,411.221637188341,None,411.221637188341,None,412.505458414322,416.490331261419,1.25077443663031,None,None,7.50277792441193,421.492177878041,None,279963,281503,286285,288686,292287,297710
False,False,0.46,-0.54,-10.8,-2.79,12.5,9.71,4.855,gamble,lose,9.71,95.65,428.011331205489,None,428.011331205489,None,429.145093314815,433.146663466818,1.1004958122503,,,NaN,NaN,,300110,301471,306273,0,0,307474
False,True,0.46,-0.54,-11.34,-2.835,4.3,1.465,0.7325,gamble,lose,1.465,97.115,436.147741806461,None,436.147741806461,None,437.148124185042,441.133014631225,0.967111601727083,None,None,7.50268032983877,446.134843968786,None,309874,311075,315857,318258,321859,327282
True,True,0.47,-0.53,-11.87,19.29,9.3,-9.98999999999999,-0.344999999999997,certain,certain,-0.344999999999997,96.77,452.6539902566,None,452.6539902566,None,454.32134552463,458.306188933435,1.63423168298323,,,NaN,NaN,,329682,331683,336465,0,0,337686
False,False,0.47,-0.53,-12.4,-2.88833333333333,5.5,2.61166666666667,1.30583333333333,gamble,lose,2.61166666666667,99.3816666666667,461.323947938974,None,461.323947938974,None,462.207612053724,466.192503779777,0.850597486482002,None,None,7.50273504690267,471.194390074234,None,340086,341147,345929,348330,351931,357354
True,True,0.46,-0.54,-12.94,20.5,7.3,-13.2,-2.95,certain,certain,-2.95,96.4316666666667,477.71348292497,None,477.71348292497,None,479.147409025114,483.148913580808,1.40076923696324,,,NaN,NaN,,359754,361475,366276,0,0,367478
True,True,0.46,-0.54,-13.48,21.04,2.7,-18.34,-7.82,certain,certain,-7.82,88.6116666666667,486.150025198585,None,486.150025198585,None,487.400495012291,491.402048205375,1.21738686633762,,,NaN,NaN,,369878,371379,376181,0,0,377382
True,False,0.46,-0.54,-14.02,21.58,3.7,-17.88,-7.09,certain,certain,-7.09,81.5216666666667,494.403185101692,None,494.403185101692,None,495.953717791825,499.938617197447,1.51750221988186,None,None,7.50278144422919,504.94044109527,None,379782,381642,386424,388825,392427,397830
True,False,0.48,0.48,0.48,-7.2,10.3,3.1,1.55,gamble,lose,3.1,84.6216666666667,528.399338277057,None,528.399338277057,None,529.866605230141,533.851399361622,1.43418784555979,,,NaN,NaN,,420578,422338,427121,0,0,428342
True,False,0.48,0.48,0.96,-7.68,5.9,-1.78,-0.89,gamble,lose,-1.78,82.8416666666667,536.869209564291,None,536.869209564291,None,538.436524674646,542.421314646374,1.53416080691386,None,None,7.502674250165,547.423190701287,None,430742,432623,437404,439806,443407,448830
True,True,0.46,0.46,1.42,-7.86,7.5,-0.36,-0.18,gamble,lose,-0.36,82.4816666666667,553.942343068775,None,553.942343068775,None,555.242830561474,559.227675250266,1.26746150210965,,,NaN,NaN,,451230,452791,457572,0,0,458794
False,False,0.46,0.46,1.88,1.76666666666667,2.775,1.00833333333333,1.89166666666667,gamble,win,2.775,85.2566666666667,562.245481613092,None,562.245481613092,None,563.696036222042,567.680974985473,1.4174659018172,None,None,7.50275648559909,572.682756325696,None,461194,462935,467716,470117,473719,479142
