isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,choiceKey_rt,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,False,True,0.58,-0.42,-6.21,-1.9875,5.9,3.9125,1.95625,gamble,lose,3.9125,82.7745833333333,381.517307991395,1,382.751128427277,386.735949296446,387.736353117565,1.2007221422391,NaN,NaN,NaN,NaN,NaN,278322,279803,284584,0,0,285806
True,True,True,0.58,-0.42,-6.63,12.51,4.3,-8.21,-1.955,gamble,win,4.3,87.0745833333333,389.753844780382,1,391.554550411412,395.556108418619,405.043082467164,1.76758013863582,396.539775101701,397.540164843493,0.68,7.50283378764288,400.541316149698,288206,290367,295169,297550,301151,306574
True,True,True,0.68,-0.32,-6.95,11.43,10.9,-0.529999999999999,-0.265,gamble,win,10.9,97.9745833333333,407.06057636987,1,408.361086810008,412.362596819468,413.346299020923,1.2674233459984,NaN,NaN,NaN,NaN,NaN,308974,310535,315337,0,0,316538
True,True,False,0.68,-0.32,-7.27,11.75,10.1,-1.65,-0.825,gamble,win,10.1,108.074583333333,415.363755805301,1,416.93108161987,420.932593229227,430.419635754602,1.53424384008395,421.916292870825,422.916693172068,0.84,7.50325904774945,425.917915834987,318938,320819,325621,328002,331603,337046
True,True,True,0.84,-0.16,-7.43,9.67,9.1,-0.570000000000002,-0.285000000000001,gamble,win,9.1,117.174583333333,432.458418262715,1,433.587524870818,437.589068158763,438.572789879283,1.09599231526954,NaN,NaN,NaN,NaN,NaN,339446,340807,345608,0,0,346810
True,False,False,0.84,-0.16,-7.59,-1.1925,1.3,0.1075,0.70375,gamble,lose,0.1075,117.282083333333,440.590236424177,1,442.124165079033,446.109062104602,455.612771691289,1.50084252061788,447.109411848302,448.10982942878,0.59,7.50288050540257,451.110978495097,349210,351051,355833,358233,361835,367258
True,False,True,0.59,-0.41,-8,-2.10166666666667,6.9,4.79833333333333,2.39916666666667,gamble,lose,4.79833333333333,122.080416666667,457.630212796445,1,458.897334076522,462.88224806136,463.882609644497,1.23402938613435,NaN,NaN,NaN,NaN,NaN,369658,371179,375960,0,0,377182
True,True,True,0.59,-0.41,-8.41,14.15,5.3,-8.85,-1.775,gamble,win,5.3,127.380416666667,465.900125626125,1,467.083898480283,471.068729268969,472.069117090839,1.15068224014249,NaN,NaN,NaN,NaN,NaN,379582,381002,385784,0,0,387006
True,True,False,0.59,-0.41,-8.82,14.56,6.7,-7.86,-0.58,gamble,win,6.7,134.080416666667,474.086612913467,1,475.437142456707,479.438696624071,488.925682832079,1.31739413132891,480.422405225225,481.4227786478,0.79,7.50289266486652,484.423965152353,389406,391026,395828,398209,401811,407214
False,True,False,0.74,0.74,0.74,-11.1,1.325,-9.775,-4.225,gamble,lose,-9.775,124.305416666667,507.549596082885,1,510.050560517819,514.052185401903,515.035840565513,2.46789238008205,NaN,NaN,NaN,NaN,NaN,429561,432563,437365,0,0,438566
False,True,False,0.74,0.74,1.48,-11.84,2.775,-9.065,-3.145,gamble,lose,-9.065,115.240416666667,517.053297669918,1,519.104150654108,523.105662263464,532.592731987534,2.01777132967254,524.089394223527,525.089779805508,0.39,7.50288146536332,528.09094327112,440966,443427,448229,450610,454211,459654
False,False,False,0.39,0.39,1.87,1.52083333333333,1.875,0.354166666666667,1.11458333333333,gamble,win,1.875,117.115416666667,534.631388741545,1,535.943955898401,539.928851004108,540.929259944998,1.27952518058009,NaN,NaN,NaN,NaN,NaN,462054,463635,468417,0,0,469638
False,True,False,0.39,0.39,2.26,-7.72,2.925,-4.795,-0.935,certain,certain,-0.935,116.180416666667,542.946732408658,3,544.880845886888,548.832345432835,558.319368439086,1.85100600100122,549.816020115511,550.816406657454,0.5,7.50286386621883,553.817600841692,472038,474359,479101,481482,485083,490507
False,True,True,0.5,0.5,2.76,-9.76,0.475,-9.285,-4.405,gamble,lose,-9.285,106.895416666667,560.336851782282,1,562.437594595598,566.439222359506,567.422898002202,2.06772451591678,NaN,NaN,NaN,NaN,NaN,492907,495428,500229,0,0,501431
False,True,True,0.5,0.5,3.26,-10.26,0.675,-9.585,-4.455,certain,certain,-4.455,102.440416666667,569.440345827024,3,570.874209076923,574.875813162012,575.859476645244,1.40082607342629,NaN,NaN,NaN,NaN,NaN,503831,505551,510353,0,0,511555
False,True,False,0.5,0.5,3.76,-10.76,2.625,-8.135,-2.755,certain,certain,-2.755,99.6854166666666,577.876923830132,3,580.161240786838,584.16275591607,593.649726764765,2.25121674319962,585.146454917616,586.146812660911,0.36,7.50294482242316,589.148082681582,513955,516696,521498,523879,527480,532923
False,True,True,0.36,0.36,4.12,-9.16,2.875,-6.285,-1.705,gamble,lose,-6.285,93.4004166666666,595.688521432283,1,597.901386687241,601.902941174572,602.886704173172,2.17982327868231,NaN,NaN,NaN,NaN,NaN,535323,537984,542786,0,0,543988
False,True,False,0.36,0.36,4.48,-9.52,2.275,-7.245,-2.485,certain,certain,-2.485,90.9154166666666,604.904151678027,3,607.188321121619,611.189883288636,620.676955252653,2.25113002723083,612.173645647301,613.17398611136,0.36,7.50324560835725,616.175152136886,546388,549129,553931,556311,559913,565336
False,True,True,0.36,0.36,4.84,-9.88,0.425,-9.455,-4.515,gamble,lose,-9.455,81.4604166666666,622.69439827773,1,624.011533861165,628.013136026275,628.996811028977,1.28387121751439,NaN,NaN,NaN,NaN,NaN,567736,569317,574118,0,0,575320
False,True,False,0.36,0.36,5.2,-10.24,0.225,-10.015,-4.895,certain,certain,-4.895,76.5654166666666,631.014308771468,3,632.631600891589,636.633112180978,637.616826221871,1.5841928665177,NaN,NaN,NaN,NaN,NaN,577720,579661,584463,0,0,585664
False,True,True,0.36,0.36,5.56,-10.6,2.575,-8.025,-2.725,gamble,lose,-8.025,68.5404166666666,639.6343230044,NaN,642.635496069619,646.637000639341,656.124031965213,NaN,647.620726839639,648.621132260712,0.31,7.50290450430475,651.622274607304,588064,591665,596467,598848,602450,607893
False,False,False,0.31,0.31,5.87,1.57416666666667,3.425,1.85083333333333,0.925416666666667,gamble,win,3.425,71.9654166666666,658.162873990543,1,659.275325376773,663.260128966765,664.260560946597,1.07933581341058,NaN,NaN,NaN,NaN,NaN,610293,611633,616415,0,0,617637
False,True,True,0.31,0.31,6.18,-10.52,1.675,-8.845,-3.585,gamble,lose,-8.845,63.1204166666666,666.277971333184,1,668.11202644615,672.096893073176,681.600606819673,1.80100801691879,673.097319613211,674.097687276022,0.32,7.50286930595757,677.098876980483,620037,622237,627019,629420,633022,638445
False,False,False,0.32,0.32,6.5,1.66166666666667,0.575,-1.08666666666667,-0.255833333333333,certain,certain,-0.255833333333333,62.8645833333333,683.618056884385,3,685.652171450551,689.65372913779,690.637438698846,2.00107514980482,NaN,NaN,NaN,NaN,NaN,640845,643286,648088,0,0,649289
False,True,False,0.32,0.32,6.82,-11.3,0.775,-10.525,-4.875,certain,certain,-4.875,57.9895833333333,692.654894203355,3,694.922451943043,698.924032349198,708.411032316566,2.23428345430875,699.907763029332,700.908111493045,0.42,7.50289298483403,703.909319756553,651689,654410,659212,661593,665194,670637
