isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,False,True,0.6,-0.4,-0.4,-1.43333333333333,6.5,5.06666666666667,2.53333333333333,gamble,lose,5.06666666666667,5.06666666666667,115.289908565115,1,2.25094114732929,117.574109289912,121.55901029543,122.559330277494,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.6,-0.4,-0.8,6.4,7.9,1.5,0.75,gamble,win,7.9,12.9666666666667,124.576798419293,1,1.21743582357885,125.827281672216,129.828807346814,130.812452102662,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.6,-0.4,-1.2,6.8,8.3,1.5,0.75,gamble,win,8.3,21.2666666666667,132.829950002779,1,1.20068060187623,134.047047285363,138.048580639472,147.568797267333,139.048912780883,140.049297719321,0.66,7.51920612441609,143.050498932076,0,0,0,0,0,0
True,True,False,0.66,-0.34,-1.54,6.3,7.7,1.4,0.7,gamble,win,7.7,28.9666666666667,149.586284608056,1,1.26740134548163,150.886728903162,154.871619669313,155.871984448866,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.66,-0.34,-1.88,6.64,4.7,-1.94,1.38,gamble,win,4.7,33.6666666666667,157.889490668545,1,2.3677704448346,160.290346940572,164.291806058842,173.778791587683,165.275622965128,166.275946786976,0.68,7.50278176425491,169.277036965941,0,0,0,0,0,0
True,True,False,0.68,-0.32,-2.2,6.68,7.5,0.82,0.41,gamble,win,7.5,41.1666666666667,175.796239570598,1,1.41742590413196,177.246772740735,181.248278896383,182.232003647776,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,False,False,0.68,-0.32,-2.52,-1.33,9.1,7.77,3.885,gamble,lose,7.77,48.9366666666667,184.249384754454,1,1.4173123104847,185.699965601903,189.684779892326,190.685177630046,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,False,False,0.68,-0.32,-2.84,-1.35666666666667,10.3,8.94333333333334,4.47166666666667,gamble,lose,8.94333333333334,57.88,192.702609933855,1,1.06733222934417,193.802979033149,197.804488068679,207.291506235662,198.788190421357,199.78863039671,0.74,7.50275104591856,202.789693377155,0,0,0,0,0,0
True,False,False,0.74,-0.26,-3.1,-1.16833333333333,12.7,11.5316666666667,5.76583333333333,gamble,lose,11.5316666666667,69.4116666666667,209.308900781558,1,1.30077163677197,210.642769764876,214.644238162669,215.627955874486,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.74,-0.26,-3.36,7,3.9,-3.1,0.4,gamble,win,3.9,73.3116666666667,217.645384338452,1,2.00106042064726,219.679504987726,223.664342316857,233.1679416353,224.664718935732,225.665034118108,0.75,7.50273696670774,228.666189573414,0,0,0,0,0,0
True,True,True,0.75,-0.25,-3.61,7.11,10.7,3.59,1.795,gamble,win,10.7,84.0116666666667,235.185370419233,1,1.00062172522303,236.219031574263,240.203935779573,241.20430535893,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.75,-0.25,-3.86,7.36,13.7,6.34,3.17,gamble,win,13.7,97.7116666666667,243.221736382751,1,1.18400761554949,244.438867903373,248.423716111924,257.927308070764,249.424034174066,250.424472229555,0.75,7.502634892473,253.425590886909,0,0,0,0,0,0
True,True,False,0.75,-0.25,-4.11,7.61,9.3,1.69,0.845000000000001,gamble,win,9.3,107.011666666667,259.944737174723,1,1.15049653220922,261.128522402723,265.130035278038,266.113725471369,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.75,-0.25,-4.36,7.86,4.5,-3.36,0.57,gamble,win,4.5,111.511666666667,268.131177294068,1,1.73421008425066,269.898473525478,273.900023518712,274.883731631038,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.75,-0.25,-4.61,8.11,1.7,-6.41,-2.355,gamble,win,1.7,113.211666666667,276.901093218767,1,1.71762861276511,278.651820458064,282.653340372955,292.140203988587,283.637053924962,284.637357907952,0.75,7.50279968319228,287.638547601353,0,0,0,0,0,0
True,True,False,0.75,-0.25,-4.86,8.36,6.7,-1.66,-0.83,gamble,win,6.7,119.911666666667,294.157692929206,1,2.25101986288792,296.441831577453,300.44340876909,301.427106642048,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.75,-0.25,-5.11,8.61,3.1,-5.51,-1.205,gamble,win,3.1,123.011666666667,303.444548865256,1,2.60120697238017,306.078817666217,310.080368299386,319.567254633759,311.064074491849,312.064471909602,0.75,7.50272736727493,315.065584167314,0,0,0,0,0,0
True,False,False,0.75,-0.25,-5.36,-1.32166666666667,2.1,0.778333333333334,1.43916666666667,certain,certain,1.43916666666667,124.450833333333,321.584716695885,3,2.61794459511293,324.235740718548,328.2205335701,329.220958506339,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.75,-0.25,-5.61,9.11,2.3,-6.81,-2.255,gamble,win,2.3,126.750833333333,331.238400729548,1,2.33431983808987,333.605963826005,337.590804354986,338.591127216874,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.75,-0.25,-5.86,9.36,5.7,-3.66,1.02,certain,certain,1.02,127.770833333333,340.608585439215,3,1.91770316864131,342.559364835557,346.560813074466,356.047789323784,347.544515427144,348.544957642385,0.77,7.50282688165316,351.546068940137,0,0,0,0,0,0
True,True,False,0.77,-0.23,-6.09,9.31,7.1,-2.21,-1.105,gamble,win,7.1,134.870833333333,358.06519794889,1,2.68462214118335,360.782924156229,364.784439271432,365.768122425128,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,False,True,0.77,-0.23,-6.32,-1.33166666666667,12.1,10.7683333333333,5.38416666666667,gamble,lose,10.7683333333333,145.639166666667,367.785566888284,1,1.68424392229645,369.50290111755,373.487727247295,382.991327845666,374.488112825667,375.488491044496,0.77,7.50281664222712,378.489567784185,0,0,0,0,0,0
True,True,True,0.77,-0.23,-6.55,9.77,4.3,-5.47,-0.585,gamble,win,4.3,149.939166666667,385.008759829449,1,2.10105642082635,387.142898877675,391.144417832606,392.128099386464,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.77,-0.23,-6.78,10,8.5,-1.5,-0.75,gamble,win,8.5,158.439166666667,394.145524970605,1,1.78430455893977,395.962909597089,399.964359115867,409.451328325609,400.948109145917,401.948499524035,0.73,7.50275840552058,404.949631940632,0,0,0,0,0,0
True,False,True,0.73,-0.27,-7.05,-1.5325,11.9,10.3675,5.18375,gamble,lose,10.3675,168.806666666667,411.468790707702,1,1.53415408736328,413.036041821644,417.020811954513,418.021205852448,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.73,-0.27,-7.32,11.1,13.1,2,0.999999999999999,gamble,win,13.1,181.906666666667,420.038683593739,1,1.71739598584827,421.789362195705,425.774128168821,426.774572623952,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.73,-0.27,-7.59,11.37,12.9,1.53,0.765,gamble,win,12.9,194.806666666667,428.791950850748,1,0.833891542104539,429.658939419372,433.643811306567,443.147377666843,434.64422184357,435.644539265777,0.75,7.50272544735344,438.645669762511,0,0,0,0,0,0
False,False,False,0.74,0.74,0.74,2.65166666666667,2.875,0.223333333333334,1.54916666666667,certain,certain,1.54916666666667,196.355833333333,457.786322365922,3,1.85096898576012,459.67036565952,463.655208108365,464.655523610709,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
False,True,False,0.74,0.74,1.48,-11.84,0.9,-10.94,-5.02,certain,certain,-5.02,191.335833333333,466.67301351123,3,2.83466909854906,469.540771956788,473.542285792006,483.029214044043,474.525992944371,475.526372763154,0.74,7.50274336640723,478.527498140116,0,0,0,0,0,0
False,False,False,0.74,0.74,2.22,2.775,3.175,0.4,1.7875,gamble,win,3.175,194.510833333333,485.046630348719,1,2.10091178899165,487.18078859587,491.165624645015,492.165994224313,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
False,True,False,0.74,0.74,2.96,-13.32,-1.3,-14.62,-7.96,gamble,lose,-14.62,179.890833333333,494.1834409273,1,2.43430399900535,496.650971865573,500.6525586567,510.156091418874,501.63625972945,502.636642748024,0.7,7.51932515780209,505.637703488581,0,0,0,0,0,0
False,False,False,0.7,0.7,3.66,2.755,0.275,-2.48,-1.1025,certain,certain,-1.1025,178.788333333333,512.173513483256,3,2.33448654873064,514.541089059028,518.54266241088,519.5263449247,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
False,False,False,0.7,0.7,4.36,2.81333333333333,2.175,-0.638333333333333,0.768333333333333,certain,certain,0.768333333333333,179.556666666667,521.543798027327,3,1.76755541691091,523.344470309676,527.329322037986,528.329697696958,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
False,False,True,0.7,0.7,5.06,2.87166666666667,3.025,0.153333333333333,1.58916666666667,gamble,win,3.025,182.581666666667,530.347129360773,1,1.81757917557843,532.197835321247,536.19932035805,545.70295359462,537.183029750362,538.183428128017,0.75,7.51946339005372,541.184551905084,0,0,0,0,0,0
False,True,False,0.75,0.75,5.81,-16.31,9.3,-7.01,1.145,certain,certain,1.145,183.726666666667,547.720313582453,3,1.91769548907178,549.671108657902,553.672567456204,554.656337005144,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
False,True,True,0.75,0.75,6.56,-17.06,7.7,-9.36,-0.830000000000001,certain,certain,-0.830000000000001,182.896666666667,556.673757149605,3,2.33450254786294,559.041331125482,563.042844640731,572.529773852671,564.026559472666,565.026866655448,0.73,7.50277568452293,568.028050589142,0,0,0,0,0,0
False,False,True,0.73,0.73,7.29,3.1625,1.875,-1.2875,0.29375,certain,certain,0.29375,183.190416666667,574.547200716741,3,1.65088899026159,576.23117393424,580.232625372999,581.21640164149,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
False,False,False,0.73,0.73,8.02,3.22333333333333,2.275,-0.948333333333333,0.663333333333333,certain,certain,0.663333333333333,183.85375,583.233815386367,3,1.93431951809907,585.201202812663,589.20275056595,590.186387322319,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
False,True,True,0.73,0.73,8.75,-18.97,6.1,-12.87,-3.385,certain,certain,-3.385,180.46875,592.203851304308,3,2.01772252755472,594.254607181996,598.256176054128,607.743111665768,599.239877126878,600.240228147246,0.74,7.50274240644649,603.241393841919,0,0,0,0,0,0
False,True,False,0.74,0.74,9.49,-19.85,5.9,-13.95,-4.025,gamble,lose,-13.95,166.51875,609.760528610379,1,2.60127224872122,612.394863007648,616.396384842461,617.380089754995,NaN,NaN,NaN,NaN,NaN,0,0,3624,0,0,4825
False,True,False,0.74,0.74,10.23,-20.59,11.1,-9.49,0.804999999999998,certain,certain,0.804999999999998,167.32375,619.397457422398,3,2.70131304644747,622.131889254204,626.133397649741,635.620325581753,627.117104802106,628.117490380537,0.74,7.50273216702044,631.11861223774,7225,10507,15308,17689,21291,26714
False,False,True,0.74,0.74,10.97,3.50416666666667,1.975,-1.52916666666667,0.222916666666667,certain,certain,0.222916666666667,167.546666666667,637.637763325241,3,1.8342873599031,639.505130112695,643.48994312319,644.490290943708,NaN,NaN,NaN,NaN,NaN,29114,31354,36137,0,0,37358
False,True,False,0.74,0.74,11.71,-22.07,13.9,-8.17,-4.085,certain,certain,-4.085,163.461666666667,646.507778284431,3,1.45074019854655,647.991675346158,651.993195581075,661.480105594092,652.976897613727,653.977215675928,0.71,7.5029260761803,656.978400569584,39758,41539,46341,48721,52323,57746
