isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,fixCross_stopped,outcome2Box_started,choiceKey_stopped,fixCross_2_started,outcome2Box_2_stopped,outcome2Box_3_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_started,happySlider_stopped,happyResp_keys,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,0.94,-0.0600000000000001,-0.0600000000000001,0.900000000000001,-1.3,-2.2,-1.75,gamble,win,-1.3,-1.3,368.623877168862,None,368.623877168862,None,371.625090876045,None,None,NaN,NaN,NaN,NaN,,,15838,19439,24221,0,0,25442
False,0.94,-0.0600000000000001,-0.12,0.960000000000001,8.9,7.94,3.97,gamble,win,8.9,7.6,378.627786118748,None,378.627786118748,None,380.195120148368,None,None,NaN,NaN,NaN,NaN,,,27842,29723,34505,0,0,35727
True,0.94,-0.0600000000000001,-0.18,1.02,12.1,11.08,5.54,gamble,win,12.1,19.7,387.197811231254,None,387.197811231254,None,388.831782680816,None,None,393.817110359356,394.817571779273,0.83,397.818662291815,None,None,38127,40088,44869,47270,50871,56295
True,0.83,-0.17,-0.35,2.73,8.7,5.97,2.985,gamble,win,8.7,28.4,404.337894094846,None,404.337894094846,None,405.721774028392,None,None,NaN,NaN,NaN,NaN,,,58695,60355,65158,0,0,66358
True,0.83,-0.17,-0.52,2.9,1.1,-1.8,-0.350000000000001,gamble,win,1.1,29.5,412.72450894937,None,412.72450894937,None,415.075380079455,None,None,420.060659120114,421.061109020535,0.82,424.06226353029,None,None,68758,71580,76382,78762,82364,87807
False,0.82,-0.18,-0.7,-0.688333333333333,6.9,6.21166666666667,3.10583333333333,gamble,lose,6.21166666666667,35.7116666666667,430.598221645392,None,430.598221645392,None,431.815309797716,None,None,NaN,NaN,NaN,NaN,,,90207,91667,96450,0,0,97671
False,0.82,-0.18,-0.88,3.4,-1.5,-4.9,-3.2,gamble,win,-1.5,34.2116666666667,438.8180514384,None,438.8180514384,None,441.585803625825,None,None,NaN,NaN,NaN,NaN,,,100071,103392,108194,0,0,109396
True,0.82,-0.18,-1.06,3.58,4.1,0.519999999999999,0.259999999999999,gamble,win,4.1,38.3116666666667,448.58854494652,None,448.58854494652,None,450.355899391256,None,None,455.341186431564,456.341524016872,0.85,459.342687166252,None,None,111796,113917,118698,121099,124700,130124
True,0.85,-0.15,-1.21,-0.625833333333333,9.1,8.47416666666667,4.23708333333333,gamble,lose,8.47416666666667,46.7858333333333,465.862056883281,None,465.862056883281,None,467.479212424674,None,None,NaN,NaN,NaN,NaN,,,132524,134464,139266,0,0,140468
True,0.85,-0.15,-1.36,3.46,7.5,4.04,2.02,gamble,win,7.5,54.2858333333333,474.481950865498,None,474.481950865498,None,475.799187299366,None,None,480.784419942043,481.784863762728,0.86,484.786043551383,None,None,142868,144448,149230,151632,155233,160656
True,0.86,-0.14,-1.5,-0.615,11.9,11.285,5.6425,gamble,lose,11.285,65.5708333333333,491.305227036519,None,491.305227036519,None,492.439027293531,None,None,NaN,NaN,NaN,NaN,,,163056,164416,169198,0,0,170419
False,0.86,-0.14,-1.64,3.6,10.7,7.1,3.55,gamble,win,10.7,76.2708333333333,499.441775973908,None,499.441775973908,None,500.625568295265,None,None,505.610910053194,506.61124283871,0.92,509.612382949093,None,None,172819,174240,179022,181423,185024,190448
False,0.92,-0.08,-1.72,2.84,0.1,-2.74,-1.32,gamble,win,0.1,76.3708333333333,516.131622751775,None,516.131622751775,None,518.165769105726,None,None,NaN,NaN,NaN,NaN,,,192848,195288,200070,0,0,201292
False,0.92,-0.08,-1.8,2.92,-1.1,-4.02,-2.56,gamble,win,-1.1,75.2708333333333,525.168516186175,None,525.168516186175,None,527.636163034182,None,None,NaN,NaN,NaN,NaN,,,203692,206653,211455,0,0,212656
False,0.92,-0.08,-1.88,3,11.7,8.7,4.35,gamble,win,11.7,86.9708333333333,534.638918754255,None,534.638918754255,None,535.856017146132,None,None,540.841248828849,541.841646891524,0.94,544.842799481365,None,None,215056,216517,221298,223699,227301,232724
True,0.94,-0.0600000000000001,-1.94,2.78,2.3,-0.480000000000002,0.909999999999999,gamble,win,2.3,89.2708333333333,551.362049523603,None,551.362049523603,None,553.612965323748,None,None,NaN,NaN,NaN,NaN,,,235124,237825,242627,0,0,243829
True,0.94,-0.0600000000000001,-2,-0.376666666666667,4.9,4.52333333333333,2.26166666666667,gamble,lose,4.52333333333333,93.7941666666667,560.615655766658,None,560.615655766658,None,561.599412633561,None,None,566.584682394619,567.585046218788,0.83,570.586217047832,None,None,246229,247409,252191,254592,258193,263616
False,0.83,-0.17,-2.17,4.55,-0.3,-4.85,-2.575,certain,certain,-2.575,91.2191666666667,577.105443731089,None,577.105443731089,None,579.95660316863,None,None,NaN,NaN,NaN,NaN,,,266016,269437,274239,0,0,275441
True,0.83,-0.17,-2.34,4.72,3.1,-1.62,0.739999999999999,gamble,win,3.1,94.3191666666666,586.959296491415,None,586.959296491415,None,588.509949327003,None,None,NaN,NaN,NaN,NaN,,,277841,279702,284483,0,0,285705
True,0.83,-0.17,-2.51,4.89,2.1,-2.79,-0.345000000000001,gamble,win,2.1,96.4191666666666,595.512691607659,None,595.512691607659,None,597.330064995571,None,None,602.31535171589,603.315691221116,0.84,606.316830371539,None,None,288105,290286,295088,297468,301070,306493
True,0.84,-0.16,-2.67,4.91,8.3,3.39,1.695,gamble,win,8.3,104.719166666667,612.836084573599,None,612.836084573599,None,614.220005785348,None,None,NaN,NaN,NaN,NaN,,,308893,310553,315335,0,0,316557
False,0.84,-0.16,-2.83,5.07,4.7,-0.370000000000001,-0.185,gamble,win,4.7,109.419166666667,621.222751905836,None,621.222751905836,None,622.689990451614,None,None,627.675265012465,628.675670754808,0.84,631.676814065049,None,None,318957,320717,325520,327900,331501,336925
True,0.84,-0.16,-2.99,5.23,5.1,-0.130000000000002,-0.0650000000000008,gamble,win,5.1,114.519166666667,638.196063787302,None,638.196063787302,None,639.429870892018,None,None,NaN,NaN,NaN,NaN,,,339325,340806,345607,0,0,346809
False,0.84,-0.16,-3.15,5.39,2.5,-2.89,-0.195000000000001,gamble,win,2.5,117.019166666667,646.432567094678,None,646.432567094678,None,648.300024702923,None,None,653.285263105347,654.285678447271,0.87,657.286849916291,None,None,349209,351450,356252,358632,362234,367657
True,0.87,-0.13,-3.28,5.1,2.9,-2.2,0.349999999999999,gamble,win,2.9,119.919166666667,663.806021241955,None,663.806021241955,None,665.05656105846,None,None,NaN,NaN,NaN,NaN,,,370057,371558,376359,0,0,377561
True,0.87,-0.13,-3.41,-0.739166666666667,8.1,7.36083333333333,3.68041666666667,gamble,lose,7.36083333333333,127.28,672.059306218991,None,672.059306218991,None,673.09304203081,None,None,NaN,NaN,NaN,NaN,,,379961,381201,385983,0,0,387204
False,0.87,-0.13,-3.54,5.36,5.7,0.339999999999999,0.169999999999999,gamble,win,5.7,132.98,680.095776631799,None,680.095776631799,None,681.563023497216,None,None,686.548255819904,687.548690680978,0.83,690.549788233213,None,None,389604,391365,396147,398548,402149,407553
False,0.86,0.86,0.86,3.08166666666667,3.025,-0.0566666666666666,1.48416666666667,gamble,win,3.025,136.005,711.69147262711,None,711.69147262711,None,713.692222034497,None,None,NaN,NaN,NaN,NaN,,,427519,429920,434702,0,0,435923
True,0.86,0.86,1.72,3.15333333333333,0.975,-2.17833333333333,-0.601666666666667,gamble,win,0.975,136.98,720.694940316196,None,720.694940316196,None,722.312292329036,None,None,727.29757168968,728.297963352634,0.87,731.299130981817,None,None,438323,440264,445066,447447,451049,456471
True,0.87,0.87,2.59,3.26083333333333,1.175,-2.08583333333333,-0.455416666666667,gamble,win,1.175,138.155,737.818364704766,None,737.818364704766,None,739.435661040028,None,None,NaN,NaN,NaN,NaN,,,458871,460812,465614,0,0,466816
False,0.87,0.87,3.46,-15.64,7.3,-8.34,-0.52,gamble,lose,-8.34,129.815,746.438374521938,None,746.438374521938,None,747.855630602953,None,None,752.840899724044,753.841296506773,0.46,756.842425097657,None,None,469216,470916,475718,478099,481701,487124
True,0.46,0.46,3.92,1.93666666666667,2.425,0.488333333333333,1.45666666666667,gamble,win,2.425,132.24,763.361686019423,None,763.361686019423,None,764.81222097214,None,None,NaN,NaN,NaN,NaN,,,489524,491264,496046,0,0,497267
False,0.46,0.46,4.38,-10.82,13.5,2.68,1.34,gamble,lose,2.68,134.92,771.814955253147,None,771.814955253147,None,773.148812083695,None,None,NaN,NaN,NaN,NaN,,,499667,501268,506070,0,0,507272
True,0.46,0.46,4.84,-11.28,0.9,-10.38,-4.74,gamble,lose,-10.38,124.54,780.151555964283,None,780.151555964283,None,783.152759111923,None,None,788.138017353482,789.138406776536,0.44,792.13954336707,None,None,509672,513273,518075,520456,524057,529480
True,0.44,0.44,5.28,-11.44,1.9,-9.54,-3.82,certain,certain,-3.82,120.72,798.658832447611,None,798.658832447611,None,800.626265224935,None,None,NaN,NaN,NaN,NaN,,,531880,534241,539043,0,0,540245
True,0.44,0.44,5.72,-11.88,6.1,-5.78,0.159999999999999,gamble,lose,-5.78,114.94,807.628998225995,None,807.628998225995,None,808.81285518454,None,None,813.798027989818,814.798468290657,0.39,817.799618640594,None,None,542645,544065,548847,551248,554849,560272
True,0.39,0.39,6.11,1.87416666666667,2.975,1.10083333333333,0.550416666666667,gamble,win,2.975,117.915,824.318900041468,None,824.318900041468,None,825.669390708113,None,None,NaN,NaN,NaN,NaN,,,562672,564293,569075,0,0,570296
