isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,outcome1Box_stopped,choiceKey_rt,choiceKey_started,outcome1Box_2_stopped,outcome1Box_3_stopped,fixCross_ITI_stopped,fixCross_ISI_stopped,happyText_stopped,happySlider_rt,happySlider_started,happySlider_stopped,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,False,0.85,-0.15,-0.15,-0.5375,1.1,0.5625,0.83125,certain,certain,0.83125,0.83125,1120.41752509854,None,2.65124833013397,1120.41752509854,None,None,None,,,NaN,NaN,,14767,17988,22770,0,0,23991
False,False,0.85,-0.15,-0.3,-0.55,3.5,2.95,1.475,gamble,lose,2.95,3.78125,1130.10452278669,None,2.10105482093059,1130.10452278669,None,None,None,,,NaN,NaN,,26391,28952,33734,0,0,34956
False,True,0.85,-0.15,-0.45,-0.5625,0.3,-0.2625,0.0187499999999999,certain,certain,0.0187499999999999,3.8,1139.24132024602,None,2.65125280991197,1139.24132024602,None,None,None,None,None,7.50275328580756,1150.91237738682,None,37356,40557,45359,47759,51361,56784
True,True,0.86,-0.14,-0.59,2.55,6.3,3.75,1.875,gamble,win,6.3,10.1,1157.43154799333,None,1.5173153502401,1157.43154799333,None,None,None,,,NaN,NaN,,59184,61045,65827,0,0,67048
True,True,0.86,-0.14,-0.73,2.69,11.7,9.01,4.505,gamble,win,11.7,21.8,1165.98478389205,None,1.65088259067852,1165.98478389205,None,None,None,None,None,7.5028803186724,1176.6554768933,None,69448,71469,76271,78652,82253,87676
True,False,0.9,-0.1,-0.83,2.23,8.9,6.67,3.335,gamble,win,8.9,30.7,1183.17468461767,None,0.967230315087363,1183.17468461767,None,None,None,,,NaN,NaN,,90076,91276,96059,0,0,97280
True,False,0.9,-0.1,-0.93,2.33,1.5,-0.83,0.335,certain,certain,0.335,31.035,1191.17760509416,None,2.10112041723914,1191.17760509416,None,None,None,,,NaN,NaN,,99680,102241,107023,0,0,108244
True,False,0.9,-0.1,-1.03,2.43,1.7,-0.73,0.485,certain,certain,0.485,31.52,1200.3144486309,None,1.55084755260032,1200.3144486309,None,None,None,None,None,7.50270496844314,1210.88511907333,None,110644,112545,117347,119728,123329,128752
True,False,0.88,-0.12,-1.15,2.83,0.9,-1.93,-0.515,certain,certain,-0.515,31.005,1217.40425384173,None,2.36764757172205,1217.40425384173,None,None,None,,,NaN,NaN,,131152,134034,138835,0,0,140037
True,True,0.88,-0.12,-1.27,2.95,-1.1,-4.05,-2.575,certain,certain,-2.575,28.43,1226.80787539901,None,2.53449550829828,1226.80787539901,None,None,None,None,None,7.50278624391649,1238.36217555811,None,142437,145518,150320,152701,156302,161725
True,True,0.89,-0.11,-1.38,2.92,9.5,6.58,3.29,certain,certain,3.29,31.72,1244.88133080548,None,1.08404745324515,1244.88133080548,None,None,None,,,NaN,NaN,,164125,165465,170248,0,0,171469
