lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,choiceKey_rt,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
0.38,0.66,True,True,False,0.66,-0.34,-0.34,5.1,4.7,-0.399999999999999,-0.2,gamble,win,4.7,4.7,148.958413596003,NaN,151.959576097986,155.944437013706,156.944822914462,NaN,NaN,NaN,NaN,NaN,NaN,13124,16725,21507,0,0,22728
NaN,NaN,True,True,False,0.66,-0.34,-0.68,5.44,12.5,7.06,3.53,gamble,win,12.5,17.2,158.962283482833,NaN,161.963374948333,165.964969428751,166.948676482076,NaN,NaN,NaN,NaN,NaN,NaN,25128,28730,33532,0,0,34733
NaN,NaN,True,True,False,0.66,-0.34,-1.02,5.78,13.5,7.72,3.86,gamble,win,13.5,30.7,168.966115611518,1,171.850513062411,175.852056665346,185.339049954637,2.8513111025386,176.835816836043,177.836104821647,0.69,7.50307248660829,180.837281402928,37133,40595,45397,47777,51379,56802
NaN,NaN,True,True,True,0.69,-0.31,-1.33,5.67,-1.3,-6.97,-4.135,gamble,win,-1.3,29.4,187.356532921898,NaN,190.357679424662,194.359182389628,195.342932000844,NaN,NaN,NaN,NaN,NaN,NaN,59202,62803,67605,0,0,68806
NaN,NaN,True,True,False,0.69,-0.31,-1.64,5.98,13.1,7.12,3.56,gamble,win,13.1,42.5,197.360413048184,1,198.960963868711,202.96249211242,212.449531159422,1.56745103283902,203.946146688366,204.946637543879,0.7,7.50276818181737,207.947781486757,71206,73127,77929,80310,83911,89335
NaN,NaN,True,False,False,0.7,-0.3,-1.94,-1.21166666666667,7.7,6.48833333333333,3.24416666666667,gamble,lose,6.48833333333333,48.9883333333333,214.466974128678,1,216.30095649627,220.285872449254,221.286256750085,1.80090817864402,NaN,NaN,NaN,NaN,NaN,91735,93936,98717,0,0,99939
NaN,NaN,True,False,False,0.7,-0.3,-2.24,-1.23666666666667,10.1,8.86333333333333,4.43166666666667,gamble,lose,8.86333333333333,57.8516666666667,223.303706438979,1,224.754210349842,228.739079585153,229.73950708381,1.41741852246923,NaN,NaN,NaN,NaN,NaN,102339,104079,108861,0,0,110083
NaN,NaN,True,True,False,0.7,-0.3,-2.54,6.74,7.9,1.16,0.58,certain,certain,0.58,58.4316666666667,231.756951013027,3,234.691422764183,238.676278880157,248.179891499836,2.90138252297766,239.676672780508,240.677064120973,0.75,7.50274098315276,243.67814726691,112483,116004,120786,123187,126788,132211
NaN,NaN,True,True,False,0.75,-0.25,-2.79,6.29,-1.1,-7.39,-4.245,gamble,win,-1.1,57.3316666666667,250.197388866363,NaN,253.198543368722,257.200084091804,258.183794025012,NaN,NaN,NaN,NaN,NaN,NaN,134611,138213,143015,0,0,144216
NaN,NaN,True,True,False,0.75,-0.25,-3.04,6.54,0.3,-6.24,-2.97,certain,certain,-2.97,54.3616666666667,260.201232834457,3,262.968921231455,266.953785347054,276.457488202199,2.73458892930648,267.95422148527,268.954609625915,0.79,7.50286097716889,271.95570045145,146616,149937,154720,157120,160722,166145
NaN,NaN,True,True,True,0.79,-0.21,-3.25,6.19,12.1,5.91,2.955,gamble,win,12.1,66.4616666666667,278.474855655222,1,280.842438265507,284.827365737903,285.827719320252,2.33457945779082,NaN,NaN,NaN,NaN,NaN,168545,171386,176168,0,0,177389
NaN,NaN,True,True,True,0.79,-0.21,-3.46,6.4,9.1,2.7,1.35,gamble,win,9.1,75.5616666666667,287.845210287109,1,290.362786049722,294.364387889771,303.851372539502,2.4846004487481,295.348086623533,296.348372689245,0.81,7.50215797228157,299.34957774909,179789,182810,187612,189993,193595,199018
NaN,NaN,True,True,True,0.81,-0.19,-3.65,6.31,9.7,3.39,1.695,gamble,win,9.7,85.2616666666667,305.868762391387,1,308.153015081509,312.154557404516,313.188300680049,2.25125465737074,NaN,NaN,NaN,NaN,NaN,201418,204159,208961,0,0,210222
NaN,NaN,True,True,True,0.81,-0.19,-3.84,6.5,0.1,-6.4,-3.15,gamble,win,0.1,85.3616666666667,315.205719010526,1,317.873436718044,321.874902564887,322.858674254996,2.63458080173586,NaN,NaN,NaN,NaN,NaN,212622,215823,220625,0,0,221826
