isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
TRUE,TRUE,TRUE,0.95,-0.05,-0.05,0.75,6.3,5.55,2.775,gamble,win,6.3,6.3,50.53449705,1,0.900563682,51.46814921,55.45300634,56.45343639,NaN,NaN,NaN,NaN,NaN,11220,12341,17123,0,0,18344
TRUE,FALSE,FALSE,0.95,-0.05,-0.1,-0.183333333,9.1,8.916666667,4.458333333,gamble,lose,8.916666667,15.21666667,58.47082299,1,0.733923574,59.23783281,63.23935721,64.22303167,NaN,NaN,NaN,NaN,NaN,20744,21665,26466,0,0,27668
TRUE,TRUE,FALSE,0.95,-0.05,-0.15,0.85,10.3,9.45,4.725,gamble,win,10.3,25.51666667,66.24046211,1,0.950605504,67.22420793,71.20902794,80.71266646,72.20941064,73.20984453,0.96,7.502770093,76.21098239,30068,31248,36030,38431,42033,47456
TRUE,TRUE,FALSE,0.96,-0.04,-0.19,0.75,-1.5,-2.25,-1.875,gamble,win,-1.5,24.01666667,82.73009786,1,2.101111749,84.86429809,88.86577257,89.84952863,NaN,NaN,NaN,NaN,NaN,49856,52417,57219,0,0,58420
TRUE,TRUE,TRUE,0.96,-0.04,-0.23,0.79,2.5,1.71,0.855,gamble,win,2.5,26.51666667,91.86692483,1,1.084050895,92.98406901,96.96887397,106.4725608,97.96925731,98.96968737,0.93,7.502805931,101.9708358,60820,62161,66942,69343,72945,78368
TRUE,TRUE,FALSE,0.93,-0.07,-0.3,1.28,4.3,3.02,1.51,gamble,win,4.3,30.81666667,108.4899836,1,0.983925014,109.5070003,113.4918606,114.4922459,NaN,NaN,NaN,NaN,NaN,80768,81988,86770,0,0,87992
TRUE,TRUE,TRUE,0.93,-0.07,-0.37,1.35,12.1,10.75,5.375,gamble,win,12.1,42.91666667,116.5097233,1,0.967300937,117.5100203,121.5115802,122.4953465,NaN,NaN,NaN,NaN,NaN,90392,91592,96394,0,0,97595
TRUE,TRUE,FALSE,0.93,-0.07,-0.44,1.42,11.1,9.68,4.84,gamble,win,11.1,54.01666667,124.5127891,1,1.317421859,125.86331,129.8481092,139.3517932,130.848545,131.8488765,0.96,7.502859368,134.8500796,99995,101616,106398,108799,112400,117823
TRUE,FALSE,FALSE,0.96,-0.04,-0.48,-0.18,0.9,0.72,0.81,gamble,lose,0.72,54.73666667,141.3691836,1,1.484213639,142.8864816,146.8713323,147.8716731,NaN,NaN,NaN,NaN,NaN,120223,122044,126826,0,0,128047
TRUE,TRUE,FALSE,0.96,-0.04,-0.52,1.08,11.9,10.82,5.41,gamble,win,11.9,66.63666667,149.8891486,1,0.933959668,150.8561923,154.857717,164.3446847,155.8413889,156.8418106,0.98,7.502782252,159.8429133,130447,131608,136410,138791,142392,147815
TRUE,TRUE,TRUE,0.98,-0.02,-0.54,0.82,2.7,1.88,0.94,gamble,win,2.7,69.33666667,166.3621238,1,1.033986035,167.4291762,171.4140052,172.4143905,NaN,NaN,NaN,NaN,NaN,150215,151496,156278,0,0,157499
TRUE,FALSE,TRUE,0.98,-0.02,-0.56,-0.116666667,13.1,12.98333333,6.491666667,gamble,lose,12.98333333,82.32,174.4318126,1,1.200690459,175.6656357,179.6505062,189.1541419,180.6509197,181.6512988,0.93,7.502950243,184.6524799,159899,161380,166161,168562,172164,177587
TRUE,TRUE,FALSE,0.93,-0.07,-0.63,1.61,-1.3,-2.91,-2.105,gamble,win,-1.3,81.02,191.1715637,1,1.817618008,193.0222651,197.0238189,198.0074758,NaN,NaN,NaN,NaN,NaN,179987,182208,187010,0,0,188211
TRUE,FALSE,FALSE,0.93,-0.07,-0.7,-0.303333333,5.9,5.596666667,2.798333333,gamble,lose,5.596666667,86.61666667,200.024911,1,1.26750003,201.325463,205.3102683,206.3106571,NaN,NaN,NaN,NaN,NaN,190611,192172,196954,0,0,198195
TRUE,FALSE,TRUE,0.93,-0.07,-0.77,-0.309166667,3.7,3.390833333,1.695416667,gamble,lose,3.390833333,90.0075,208.3493712,1,1.646333987,210.0287841,214.013639,223.5172772,215.0139817,216.014413,0.97,7.502804331,219.0155093,200595,202616,207398,209799,213400,218823
