isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross_started,outcome1Box_stopped,choiceKey_rt,choiceKey_started,outcome1Box_2_stopped,outcome1Box_3_stopped,fixCross_ITI_stopped,fixCross_ISI_stopped,happyText_stopped,happySlider_rt,happySlider_started,happySlider_stopped,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,True,0.08,-0.92,-18.66,-4.775,11.5,6.725,3.3625,gamble,lose,6.725,116.520833333333,459.584745529502,None,1.31738031637542,459.584745529502,None,None,None,None,None,7.50276050219509,469.922013813069,None,313481,315101,319903,322284,325885,331308
True,False,0.08,-0.92,-19.58,32.46,3.3,-29.16,-12.93,gamble,win,3.3,119.820833333333,476.441197815404,None,1.20074997856136,476.441197815404,None,None,None,,,NaN,NaN,,333708,335189,339991,0,0,341192
True,True,0.08,-0.92,-20.5,33.38,4.1,-29.28,-12.59,gamble,win,4.1,123.920833333333,484.677715288452,None,1.05068418984592,484.677715288452,None,None,None,None,None,7.50275570243502,494.748229528381,None,343592,344893,349695,352076,355677,361100
True,False,0.16,-0.84,-21.34,33.1,5.1,-28,-11.45,gamble,win,5.1,129.020833333333,501.267431769806,None,0.617138792431433,501.267431769806,None,None,None,,,NaN,NaN,,363500,364280,369082,0,0,370284
False,True,0.16,-0.84,-22.18,-4.78833333333333,11.1,6.31166666666667,3.15583333333333,gamble,lose,6.31166666666667,135.3325,508.920384774392,None,0.983980959670589,508.920384774392,None,None,None,,,NaN,NaN,,372684,373904,378686,0,0,379908
True,False,0.16,-0.84,-23.02,34.78,8.9,-25.88,-8.49000000000001,gamble,win,8.9,144.2325,516.940128748773,None,1.38393571392953,516.940128748773,None,None,None,None,None,7.5027749014771,527.344151459958,None,382308,384008,388810,391191,394792,400195
True,False,0.19,0.19,0.19,-2.85,8.1,5.25,2.625,gamble,lose,5.25,149.4825,546.78495409509,None,1.00066876661549,546.78495409509,None,None,None,,,NaN,NaN,,418122,419362,424144,0,0,425365
False,False,0.19,0.19,0.38,0.696666666666667,2.425,1.72833333333333,0.864166666666667,gamble,win,2.425,151.9075,554.821380116704,None,1.13400323055794,554.821380116704,None,None,None,None,None,7.50279698037411,564.975222356899,None,427765,429166,433948,436349,439950,445373
True,False,0.08,0.08,0.46,-1.58,4.5,2.92,1.46,gamble,lose,2.92,154.8275,571.494452756917,None,1.26741897044667,571.494452756917,None,None,None,,,NaN,NaN,,447773,449334,454116,0,0,455337
True,False,0.08,0.08,0.54,-1.66,-0.9,-2.56,-1.73,gamble,lose,-2.56,152.2675,579.797661620731,None,1.60089576328392,579.797661620731,None,None,None,None,None,7.50283889828097,590.418403753283,None,457737,459698,464480,466881,470482,475905
True,False,0.12,0.12,0.66,-2.34,3.9,1.56,0.78,gamble,lose,1.56,153.8275,596.937594795267,None,1.15068943758342,596.937594795267,None,None,None,,,NaN,NaN,,478305,479726,484508,0,0,485729
True,False,0.12,0.12,0.78,-2.46,2.3,-0.16,1.07,gamble,lose,-0.16,153.6675,605.124068046522,None,1.50082747869237,605.124068046522,None,None,None,,,NaN,NaN,,488129,489970,494772,0,0,495973
True,False,0.12,0.12,0.9,-2.58,-1.3,-3.88,-2.59,gamble,lose,-3.88,149.7875,613.660695338087,None,2.41776250529438,613.660695338087,None,None,None,None,None,7.50280625991218,625.098418766935,None,498373,501314,506116,508497,512098,517522
True,False,0.07,0.07,0.97,-1.95,8.3,6.35,3.175,gamble,lose,6.35,156.1375,631.617605009156,None,1.01733737451832,631.617605009156,None,None,None,,,NaN,NaN,,519922,521182,525964,0,0,527185
True,False,0.07,0.07,1.04,-2.02,13.1,11.08,5.54,gamble,lose,11.08,167.2175,639.670705398386,None,0.900576803205695,639.670705398386,None,None,None,None,None,7.50274578293102,649.591167608913,None,529585,530706,535508,537889,541490,546913
True,True,0.08,0.08,1.12,-2.24,5.9,3.66,1.83,gamble,lose,3.66,170.8775,656.110362810688,None,1.30075394636333,656.110362810688,None,None,None,,,NaN,NaN,,549313,550914,555696,0,0,556917
True,False,0.08,0.08,1.2,-2.32,6.9,4.58,2.29,gamble,lose,4.58,175.4575,664.446906650419,None,0.867292064780486,664.446906650419,None,None,None,,,NaN,NaN,,559317,560397,565179,0,0,566401
False,False,0.08,0.08,1.28,0.386666666666667,0.875,0.488333333333333,0.681666666666667,gamble,win,0.875,176.3325,672.349946050692,None,1.01735433367321,672.349946050692,None,None,None,None,None,7.50284753784945,682.387092036364,None,568801,570061,574843,577244,580845,586269
True,True,0.19,0.19,1.47,-4.13,2.7,-1.43,0.635,gamble,lose,-1.43,174.9025,688.906318596575,None,1.08404476448595,688.906318596575,None,None,None,,,NaN,NaN,,588669,590009,594791,0,0,596012
True,True,0.19,0.19,1.66,-4.32,2.5,-1.82,0.34,gamble,lose,-1.82,173.0825,697.026169573614,None,1.28404342055364,697.026169573614,None,None,None,None,None,7.5027665818925,707.330066403085,None,598412,599993,604775,607176,610777,616200
