isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
False,True,True,0.97,0.97,14.5,-28.08,13.5,-14.58,-0.539999999999999,gamble,lose,-14.58,71.35,623.278084607911,1,2.50123930210248,625.812413244072,629.814011569397,630.797736809734,NaN,NaN,NaN,NaN,NaN,614906,617946,622748,0,0,623950
False,True,False,0.97,0.97,15.47,-29.05,8.3,-20.75,-6.225,gamble,lose,-20.75,50.6,632.815170875227,NaN,NaN,635.816335620824,639.817836030707,649.304898395145,640.801547511714,641.801987171173,0.93,7.50278418991365,644.803086319822,626350,629952,634753,637134,640735,646159
False,True,True,0.93,0.93,16.4,-29.42,3.9,-25.52,-10.81,gamble,lose,-25.52,25.08,651.322332460637,1,2.01773261153721,653.373129447398,657.374677855056,658.358404055383,NaN,NaN,NaN,NaN,NaN,648559,651019,655821,0,0,657023
False,True,False,0.93,0.93,17.33,-30.35,3.5,-26.85,-11.675,certain,certain,-11.675,13.405,660.375877479004,3,2.50118714454584,662.910197795572,666.911725404207,667.895407446573,NaN,NaN,NaN,NaN,NaN,659423,662464,667266,0,0,668467
False,True,False,0.93,0.93,18.26,-31.28,2.9,-28.38,-12.74,gamble,lose,-28.38,-14.975,669.912831912516,1,1.38412989347125,671.330052419973,675.331654585112,684.818667351879,676.31532798789,677.315770847199,0.92,7.5028721858107,680.316915433708,670867,672568,677370,679751,683352,688775
False,False,True,0.92,0.92,19.18,4.81833333333333,0.475,-4.34333333333333,-1.93416666666667,gamble,win,0.475,-14.5,686.836103337264,1,1.78424368012929,688.653436351451,692.638312578056,693.638751917519,NaN,NaN,NaN,NaN,NaN,691175,693356,698138,0,0,699359
False,True,True,0.92,0.92,20.1,-32.98,2.3,-30.68,-14.19,gamble,lose,-30.68,-45.18,695.656144704932,1,1.98439560906263,697.673648207157,701.658527633612,711.162161063839,702.658906495897,703.659307117196,0.9,7.50272307280102,706.660400506109,701759,704180,708962,711363,714965,720388
False,True,False,0.9,0.9,21,-33.6,1.1,-32.5,-15.7,gamble,lose,-32.5,-77.68,713.179606648773,1,1.81769235743559,715.030400179705,719.031969386415,720.015593831456,NaN,NaN,NaN,NaN,NaN,722788,725009,729810,0,0,731012
False,True,True,0.9,0.9,21.9,-34.5,5.7,-28.8,-11.55,gamble,lose,-28.8,-106.48,722.033091893943,1,0.983920751197729,723.050179415615,727.0516974247,736.538717551128,728.035365067743,729.035774968594,0.87,7.50294834226952,732.036963393068,733412,734632,739434,741815,745416,750840
False,True,False,0.87,0.87,22.77,-34.95,4.1,-30.85,-13.375,gamble,lose,-30.85,-137.33,738.556191934709,1,1.21730536749237,739.806599435688,743.791527179856,744.791868923901,NaN,NaN,NaN,NaN,NaN,753240,754740,759522,0,0,760743
