isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_started,outcome1Box_2_stopped,outcome1Box_3_stopped,fixCross_ITI_stopped,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,False,0.64,-0.36,-0.36,5.4,0.7,-4.7,-2,gamble,win,0.7,0.7,204.147120721289,NaN,204.147120721289,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.64,-0.36,-0.72,5.76,5.7,-0.0599999999999996,-0.0299999999999998,gamble,win,5.7,6.4,214.150968825794,1,214.150968825794,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.64,-0.36,-1.08,6.12,1.5,-4.62,-1.56,gamble,win,1.5,7.9,222.887558296788,1,222.887558296788,None,None,None,229.690130952629,230.690497012227,0.7,7.50283520121593,233.691632948583,0,0,0,0,0,0
True,True,True,0.7,-0.3,-1.38,5.58,6.9,1.32,0.66,gamble,win,6.9,14.8,240.210792675614,1,240.210792675614,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.7,-0.3,-1.68,5.88,6.1,0.219999999999999,0.109999999999999,gamble,win,6.1,20.9,249.447617813363,1,249.447617813363,None,None,None,255.983425248181,256.983806986827,0.65,7.50273088703398,259.984973641462,0,0,0,0,0,0
True,True,True,0.65,-0.35,-2.03,6.93,11.7,4.77,2.385,gamble,win,11.7,32.6,266.504078971571,1,266.504078971571,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.65,-0.35,-2.38,7.28,8.9,1.62,0.81,gamble,win,8.9,41.5,275.0406470038,1,275.0406470038,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.65,-0.35,-2.73,7.63,7.3,-0.33,-0.165,gamble,win,7.3,48.8,283.493847864564,1,283.493847864564,None,None,None,290.696554592927,291.697006727685,0.84,7.50266529072542,294.698075467837,0,0,0,0,0,0
True,True,False,0.84,-0.16,-2.89,5.13,11.1,5.97,2.985,gamble,win,11.1,59.9,301.217227515299,1,301.217227515299,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,False,True,0.84,-0.16,-3.05,-0.814166666666667,-1.1,-1.91416666666667,-1.50708333333333,gamble,lose,-1.91416666666667,57.9858333333333,309.503759949468,NaN,309.503759949468,None,None,None,317.490037517971,318.490437175496,0.7,7.50272448745091,321.491555512883,0,0,0,0,0,0
True,True,True,0.7,-0.3,-3.35,7.55,9.7,2.15,1.075,gamble,win,9.7,67.6858333333333,328.010708520305,1,328.010708520305,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.7,-0.3,-3.65,7.85,8.3,0.449999999999999,0.225,gamble,win,8.3,75.9858333333333,336.06381402642,1,336.06381402642,None,None,None,342.099375235033,343.099757933524,0.81,7.50270400859881,346.100882670609,0,0,0,0,0,0
True,True,False,0.81,-0.19,-3.84,6.5,7.1,0.6,0.3,gamble,win,7.1,83.0858333333333,352.620081755449,1,352.620081755449,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.81,-0.19,-4.03,6.69,4.9,-1.79,1.555,certain,certain,1.555,84.6408333333333,361.223286375985,3,361.223286375985,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.81,-0.19,-4.22,6.88,4.1,-2.78,0.66,gamble,win,4.1,88.7408333333333,370.810305982828,NaN,370.810305982828,None,None,None,378.796585151227,379.79703792592,0.81,7.50267521024216,382.798109545838,0,0,0,0,0,0
True,True,True,0.81,-0.19,-4.41,7.07,12.7,5.63,2.815,gamble,win,12.7,101.440833333333,389.317258393508,1,389.317258393508,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.81,-0.19,-4.6,7.26,10.9,3.64,1.82,gamble,win,10.9,112.340833333333,397.503658835078,1,397.503658835078,None,None,None,403.656016703113,404.656400041655,0.92,7.502727047191,407.657583015389,0,0,0,0,0,0
True,False,True,0.92,-0.08,-4.68,-0.67,-1.3,-1.97,-1.635,certain,certain,-1.635,110.705833333333,414.176669786568,3,414.176669786568,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,False,True,0.92,-0.08,-4.76,-0.676666666666667,1.1,0.423333333333334,0.761666666666667,gamble,lose,0.423333333333334,111.129166666667,423.163493884378,1,423.163493884378,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,False,True,0.92,-0.08,-4.84,-0.683333333333333,3.7,3.01666666666667,1.50833333333333,gamble,lose,3.01666666666667,114.145833333333,431.416531234281,1,431.416531234281,None,None,None,437.652231955086,438.65257177595,0.84,7.50278272421565,441.653702272684,0,0,0,0,0,0
True,True,False,0.84,-0.16,-5,7.24,4.5,-2.74,0.88,certain,certain,0.88,115.025833333333,448.172866479494,3,448.172866479494,None,None,None,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.84,-0.16,-5.16,7.4,-0.1,-7.5,-3.8,gamble,win,-0.1,114.925833333333,456.976222771569,1,456.976222771569,None,None,None,463.795426816097,464.795806954848,0.83,7.50278560398147,467.796925932169,0,0,0,0,0,0
