isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,choiceKey_rt,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
True,True,True,0.63,-0.37,-0.37,5.55,1.7,-3.85,-1.075,certain,certain,-1.075,-1.075,109.920898988727,3,2.43463046324905,112.388569082599,116.373435438087,117.37382805848,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.63,-0.37,-0.74,5.92,1.9,-4.02,-1.06,gamble,win,1.9,0.825,119.391264308069,1,1.95087925210828,121.375368781562,125.360222657677,126.360617197992,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.63,-0.37,-1.11,6.29,13.1,6.81,3.405,gamble,win,13.1,13.925,128.378072326595,1,1.48419118917082,129.895307306258,133.896854749008,143.383832999039,134.880557962519,135.880947063095,0.68,7.50293009373127,138.882084926299,0,0,0,0,0,0
True,True,True,0.68,-0.32,-1.43,5.91,10.7,4.79,2.395,gamble,win,10.7,24.625,145.401282367937,1,1.05069282941986,146.485027307412,150.469890143082,151.470283083443,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.68,-0.32,-1.75,6.23,-0.3,-6.53,-3.415,gamble,win,-0.3,24.325,153.487724132778,1,2.05108033010038,155.57185913279,159.573401455767,169.060384825571,160.557114268828,161.557440012577,0.66,7.50291249458678,164.558634832909,0,0,0,0,0,0
True,True,True,0.66,-0.34,-2.09,6.85,7.9,1.05,0.525,gamble,win,7.9,32.225,171.077816915349,1,1.15075919410447,172.261614460207,176.246474095969,177.246870556206,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,False,False,0.66,-0.34,-2.43,-1.3925,2.7,1.3075,0.65375,gamble,lose,1.3075,33.5325,179.264312885469,1,1.13408162660198,180.431427103118,184.416288338834,185.416681919189,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,False,0.66,-0.34,-2.77,7.53,-0.5,-8.03,-4.265,certain,certain,-4.265,29.2675,187.434119128739,3,1.80099201446865,189.26816453319,193.269699816534,202.756682866369,194.25340974977,195.253790530725,0.67,7.50284209812526,198.254936073557,0,0,0,0,0,0
True,True,False,0.67,-0.33,-3.1,7.72,3.5,-4.22,-0.359999999999999,gamble,win,3.5,32.7675,204.774134155188,1,1.31747887143865,206.124636658118,210.126186340756,211.109900113777,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
True,True,True,0.67,-0.33,-3.43,8.05,7.1,-0.949999999999999,-0.475,gamble,win,7.1,39.8675,213.127366121858,1,1.26741321070585,214.427844561986,218.41270291782,227.916354895569,219.413096498174,220.413475679292,0.71,7.50276850175578,223.41461642232,0,0,0,0,0,0
