lifeHappySlider_response,blockHappySlider_response,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,outcome1Box_started,choiceKey_keys,outcome1Box_2_started,outcome1Box_3_started,fixCross_ITI_started,choiceKey_rt,fixCross_ISI_started,happyText_started,happySlider_response,happySlider_rt,happySlider_started,trial_sample,choice_sample,outcome_sample,happyText_sample,happySlider_sample,fixCross_ITI_sample
NaN,0.78,False,True,True,0.78,0.78,0.78,-11.7,11.7,0,0,gamble,lose,0,137.298333333333,588.196251003188,1,589.696802335675,593.681684370269,594.682054911857,1.46746818406973,NaN,NaN,NaN,NaN,NaN,433274,435074,439856,0,0,441078
NaN,NaN,False,True,False,0.78,0.78,1.56,-12.48,0.7,-11.78,-5.54,certain,certain,-5.54,131.758333333333,596.69954107888,3,599.350518822088,603.335385497543,612.839098272263,2.61787891539279,604.335764678661,605.336208496476,0.69,7.50280657981057,608.337322040927,443478,446659,451441,453842,457443,462866
NaN,NaN,False,True,False,0.69,0.69,2.25,-11.91,3.3,-8.61,-2.655,gamble,lose,-8.61,123.148333333333,614.856504123309,1,616.974002897739,620.975520582055,621.959218995762,2.0843922670465,NaN,NaN,NaN,NaN,NaN,465266,467807,472609,0,0,473810
NaN,NaN,False,False,True,0.69,0.69,2.94,2.66,1.375,-1.285,0.0449999999999999,gamble,win,1.375,124.523333333333,623.976719882106,NaN,626.977889103815,630.962716421229,640.466318801395,NaN,631.963066803757,632.963449184666,0.68,7.50280498003121,635.964593767421,476210,479812,484594,486995,490596,496019
NaN,NaN,False,True,False,0.68,0.68,3.62,-13.14,0.3,-12.84,-6.27,gamble,lose,-12.84,111.683333333333,642.483882084605,1,644.35122118704,648.352703673067,649.336419045925,1.83423771488015,NaN,NaN,NaN,NaN,NaN,498419,500660,505462,0,0,506663
NaN,NaN,False,True,True,0.68,0.68,4.3,-13.82,5.1,-8.72,-1.81,gamble,lose,-8.72,102.963333333333,651.353862015181,1,652.721066084341,656.722649365314,657.706307461136,1.33396764833014,NaN,NaN,NaN,NaN,NaN,509063,510704,515506,0,0,516707
NaN,NaN,False,True,False,0.68,0.68,4.98,-14.5,2.5,-12,-4.75,certain,certain,-4.75,98.2133333333333,659.723749470431,3,662.574896741193,666.559720218764,676.063461791957,2.81805228278972,667.560111559229,668.560482420726,0.61,7.50285713735502,671.561632763245,519107,522529,527311,529711,533313,538736
NaN,NaN,False,False,True,0.61,0.61,5.59,2.60083333333333,1.925,-0.675833333333333,0.624583333333333,gamble,win,1.925,100.138333333333,678.08083980449,1,680.498463436728,684.500001279986,685.483703853446,2.38453856378328,NaN,NaN,NaN,NaN,NaN,541136,544037,548839,0,0,550040
NaN,NaN,False,False,True,0.61,0.61,6.2,2.65166666666667,0.875,-1.77666666666667,-0.450833333333333,gamble,win,0.875,101.013333333333,687.501100745052,1,689.08504311461,693.086587997503,702.573624484707,1.55085218138993,694.070350408088,695.070688311243,0.66,7.50294897286221,698.071824254584,552440,554341,559143,561524,565125,570548
NaN,NaN,False,True,False,0.66,0.66,6.86,-16.1,2.3,-13.8,-5.75,certain,certain,-5.75,95.2633333333333,704.591074813507,3,706.941915859585,710.94350970001,711.927184434957,2.31773005891591,NaN,NaN,NaN,NaN,NaN,572948,575770,580571,0,0,581773
NaN,NaN,False,True,False,0.66,0.66,7.52,-16.76,1.3,-15.46,-7.08,gamble,lose,-15.46,79.8033333333333,713.94466068258,1,716.19553231902,720.197096400894,721.180744577199,2.21776352915913,NaN,NaN,NaN,NaN,NaN,584173,586874,591676,0,0,592877
NaN,NaN,False,True,False,0.66,0.66,8.18,-17.42,12.3,-5.12,-2.56,gamble,lose,-5.12,74.6833333333333,723.198192346259,1,724.882227319176,728.866988719907,738.37067781575,1.65092910558451,729.867455576663,730.867789319949,0.59,7.50278866069857,733.868930703029,595277,597298,602080,604481,608082,613505
NaN,NaN,False,True,True,0.59,0.59,8.77,-17.03,13.1,-3.93,-1.965,gamble,lose,-3.93,70.7533333333333,740.388170702499,1,741.588622455951,745.590124140959,746.573835034156,1.16735484567471,NaN,NaN,NaN,NaN,NaN,615905,617346,622148,0,0,623349
NaN,NaN,False,True,False,0.59,0.59,9.36,-17.62,5.3,-12.32,-3.51,certain,certain,-3.51,67.2433333333333,748.591279283282,3,750.558747787261,754.54355942551,764.047265480505,1.93436711642426,755.543983724318,756.544352345983,0.5,7.50281073967926,759.545528927236,625749,628110,632892,635293,638894,644317
NaN,NaN,False,True,True,0.5,0.5,9.86,-16.86,9.1,-7.76,0.67,gamble,lose,-7.76,59.4833333333333,766.064665251877,1,767.615260486142,771.616809208877,772.600496103289,1.5175268050516,NaN,NaN,NaN,NaN,NaN,646717,648578,653380,0,0,654581
NaN,NaN,False,True,True,0.5,0.5,10.36,-17.36,-0.5,-17.86,-9.18,gamble,lose,-17.86,41.6233333333333,774.617950911867,NaN,777.619108934072,781.620700534666,791.10761126806,NaN,782.604413987603,783.604742931202,0.4,7.50280146021396,786.605940311449,656981,660583,665385,667766,671367,676790
